gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSMPUG00000000002	ENSMPUT00000000002	606.00	474.65	0.00	0.00	0.00
ENSMPUG00000000003	ENSMPUT00000000003	821.00	689.31	0.00	0.00	0.00
ENSMPUG00000000004	ENSMPUT00000000004	1127.00	995.30	11.00	1.79	0.87
ENSMPUG00000000005	ENSMPUT00000000005	1076.00	944.30	0.00	0.00	0.00
ENSMPUG00000000006	ENSMPUT00000000006	460.00	330.15	1.00	0.49	0.24
ENSMPUG00000000007	ENSMPUT00000000007	4487.00	4355.30	2385.94	88.61	42.97
ENSMPUG00000000008	ENSMPUT00000000008	237.00	122.62	15.00	20.03	9.71
ENSMPUG00000000009	ENSMPUT00000000009	812.00	680.31	421.00	100.35	48.66
ENSMPUG00000000010	ENSMPUT00000000010	1327.00	1195.30	209.00	28.32	13.73
ENSMPUG00000000011	ENSMPUT00000000011	1891.00	1759.30	863.72	79.47	38.53
ENSMPUG00000000012	ENSMPUT00000000012	3829.00	3697.30	29.00	1.27	0.62
ENSMPUG00000000013	ENSMPUT00000000013	479.00	348.81	0.00	0.00	0.00
ENSMPUG00000000014	ENSMPUT00000000014	4331.00	4199.30	3384.73	130.38	63.22
ENSMPUG00000000015	ENSMPUT00000000015	678.00	546.43	0.00	0.00	0.00
ENSMPUG00000000016	ENSMPUT00000000016	3647.00	3515.30	560.00	25.77	12.50
ENSMPUG00000000017	ENSMPUT00000000017	5037.00	4905.30	1342.28	44.26	21.46
ENSMPUG00000000018	ENSMPUT00000000018	2720.00	2588.30	124.70	7.80	3.78
ENSMPUG00000000019	ENSMPUT00000000019	1540.00	1408.30	0.00	0.00	0.00
ENSMPUG00000000020	ENSMPUT00000000020	444.00	314.50	31.00	16.03	7.77
ENSMPUG00000000021	ENSMPUT00000000021	840.00	708.31	28.00	6.41	3.11
ENSMPUG00000000022	ENSMPUT00000000022	1653.00	1521.30	301.93	32.13	15.58
ENSMPUG00000000023	ENSMPUT00000000023	5861.00	5729.30	570.00	16.09	7.80
ENSMPUG00000000024	ENSMPUT00000000024	5059.00	4927.30	359.00	11.78	5.71
ENSMPUG00000000025	ENSMPUT00000000025	1521.00	1389.30	364.98	42.54	20.63
ENSMPUG00000000026	ENSMPUT00000000026	1966.00	1834.30	3.00	0.26	0.13
ENSMPUG00000000027	ENSMPUT00000000027	4298.00	4166.30	311.00	12.07	5.85
ENSMPUG00000000028	ENSMPUT00000000028	801.00	669.31	30.00	7.27	3.52
ENSMPUG00000000029	ENSMPUT00000000029	2914.00	2782.30	266.00	15.47	7.50
ENSMPUG00000000030	ENSMPUT00000000030	10317.00	10185.30	1.00	0.02	0.01
ENSMPUG00000000031	ENSMPUT00000000031	334.00	209.08	0.00	0.00	0.00
ENSMPUG00000000032	ENSMPUT00000000032	2971.00	2839.30	2394.00	136.42	66.15
ENSMPUG00000000033	ENSMPUT00000000033	3934.00	3802.30	82.05	3.49	1.69
ENSMPUG00000000034	ENSMPUT00000000034	4133.00	4001.30	2908.38	117.58	57.01
ENSMPUG00000000035	ENSMPUT00000000035	1685.00	1553.30	750.33	78.21	37.92
ENSMPUG00000000036	ENSMPUT00000000036	2991.00	2859.30	320.06	18.11	8.78
ENSMPUG00000000037	ENSMPUT00000000037	2814.00	2682.30	332.00	20.03	9.71
ENSMPUG00000000038	ENSMPUT00000000038	1682.00	1550.30	60.00	6.27	3.04
ENSMPUG00000000039	ENSMPUT00000000039	2537.00	2405.30	0.00	0.00	0.00
ENSMPUG00000000040	ENSMPUT00000000040	4682.00	4550.30	193.00	6.86	3.33
ENSMPUG00000000041	ENSMPUT00000000041	1923.00	1791.30	5.00	0.45	0.22
ENSMPUG00000000042	ENSMPUT00000000042	5531.00	5399.30	25.00	0.75	0.36
ENSMPUG00000000043	ENSMPUT00000000043	930.00	798.30	5.00	1.02	0.49
ENSMPUG00000000044	ENSMPUT00000000044	1922.00	1790.30	234.01	21.16	10.26
ENSMPUG00000000045	ENSMPUT00000000045	746.00	614.35	54.00	14.26	6.91
ENSMPUG00000000046	ENSMPUT00000000046	7131.00	6999.30	1445.67	33.40	16.20
ENSMPUG00000000047	ENSMPUT00000000047	771.00	639.33	610.33	154.83	75.08
ENSMPUG00000000048	ENSMPUT00000000048	2970.00	2838.30	2.00	0.11	0.06
ENSMPUG00000000049	ENSMPUT00000000049	280.00	159.80	0.00	0.00	0.00
ENSMPUG00000000050	ENSMPUT00000000050	357.00	230.69	0.00	0.00	0.00
ENSMPUG00000000051	ENSMPUT00000000051	3623.00	3491.30	147.00	6.81	3.30
ENSMPUG00000000052	ENSMPUT00000000052	975.00	843.30	0.00	0.00	0.00
ENSMPUG00000000053	ENSMPUT00000000053	957.00	825.30	0.00	0.00	0.00
ENSMPUG00000000054	ENSMPUT00000000054	1495.00	1363.30	0.00	0.00	0.00
ENSMPUG00000000055	ENSMPUT00000000055	2583.00	2451.30	0.00	0.00	0.00
ENSMPUG00000000056	ENSMPUT00000000056	1579.00	1447.30	247.00	27.63	13.40
ENSMPUG00000000057	ENSMPUT00000000057	1795.00	1663.30	1.00	0.10	0.05
ENSMPUG00000000058	ENSMPUT00000000058	1545.00	1413.30	1.00	0.11	0.06
ENSMPUG00000000059	ENSMPUT00000000059	420.00	291.13	0.00	0.00	0.00
ENSMPUG00000000060	ENSMPUT00000000060	5629.00	5497.30	936.56	27.55	13.36
ENSMPUG00000000061	ENSMPUT00000000061	951.00	819.30	0.00	0.00	0.00
ENSMPUG00000000062	ENSMPUT00000000062	996.00	864.30	0.00	0.00	0.00
ENSMPUG00000000063	ENSMPUT00000000063	939.00	807.30	0.00	0.00	0.00
ENSMPUG00000000064	ENSMPUT00000000064	981.00	849.30	0.00	0.00	0.00
ENSMPUG00000000065	ENSMPUT00000000065	948.00	816.30	0.00	0.00	0.00
ENSMPUG00000000066	ENSMPUT00000000066	1553.00	1421.30	450.08	51.27	24.86
ENSMPUG00000000067	ENSMPUT00000000067	718.00	586.37	1.23	0.34	0.16
ENSMPUG00000000068	ENSMPUT00000000068	630.00	498.56	264.85	86.22	41.81
ENSMPUG00000000069	ENSMPUT00000000069	552.00	420.97	2.00	0.77	0.37
ENSMPUG00000000070	ENSMPUT00000000070	309.00	185.98	228.93	200.79	97.36
ENSMPUG00000000071	ENSMPUT00000000071	1284.00	1152.30	81.60	11.47	5.56
ENSMPUG00000000072	ENSMPUT00000000072	9893.00	9761.30	2137.73	35.41	17.17
ENSMPUG00000000073	ENSMPUT00000000073	4424.00	4292.30	94.75	3.57	1.73
ENSMPUG00000000074	ENSMPUT00000000074	1794.00	1662.30	123.00	11.98	5.81
ENSMPUG00000000075	ENSMPUT00000000075	6046.00	5914.30	3.00	0.08	0.04
ENSMPUG00000000076	ENSMPUT00000000076	5084.00	4952.30	28.51	0.93	0.45
ENSMPUG00000000077	ENSMPUT00000000077	264.00	145.71	0.00	0.00	0.00
ENSMPUG00000000078	ENSMPUT00000000078	399.00	270.82	45.87	27.56	13.36
ENSMPUG00000000079	ENSMPUT00000000079	944.00	812.30	16.00	3.19	1.55
ENSMPUG00000000080	ENSMPUT00000000080	3613.00	3481.30	5.00	0.23	0.11
