target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.5882	1.17769	6.51945
ENSELUT00000043746.1	57	26.5882	1.17769	6.51945
ENSELUT00000037603.1	57	26.5882	0	0
ENSELUT00000037622.1	60	27.5396	6.5	34.7396
ENSELUT00000043756.1	60	27.5396	6.5	34.7396
ENSELUT00000036957.1	291	140.6	70.2022	73.4909
ENSELUT00000043605.1	309	156.4	24.7385	23.2813
ENSELUT00000013117.1	339	183.357	30.9136	24.8155
ENSELUT00000013112.1	252	107.784	0	0
ENSELUT00000036937.1	291	140.6	88.2395	92.3732
ENSELUT00000036941.1	273	125.175	1.1	1.29344
ENSELUT00000036943.1	306	153.746	9.047	8.66103
ENSELUT00000036966.1	306	153.746	93.1949	89.219
ENSELUT00000036993.1	288	138.016	15.4266	16.4517
ENSELUT00000037021.1	291	140.6	24.4967	25.6443
ENSELUT00000043560.1	333	177.886	0	0
ENSELUT00000037132.1	354	197.125	100.669	75.1664
ENSELUT00000037138.1	333	177.886	65.5393	54.2287
ENSELUT00000043572.1	315	161.735	24	21.8412
ENSELUT00000037291.1	348	191.589	6.70907	5.15421
ENSELUT00000037323.1	333	177.886	27.0756	22.403
ENSELUT00000037354.1	348	191.589	5.23924	4.02502
ENSELUT00000043648.1	309	156.4	33.8092	31.8176
ENSELUT00000037369.1	333	177.886	7.93103	6.56232
ENSELUT00000037383.1	330	175.17	52.7734	44.343
ENSELUT00000037448.1	333	177.886	1.55865	1.28967
ENSELUT00000043712.1	318	164.405	6	5.37162
ENSELUT00000037530.1	333	177.886	4.72619	3.91056
ENSELUT00000037640.1	303	151.08	0	0
ENSELUT00000000007.1	975	811.393	4020	729.23
ENSELUT00000000011.1	1050	886.393	5696	945.83
ENSELUT00000000017.1	1551	1387.39	56472	5991.05
ENSELUT00000000020.1	691	527.569	17986	5017.94
ENSELUT00000000022.1	168	46.2496	715	2275.45
ENSELUT00000000023.1	682	518.599	5591	1586.82
ENSELUT00000000024.1	785	621.514	25902	6134.12
ENSELUT00000000026.1	349	192.501	817	624.68
ENSELUT00000000028.1	297	145.786	890	898.553
ENSELUT00000000029.1	1381	1217.39	6629	801.469
ENSELUT00000000033.1	1839	1675.39	5525	485.384
ENSELUT00000000034.1	522	359.393	1614	661.004
ENSELUT00000000036.1	1137	973.393	7797	1178.99
ENSELUT00000019592.1	708	544.538	0	0
ENSELUT00000019593.1	4511	4347.39	0	0
ENSELUT00000019594.1	4531	4367.39	4.72239	0.159151
ENSELUT00000019595.1	4384	4220.39	16.2776	0.567685
ENSELUT00000019596.1	3561	3397.39	0	0
ENSELUT00000019574.1	1629	1465.39	33.3959	3.35435
ENSELUT00000019438.1	3662	3498.39	1	0.0420728
ENSELUT00000019409.1	1280	1116.39	251.144	33.1112
ENSELUT00000019402.1	975	811.393	19.5198	3.54089
ENSELUT00000019395.1	1083	919.393	30.1152	4.82119
ENSELUT00000019290.1	600	436.816	7.22222	2.43356
ENSELUT00000019243.1	429	268.408	19	10.419
ENSELUT00000019228.1	2097	1933.39	72	5.48128
ENSELUT00000019086.1	4509	4345.39	0	0
ENSELUT00000019091.1	4367	4203.39	0	0
ENSELUT00000019093.1	4024	3860.39	2	0.076255
ENSELUT00000018995.1	1461	1297.39	15.9773	1.8126
ENSELUT00000019012.1	1755	1591.39	153.996	14.243
ENSELUT00000018900.1	4974	4810.39	2.0663	0.0632242
ENSELUT00000018903.1	1902	1738.39	2.25327	0.190781
ENSELUT00000018901.1	6151	5987.39	400	9.83313
ENSELUT00000018898.1	2022	1858.39	273.786	21.6842
ENSELUT00000018899.1	1921	1757.39	1320.18	110.569
ENSELUT00000018776.1	1584	1420.39	5.71631	0.592348
ENSELUT00000018774.1	456	294.61	0	0
ENSELUT00000018782.1	453	291.682	16.4106	8.28101
ENSELUT00000018563.1	5430	5266.39	99.1687	2.7716
ENSELUT00000018091.1	597	433.835	5.38107	1.82563
ENSELUT00000018094.1	3092	2928.39	21.7129	1.09133
ENSELUT00000018069.1	6177	6013.39	154.101	3.77187
ENSELUT00000018071.1	6060	5896.39	0	0
ENSELUT00000018075.1	5249	5085.39	83.8243	2.42614
ENSELUT00000018064.1	1683	1519.39	11.4783	1.11192
ENSELUT00000018065.1	1885	1721.39	8.52175	0.728649
ENSELUT00000018014.1	4172	4008.39	99.7052	3.66115
ENSELUT00000018021.1	1858	1694.39	212.394	18.4501
ENSELUT00000018011.1	1421	1257.39	578	67.6591
ENSELUT00000018006.1	1809	1645.39	65	5.81451
ENSELUT00000017993.1	453	291.682	2	1.00923
ENSELUT00000017644.1	726	562.53	1.31233	0.343372
ENSELUT00000017648.1	13089	12925.4	393.751	4.48381
ENSELUT00000017666.1	12885	12721.4	8.24902	0.0954416
ENSELUT00000017633.1	747	583.514	1	0.252243
ENSELUT00000017635.1	2969	2805.39	7	0.36726
ENSELUT00000017647.1	1239	1075.39	0	0
ENSELUT00000017575.1	5191	5027.39	147.291	4.31224
ENSELUT00000017586.1	5104	4940.39	0	0
ENSELUT00000017606.1	3867	3703.39	46.0403	1.82982
ENSELUT00000017622.1	3204	3040.39	149.669	7.24554
ENSELUT00000017589.1	921	757.416	1685.47	327.533
ENSELUT00000017594.1	1521	1357.39	5703.53	618.455
ENSELUT00000017526.1	1029	865.393	25.1936	4.28495
ENSELUT00000017539.1	1179	1015.39	350	50.7345
ENSELUT00000017528.1	1204	1040.39	249	35.2267
ENSELUT00000017533.1	5835	5671.39	58.7709	1.52525
ENSELUT00000017550.1	5642	5478.39	375.229	10.0812
ENSELUT00000017537.1	4887	4723.39	492.638	15.3513
ENSELUT00000017560.1	2163	1999.39	59.3724	4.37075
ENSELUT00000017568.1	1104	940.393	52.0698	8.14978
ENSELUT00000017522.1	2061	1897.39	25.0672	1.94454
ENSELUT00000017525.1	1995	1831.39	0	0
ENSELUT00000017542.1	1077	913.393	29.9328	4.82347
ENSELUT00000017510.1	2709	2545.39	130.389	7.53971
ENSELUT00000017499.1	360	202.705	228	165.554
ENSELUT00000017214.1	2777	2613.39	402	22.6408
ENSELUT00000017196.1	4279	4115.39	368.549	13.1812
ENSELUT00000017127.1	672	508.635	20	5.78753
ENSELUT00000017157.1	1647	1483.39	0	0
ENSELUT00000017187.1	1684	1520.39	1	0.0968086
ENSELUT00000017115.1	2515	2351.39	11.0547	0.691975
ENSELUT00000017128.1	2101	1937.39	9.27932	0.704966
ENSELUT00000017136.1	1566	1402.39	5.86021	0.615054
ENSELUT00000017148.1	1593	1429.39	53.8058	5.54048
ENSELUT00000017149.1	2340	2176.39	144	9.73856
ENSELUT00000017163.1	2352	2188.39	0	0
ENSELUT00000017100.1	1183	1019.39	5.11754	0.738906
ENSELUT00000017110.1	875	711.447	0	0
ENSELUT00000017126.1	1143	979.393	3.88246	0.583471
ENSELUT00000017095.1	1419	1255.39	0	0
ENSELUT00000017098.1	1371	1207.39	10	1.21905
ENSELUT00000017105.1	594	430.854	0	0
ENSELUT00000017077.1	498	335.727	0	0
ENSELUT00000017082.1	510	347.565	3	1.27044
