target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1473.21	218	10.4737
ENSORLT00000000002.1	1641	1500.21	298.575	14.0867
ENSORLT00000000003.1	1389	1248.21	181.425	10.2877
ENSORLT00000000004.1	537	396.458	1	0.17853
ENSORLT00000000005.1	520	379.496	1	0.186509
ENSORLT00000000007.1	1809	1668.21	559	23.7175
ENSORLT00000000008.1	1098	957.212	155.734	11.5156
ENSORLT00000000010.1	1071	930.212	5.68799	0.432798
ENSORLT00000000011.1	1071	930.212	4.57764	0.348312
ENSORLT00000000006.1	936	795.292	67	5.96289
ENSORLT00000000009.1	1271	1130.21	467	29.2459
ENSORLT00000000013.1	1707	1566.21	11	0.497108
ENSORLT00000000014.1	1062	921.212	0	0
ENSORLT00000000012.1	1495	1354.21	145	7.57862
ENSORLT00000000016.1	1239	1098.21	1	0.0644499
ENSORLT00000000022.1	1851	1710.21	0	0
ENSORLT00000000024.1	1770	1629.21	7	0.304109
ENSORLT00000000015.1	1368	1227.21	114	6.57497
ENSORLT00000000017.1	150	37.3299	145	274.929
ENSORLT00000000019.1	972	831.212	22	1.87335
ENSORLT00000000021.1	2412	2271.21	2	0.0623277
ENSORLT00000000020.1	267	131.8	4	2.14809
ENSORLT00000000023.1	375	235.484	0	0
ENSORLT00000000025.1	312	174.169	0.483033	0.196298
ENSORLT00000000027.1	735	594.371	0	0
ENSORLT00000000026.1	489	348.569	22.6873	4.60683
ENSORLT00000000028.1	987	846.212	49.3127	4.12466
ENSORLT00000000031.1	4884	4743.21	279	4.16332
ENSORLT00000000030.1	750	609.371	1	0.116152
ENSORLT00000000032.1	726	585.371	2	0.241829
ENSORLT00000000033.1	807	666.371	0	0
ENSORLT00000000034.1	1818	1677.21	193	8.14475
ENSORLT00000000039.1	3546	3405.21	844	17.5431
ENSORLT00000000036.1	2979	2838.21	104.294	2.6009
ENSORLT00000000038.1	2802	2661.21	167.706	4.46044
ENSORLT00000000037.1	1376	1235.21	500	28.6508
ENSORLT00000000040.1	126	23.2425	26	79.1769
ENSORLT00000000041.1	756	615.371	187.766	21.5968
ENSORLT00000000042.1	1503	1362.21	876	45.5164
ENSORLT00000000043.1	1311	1170.21	116.37	7.03859
ENSORLT00000000045.1	1911	1770.21	8.5511	0.341905
ENSORLT00000000046.1	1818	1677.21	10.4489	0.440952
ENSORLT00000000047.1	966	825.212	300	25.7314
ENSORLT00000000053.1	2118	1977.21	12	0.429573
ENSORLT00000000052.1	2925	2784.21	1379	35.0567
ENSORLT00000000050.1	447	306.826	9	2.07615
ENSORLT00000000051.1	597	456.371	32	4.96296
ENSORLT00000000054.1	9129	8988.21	824.14	6.48987
ENSORLT00000000055.1	1438	1297.21	3951.97	215.631
ENSORLT00000000060.1	2820	2679.21	211	5.57422
ENSORLT00000000058.1	1737	1596.21	3	0.133027
ENSORLT00000000059.1	561	420.458	1	0.16834
ENSORLT00000000061.1	588	447.416	0	0
ENSORLT00000000062.1	2190	2049.21	148	5.11191
ENSORLT00000000063.1	1194	1053.21	1104	74.1928
ENSORLT00000000064.1	585	444.416	0	0
ENSORLT00000000072.1	4620	4479.21	319	5.04078
ENSORLT00000000066.1	416	276.031	0	0
ENSORLT00000000067.1	1137	996.212	57	4.04978
ENSORLT00000000068.1	1154	1013.21	7	0.488997
ENSORLT00000000071.1	2130	1989.21	214.369	7.62764
ENSORLT00000000073.1	1341	1200.21	8.63066	0.508973
ENSORLT00000000069.1	780	639.371	0	0
ENSORLT00000000070.1	768	627.371	0	0
ENSORLT00000000074.1	1482	1341.21	684	36.0967
ENSORLT00000000076.1	4947	4806.21	1860	27.3917
ENSORLT00000000075.1	795	654.371	36	3.89392
ENSORLT00000000077.1	2199	2058.21	43.3464	1.49064
ENSORLT00000000078.1	1770	1629.21	12.667	0.550306
ENSORLT00000000079.1	1827	1686.21	4.98659	0.209315
ENSORLT00000000080.1	504	363.534	30.4655	5.9316
ENSORLT00000000082.1	657	516.371	0	0
ENSORLT00000000086.1	3076	2935.21	265	6.39021
ENSORLT00000000083.1	2049	1908.21	236	8.75375
ENSORLT00000000085.1	1203	1062.21	302	20.1235
ENSORLT00000000094.1	2772	2631.21	426	11.4594
ENSORLT00000000096.1	2625	2484.21	0	0
ENSORLT00000000098.1	2613	2472.21	0	0
ENSORLT00000000100.1	2244	2103.21	0	0
ENSORLT00000000087.1	1516	1375.21	632	32.5279
ENSORLT00000000089.1	3735	3594.21	347	6.83336
