target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7275.55	604.345	11.4679
ENSONIT00000000002.1	2865	2613.55	73.9983	3.90889
ENSONIT00000000003.1	1261	1009.55	390.409	53.3891
ENSONIT00000000004.1	5342	5090.55	12	0.325446
ENSONIT00000000005.1	3889	3637.55	584	22.1649
ENSONIT00000000006.1	948	696.68	0	0
ENSONIT00000000007.1	3180	2928.55	144	6.78848
ENSONIT00000000008.1	487	253.086	6148	3353.73
ENSONIT00000000009.1	1438	1186.55	0	0
ENSONIT00000000010.1	837	586.311	1	0.23547
ENSONIT00000000011.1	7684	7432.55	102	1.89463
ENSONIT00000000012.1	6448	6196.55	409.686	9.12775
ENSONIT00000000013.1	1659	1407.55	260.939	25.594
ENSONIT00000000014.1	1419	1167.55	41.3749	4.89241
ENSONIT00000000015.1	903	651.822	5	1.05902
ENSONIT00000000016.1	1940	1688.55	140.883	11.5188
ENSONIT00000000017.1	933	681.722	4.33894	0.878698
ENSONIT00000000018.1	3892	3640.55	197	7.47071
ENSONIT00000000019.1	1045	793.555	17.2041	2.99308
ENSONIT00000000020.1	2356	2104.55	0	0
ENSONIT00000000021.1	4333	4081.55	1	0.033825
ENSONIT00000000022.1	1581	1329.55	0	0
ENSONIT00000000023.1	4614	4362.55	220.642	6.98251
ENSONIT00000000024.1	3198	2946.55	57.3575	2.68744
ENSONIT00000000025.1	4590	4338.55	214	6.80976
ENSONIT00000000026.1	681	433.098	532	169.586
ENSONIT00000000027.1	828	577.385	0	0
ENSONIT00000000028.1	1315	1063.55	0	0
ENSONIT00000000029.1	771	521.071	0	0
ENSONIT00000000030.1	705	456.4	2	0.604989
ENSONIT00000000031.1	1431	1179.55	5.60848	0.656433
ENSONIT00000000032.1	732	482.742	0	0
ENSONIT00000000033.1	1746	1494.55	1.19985	0.110836
ENSONIT00000000034.1	489	254.8	7	3.79282
ENSONIT00000000035.1	4196	3944.55	3490.7	122.174
ENSONIT00000000036.1	663	415.731	1.4128	0.46917
ENSONIT00000000037.1	1910	1658.55	62	5.1609
ENSONIT00000000038.1	444	216.724	10	6.37025
ENSONIT00000000039.1	3574	3322.55	322	13.3797
ENSONIT00000000040.1	4793	4541.55	281.745	8.56477
ENSONIT00000000041.1	3381	3129.55	21.2545	0.937631
ENSONIT00000000042.1	2159	1907.55	30	2.17124
ENSONIT00000000043.1	2452	2200.55	378.301	23.7339
ENSONIT00000000044.1	1593	1341.55	0	0
ENSONIT00000000045.1	2701	2449.55	27	1.52174
ENSONIT00000000046.1	822	571.425	0	0
ENSONIT00000000047.1	5615	5363.55	172.043	4.4284
ENSONIT00000000048.1	3524	3272.55	204.979	8.64742
ENSONIT00000000049.1	2216	1964.55	314.53	22.1035
ENSONIT00000000050.1	3987	3735.55	11	0.406538
ENSONIT00000000051.1	1779	1527.55	237	21.4198
ENSONIT00000000052.1	4225	3973.55	41.7247	1.4497
ENSONIT00000000053.1	252	77.2763	0	0
ENSONIT00000000054.1	1925	1673.55	0	0
ENSONIT00000000055.1	2408	2156.55	4	0.256072
ENSONIT00000000056.1	621	375.616	0	0
ENSONIT00000000057.1	2756	2504.55	4956	273.19
ENSONIT00000000058.1	1560	1308.55	300	31.6514
ENSONIT00000000059.1	4662	4410.55	643	20.1271
ENSONIT00000000060.1	3705	3453.55	81	3.23804
ENSONIT00000000061.1	5249	4997.55	14	0.386753
ENSONIT00000000062.1	3788	3536.55	137.31	5.36025
ENSONIT00000000063.1	1281	1029.55	9.02655	1.21042
ENSONIT00000000064.1	1084	832.555	24	3.9798
ENSONIT00000000065.1	932	680.727	82	16.6304
ENSONIT00000000066.1	1914	1662.55	5	0.4152
ENSONIT00000000067.1	989	737.578	118	22.087
ENSONIT00000000068.1	2325	2073.55	40	2.66322
ENSONIT00000000069.1	3923	3671.55	1585	59.5995
ENSONIT00000000070.1	3705	3453.55	85	3.39794
ENSONIT00000000071.1	2997	2745.55	0	0
ENSONIT00000000072.1	1976	1724.55	38	3.04207
ENSONIT00000000073.1	4689	4437.55	74	2.30224
ENSONIT00000000074.1	1955	1703.55	2795	226.511
ENSONIT00000000075.1	5508	5256.55	136.272	3.57906
ENSONIT00000000076.1	3426	3174.55	51.7021	2.24848
ENSONIT00000000077.1	5038	4786.55	16	0.461488
ENSONIT00000000078.1	4171	3919.55	658	23.1767
ENSONIT00000000079.1	2354	2102.55	38.0012	2.49524
ENSONIT00000000080.1	2515	2263.55	87	5.3063
ENSONIT00000000081.1	2378	2126.55	31.5057	2.04539
ENSONIT00000000082.1	1662	1410.55	0	0
ENSONIT00000000083.1	2361	2109.55	311.013	20.3541
ENSONIT00000000084.1	3525	3273.55	699	29.4795
ENSONIT00000000085.1	1716	1464.55	41	3.86493
ENSONIT00000000086.1	8305	8053.55	243	4.16564
ENSONIT00000000087.1	1392	1140.55	198	23.9669
ENSONIT00000000088.1	3217	2965.55	182.406	8.49174
ENSONIT00000000089.1	804	553.633	108.947	27.168
ENSONIT00000000090.1	1897	1645.55	490	41.11
ENSONIT00000000091.1	6765	6513.55	129	2.73423
ENSONIT00000000092.1	2004	1752.55	0	0
ENSONIT00000000093.1	663	415.731	23	7.63798
ENSONIT00000000094.1	2085	1833.55	102	7.68015
ENSONIT00000000095.1	3537	3285.55	5	0.210099
ENSONIT00000000096.1	4064	3812.55	0	0
ENSONIT00000000097.1	2633	2381.55	10	0.579699
ENSONIT00000000098.1	1083	831.555	5	0.830123
