target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1219.46	144	2.95827
ENSAMXT00000000013.1	2742	2574.46	599.548	5.8342
ENSAMXT00000000002.1	698	530.516	15.317	0.7233
ENSAMXT00000000003.1	2951	2783.46	14.2892	0.128607
ENSAMXT00000000004.1	4909	4741.46	285.608	1.50904
ENSAMXT00000000005.1	2699	2531.46	61	0.603674
ENSAMXT00000000009.1	4468	4300.46	33.0523	0.192544
ENSAMXT00000000017.1	3702	3534.46	30.3088	0.214827
ENSAMXT00000000006.1	1382	1214.46	380.533	7.8497
ENSAMXT00000000021.1	1777	1609.46	285.114	4.43794
ENSAMXT00000000007.1	338	173.325	117	16.911
ENSAMXT00000000014.1	3833	3665.46	461.749	3.15589
ENSAMXT00000000008.1	730	562.461	10.0031	0.445541
ENSAMXT00000000010.1	3144	2976.46	554	4.66287
ENSAMXT00000000012.1	1317	1149.46	14.0689	0.306626
ENSAMXT00000000020.1	4361	4193.46	29.3279	0.175207
ENSAMXT00000000032.1	6532	6364.46	2761.13	10.8685
ENSAMXT00000000011.1	487	320.014	678.006	53.0773
ENSAMXT00000000019.1	4510	4342.46	1442.07	8.31946
ENSAMXT00000000015.1	1354	1186.46	127.913	2.70088
ENSAMXT00000000016.1	1460	1292.46	42.8465	0.830505
ENSAMXT00000000018.1	1955	1787.46	295.766	4.14529
ENSAMXT00000000026.1	4946	4778.46	3717	19.4871
ENSAMXT00000000022.1	1361	1193.46	516.604	10.8441
ENSAMXT00000000029.1	1836	1668.46	43	0.645648
ENSAMXT00000000023.1	411	244.668	8	0.819138
ENSAMXT00000000024.1	6022	5854.46	2553.05	10.9249
ENSAMXT00000000027.1	5983	5815.46	1.49982e-07	6.46098e-10
ENSAMXT00000000025.1	611	443.566	96.7186	5.46255
ENSAMXT00000000028.1	398	231.932	58	6.26486
ENSAMXT00000000031.1	1558	1390.46	523.838	9.43804
ENSAMXT00000000030.1	587	419.566	66	3.94083
ENSAMXT00000000052.1	7118	6950.46	30.5125	0.109978
ENSAMXT00000000033.1	1117	949.461	4379.01	115.543
ENSAMXT00000000034.1	1170	1002.46	48	1.19955
ENSAMXT00000000036.1	2322	2154.46	834.036	9.69817
ENSAMXT00000000035.1	3873	3705.46	4	0.0270434
ENSAMXT00000000041.1	3969	3801.46	547	3.60479
ENSAMXT00000000039.1	1715	1547.46	64.0773	1.03736
ENSAMXT00000000037.1	4153	3985.46	79	0.496583
ENSAMXT00000000043.1	1547	1379.46	13	0.23609
ENSAMXT00000000065.1	2244	2076.46	6	0.0723888
ENSAMXT00000000038.1	2289	2121.46	1575	18.599
ENSAMXT00000000040.1	2212	2044.46	2025.75	24.8228
ENSAMXT00000000042.1	1829	1661.46	503	7.58441
ENSAMXT00000000044.1	1955	1787.46	30.4401	0.426631
ENSAMXT00000000051.1	3826	3658.46	418.522	2.86591
ENSAMXT00000000045.1	2440	2272.46	1059.53	11.6805
ENSAMXT00000000046.1	1286	1118.46	126	2.82224
ENSAMXT00000000047.1	7797	7629.46	265.358	0.87133
ENSAMXT00000000048.1	1002	834.461	15	0.450328
ENSAMXT00000000049.1	1274	1106.46	846.521	19.1666
ENSAMXT00000000050.1	6515	6347.46	742.482	2.93042
ENSAMXT00000000053.1	1652	1484.46	1280	21.6015
ENSAMXT00000000054.1	4869	4701.46	0	0
ENSAMXT00000000063.1	1407	1239.46	431	8.7114
ENSAMXT00000000058.1	2714	2546.46	2753	27.084
ENSAMXT00000000056.1	843	675.461	54	2.0028
ENSAMXT00000000055.1	4261	4093.46	176	1.07712
ENSAMXT00000000057.1	4748	4580.46	1015	5.55138
ENSAMXT00000000059.1	5094	4926.46	994.684	5.05817
ENSAMXT00000000060.1	4119	3951.46	481	3.04952
ENSAMXT00000000062.1	4425	4257.46	633.737	3.72908
ENSAMXT00000000061.1	2803	2635.46	533.413	5.0705
ENSAMXT00000000067.1	2352	2184.46	30195.4	346.29
ENSAMXT00000000064.1	498	331.014	17	1.28661
ENSAMXT00000000072.1	1206	1038.46	230	5.54857
ENSAMXT00000000098.1	3336	3168.46	504.12	3.98593
ENSAMXT00000000069.1	2395	2227.46	67.0374	0.753964
ENSAMXT00000000070.1	1471	1303.46	477.301	9.17355
ENSAMXT00000000066.1	2866	2698.46	10.2228	0.0949072
ENSAMXT00000000068.1	1562	1394.46	0	0
ENSAMXT00000000074.1	1686	1518.46	570	9.40405
ENSAMXT00000000071.1	1616	1448.46	196	3.38995
ENSAMXT00000000073.1	5684	5516.46	1174.02	5.33162
ENSAMXT00000000075.1	11921	11753.5	285	0.607467
ENSAMXT00000000077.1	2640	2472.46	111.494	1.12971
ENSAMXT00000000078.1	4271	4103.46	1745	10.6534
ENSAMXT00000000076.1	1158	990.461	1143	28.9103
ENSAMXT00000000079.1	3280	3112.46	181.841	1.46363
ENSAMXT00000000080.1	1413	1245.46	45	0.905162
ENSAMXT00000000081.1	2343	2175.46	1674.73	19.2858
ENSAMXT00000000082.1	1240	1072.46	38	0.887658
ENSAMXT00000000083.1	1080	912.461	44	1.20804
ENSAMXT00000000084.1	1912	1744.46	118.013	1.69477
ENSAMXT00000000085.1	1319	1151.46	11281	245.438
ENSAMXT00000000086.1	4010	3842.46	494.268	3.22253
ENSAMXT00000000089.1	1778	1610.46	60	0.933351
ENSAMXT00000000092.1	2043	1875.46	588	7.8544
ENSAMXT00000000087.1	768	600.461	250	10.4304
ENSAMXT00000000088.1	743	575.461	3	0.130602
ENSAMXT00000000090.1	1204	1036.46	5	0.120854
ENSAMXT00000000093.1	1601	1433.46	10	0.174766
ENSAMXT00000000091.1	504	336.98	17	1.26383
ENSAMXT00000000094.1	1738	1570.46	313	4.99299
ENSAMXT00000000095.1	766	598.461	44.9763	1.88274
ENSAMXT00000000103.1	6249	6081.46	463	1.90729
ENSAMXT00000000096.1	4218	4050.46	1662.97	10.2855
ENSAMXT00000000097.1	7264	7096.46	817.555	2.88615
ENSAMXT00000000104.1	2735	2567.46	340	3.31756
ENSAMXT00000000099.1	1614	1446.46	47	0.81402
ENSAMXT00000000111.1	3849	3681.46	541	3.68147
ENSAMXT00000000100.1	3188	3020.46	30.4624	0.252659
ENSAMXT00000000101.1	696	528.516	80	3.79206
ENSAMXT00000000102.1	2344	2176.46	631.413	7.26785
ENSAMXT00000000105.1	577	409.689	224	13.6974
ENSAMXT00000000106.1	1206	1038.46	71	1.71282
ENSAMXT00000000146.1	6163	5995.46	688	2.87481
ENSAMXT00000000107.1	2308	2140.46	738.499	8.64344
ENSAMXT00000000108.1	5144	4976.46	103.071	0.518872
ENSAMXT00000000109.1	4893	4725.46	3298	17.4844
ENSAMXT00000000122.1	4701	4533.46	2454.44	13.5633
ENSAMXT00000000110.1	1316	1148.46	1878	40.966
ENSAMXT00000000113.1	3032	2864.46	178	1.55676
ENSAMXT00000000112.1	2140	1972.46	610	7.74756
ENSAMXT00000000114.1	3281	3113.46	34.1708	0.274951
ENSAMXT00000000115.1	3763	3595.46	2320	16.1651
ENSAMXT00000000130.1	1119	951.461	26	0.684583
ENSAMXT00000000116.1	2365	2197.46	51.1097	0.582674
ENSAMXT00000000117.1	1135	967.461	88.4782	2.29111
ENSAMXT00000000118.1	2339	2171.46	13.2258	0.152585
ENSAMXT00000000119.1	3476	3308.46	1162.52	8.80276
ENSAMXT00000000120.1	1061	893.461	2	0.0560787
ENSAMXT00000000121.1	2042	1874.46	267	3.56844
ENSAMXT00000000123.1	4275	4107.46	1525	9.30122
ENSAMXT00000000124.1	4766	4598.46	7699.8	41.948
ENSAMXT00000000125.1	3535	3367.46	2454.83	18.2626
ENSAMXT00000000126.1	4829	4661.46	1934.37	10.3959
ENSAMXT00000000127.1	883	715.461	221	7.73838
ENSAMXT00000000128.1	1063	895.461	31	0.867279
ENSAMXT00000000129.1	3089	2921.46	152.696	1.3094
ENSAMXT00000000133.1	2249	2081.46	899	10.8202
ENSAMXT00000000131.1	2491	2323.46	909.786	9.80951
ENSAMXT00000000132.1	2529	2361.46	84.2143	0.893406
ENSAMXT00000000135.1	2119	1951.46	103.224	1.32515
ENSAMXT00000000137.1	744	576.461	265.704	11.5471
ENSAMXT00000000134.1	5139	4971.46	1796.74	9.05407
ENSAMXT00000000136.1	5352	5184.46	2461.12	11.8925
ENSAMXT00000000138.1	384	218.135	4	0.459386
ENSAMXT00000000139.1	3533	3365.46	54451.5	405.33
ENSAMXT00000000140.1	1294	1126.46	309.358	6.88001
ENSAMXT00000000141.1	1697	1529.46	1055	17.2806
ENSAMXT00000000142.1	2215	2047.46	240.416	2.94165
ENSAMXT00000000143.1	1760	1592.46	19	0.298902
ENSAMXT00000000144.1	2252	2084.46	748	8.98983
ENSAMXT00000000145.1	5469	5301.46	18	0.0850591
ENSAMXT00000000147.1	678	510.516	241	11.8264
ENSAMXT00000000151.1	5113	4945.46	1317.9	6.67604
ENSAMXT00000000148.1	2061	1893.46	34.2986	0.453799
ENSAMXT00000000149.1	825	657.461	2	0.0762086
ENSAMXT00000000150.1	141	18.5909	4	5.39017
ENSAMXT00000000152.1	4265	4097.46	881.282	5.3882
ENSAMXT00000000154.1	1956	1788.46	523.054	7.32674
ENSAMXT00000000153.1	9312	9144.46	328	0.898586
ENSAMXT00000000158.1	1539	1371.46	638	11.6542
ENSAMXT00000000155.1	4762	4594.46	24	0.130864
ENSAMXT00000000156.1	11358	11190.5	796.357	1.7828
ENSAMXT00000000167.1	7244	7076.46	986.026	3.49073
ENSAMXT00000000157.1	1407	1239.46	10743	217.138
ENSAMXT00000000159.1	2320	2152.46	71	0.826355
ENSAMXT00000000165.1	819	651.461	108384	4167.93
ENSAMXT00000000179.1	3906	3738.46	1284.03	8.60448
ENSAMXT00000000180.1	4163	3995.46	1695.97	10.634
ENSAMXT00000000160.1	2884	2716.46	199	1.83524
ENSAMXT00000000161.1	2950	2782.46	1461	13.1542
ENSAMXT00000000162.1	3177	3009.46	897	7.46702
