target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7272.87	751.942	12.2704
ENSONIT00000000002.1	2865	2610.87	82.3143	3.7417
ENSONIT00000000003.1	1261	1006.87	474.119	55.8848
ENSONIT00000000004.1	5342	5087.87	5	0.116631
ENSONIT00000000005.1	3889	3634.87	642	20.9616
ENSONIT00000000006.1	948	694.018	0	0
ENSONIT00000000007.1	3180	2925.87	199	8.07193
ENSONIT00000000008.1	487	251.8	6933	3267.72
ENSONIT00000000009.1	1438	1183.87	0	0
ENSONIT00000000010.1	837	583.797	0	0
ENSONIT00000000011.1	7684	7429.87	124	1.9807
ENSONIT00000000012.1	6448	6193.87	491.136	9.41062
ENSONIT00000000013.1	1659	1404.87	261.029	22.0512
ENSONIT00000000014.1	1419	1164.87	77.8351	7.93007
ENSONIT00000000015.1	903	649.253	7	1.27957
ENSONIT00000000016.1	1940	1685.87	205.773	14.4858
ENSONIT00000000017.1	933	679.096	0	0
ENSONIT00000000018.1	3892	3637.87	200	6.52472
ENSONIT00000000019.1	1045	790.87	16.9189	2.5389
ENSONIT00000000020.1	2356	2101.87	0	0
ENSONIT00000000021.1	4333	4078.87	0	0
ENSONIT00000000022.1	1581	1326.87	0	0
ENSONIT00000000023.1	4614	4359.87	303.658	8.26591
ENSONIT00000000024.1	3198	2943.87	32.3417	1.30384
ENSONIT00000000025.1	4590	4335.87	207	5.66596
ENSONIT00000000026.1	681	430.936	637	175.431
ENSONIT00000000027.1	828	574.855	0	0
ENSONIT00000000028.1	1315	1060.87	0	0
ENSONIT00000000029.1	771	518.653	0	0
ENSONIT00000000030.1	705	454.174	0	0
ENSONIT00000000031.1	1431	1176.87	5	0.504221
ENSONIT00000000032.1	732	480.438	0	0
ENSONIT00000000033.1	1746	1491.87	6.33309	0.503807
ENSONIT00000000034.1	489	253.555	9.45723	4.42661
ENSONIT00000000035.1	4196	3941.87	4088.84	123.105
ENSONIT00000000036.1	663	413.589	4.21926	1.21073
ENSONIT00000000037.1	1910	1655.87	61	4.37203
ENSONIT00000000038.1	444	215.525	9.54277	5.2548
ENSONIT00000000039.1	3574	3319.87	395	14.1207
ENSONIT00000000040.1	4793	4538.87	299.31	7.82623
ENSONIT00000000041.1	3381	3126.87	35.6899	1.35461
