Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSDARG00000074303	ENSDARG00000075509	phf12a	phf12b	3.90167440358461e-41	7.70061617090742e-10	7	FishWGD	protein_coding
ENSDARG00000009094	ENSDARG00000059327	gata2b	gata2a	3.52504541017815e-122	0.0260346849996276	7	Clupeocephala	protein_coding
ENSDARG00000081837	ENSDARG00000080168	dre-mir-15a-2	dre-mir-15a-1	8.31715460463355e-30	5.7020443209406e-05	6	FishWGD	miRNA
ENSDARG00000060637	ENSDARG00000060638	clstn2	CLSTN2 (1 to many)	6.99507033576879e-74	1.85030895097931e-05	7	FishWGD	protein_coding
ENSDARG00000063444	ENSDARG00000061858	si:dkey-32n7.7	zgc:153968	3.15562078385748e-48	6.58809120513627e-14	5	FishWGD	protein_coding
ENSDARG00000088332	ENSDARG00000074442	alx4a	alx4b	2.41589013395036e-102	1.02099680736047e-19	6	FishWGD	protein_coding
ENSDARG00000038012	ENSDARG00000104188	fam83fa	fam83fb	5.93629924951831e-60	6.69581389492744e-11	7	FishWGD	protein_coding
ENSDARG00000095896	ENSDARG00000042032	pou3f3b	pou3f3a	9.45022187010399e-68	1.20158951872576e-27	6	FishWGD	protein_coding
ENSDARG00000093595	ENSDARG00000104524	si:dkey-88n24.10	CR391991.4	0.016066630541743	1.55409788311217e-10	1	FishWGD	protein_coding
ENSDARG00000002483	ENSDARG00000044827	WNT7A (1 to many)	wnt7aa	2.24861065470285e-55	3.93240399597246e-09	6	FishWGD	protein_coding
ENSDARG00000022185	ENSDARG00000071213	RGL3 (1 to many)	rgl3a	2.59185825615654e-83	1.28833534919348e-19	6	FishWGD	protein_coding
ENSDARG00000008165	ENSDARG00000094433	caspa	caspbl	0.000212850211998172	0.243171554443316	5	FishWGD	protein_coding
ENSDARG00000095250	ENSDARG00000091083	si:ch211-225k7.3	si:ch211-195j11.27	0.016066630541743	1.87455283649592e-10	1	FishWGD	protein_coding
ENSDARG00000041394	ENSDARG00000099383	dnajb1b	dnajb1a	4.51118214652137e-105	1.50986499322053e-34	5	FishWGD	protein_coding
ENSDARG00000013963	ENSDARG00000037285	mipb	mipa	1.15538846346915e-22	1.34345444308069e-08	6	FishWGD	protein_coding
ENSDARG00000025607	ENSDARG00000100678	ifnphi1	ifnphi4	1.23058684302011e-18	5.98676149655367e-17	1	FishWGD	protein_coding
ENSDARG00000075634	ENSDARG00000102866	si:ch211-225k7.4	CR391991.1	0.016066630541743	1.5160658393559e-10	1	FishWGD	protein_coding
ENSDARG00000074813	ENSDARG00000053940	CT030144.2	btr32	0.000154199420106119	0.283403485960846	5	FishWGD	protein_coding
ENSDARG00000042723	ENSDARG00000044015	gfra2a	gfra2b	8.17117763611641e-40	0.00220496679719954	7	FishWGD	protein_coding
ENSDARG00000061030	ENSDARG00000008247	vezf1b	vezf1a	1.89298811034135e-38	4.41976263847475e-14	7	FishWGD	protein_coding
ENSDARG00000077136	ENSDARG00000105247	si:dkey-28d5.14	CR391991.5	0.016066630541743	2.40898191917284e-10	1	FishWGD	protein_coding
ENSDARG00000095250	ENSDARG00000104302	si:ch211-225k7.3	CR391991.3	0.016066630541743	2.00802636197831e-10	1	FishWGD	protein_coding
ENSDARG00000089529	ENSDARG00000033140	desi1b	desi1a	4.94808224398316e-105	7.03935130927419e-15	7	FishWGD	protein_coding
ENSDARG00000100972	ENSDARG00000009782	myh11b	myh11a	6.81022570911094e-58	1.34377780033007e-09	6	FishWGD	protein_coding
