target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	25.7905	0	0
ENSELUT00000043746.1	57	25.7905	0	0
ENSELUT00000037603.1	57	25.7905	0	0
ENSELUT00000037622.1	60	27.8104	0	0
ENSELUT00000043756.1	60	27.8104	0	0
ENSELUT00000036957.1	291	134.222	7.87114	6.52483
ENSELUT00000043605.1	309	149.656	0	0
ENSELUT00000013117.1	339	176.411	8.37841	5.28436
ENSELUT00000013112.1	252	102.169	4.67351	5.08954
ENSELUT00000036937.1	291	134.222	1	0.828956
ENSELUT00000036941.1	273	119.176	0	0
ENSELUT00000036943.1	306	147.059	1.11126	0.840779
ENSELUT00000036966.1	306	147.059	2.27912	1.72438
ENSELUT00000036993.1	288	131.643	0	0
ENSELUT00000037021.1	291	134.222	0	0
ENSELUT00000043560.1	333	170.968	1	0.650792
ENSELUT00000037132.1	354	190.119	6.28248	3.67673
ENSELUT00000037138.1	333	170.968	0	0
ENSELUT00000043572.1	315	154.901	0	0
ENSELUT00000037291.1	348	184.602	0	0
ENSELUT00000037323.1	333	170.968	0	0
ENSELUT00000037354.1	348	184.602	0	0
ENSELUT00000043648.1	309	149.656	0	0
ENSELUT00000037369.1	333	170.968	0	0
ENSELUT00000037383.1	330	168.316	3.58109	2.36725
ENSELUT00000037448.1	333	170.968	0	0
ENSELUT00000043712.1	318	157.568	1	0.706136
ENSELUT00000037530.1	333	170.968	0	0
ENSELUT00000037640.1	303	144.436	0	0
ENSELUT00000000007.1	975	804.883	10430	1441.81
ENSELUT00000000011.1	1050	879.875	12760	1613.56
ENSELUT00000000017.1	1551	1380.88	124210	10008.2
ENSELUT00000000020.1	691	520.975	43554	9301.81
ENSELUT00000000022.1	168	44.3041	2392	6007.21
ENSELUT00000000023.1	682	511.975	21190	4605.09
ENSELUT00000000024.1	785	614.931	102744	18590.3
ENSELUT00000000026.1	349	185.512	2502	1500.62
ENSELUT00000000028.1	297	139.319	1659	1324.93
ENSELUT00000000029.1	1381	1210.88	16562	1521.84
ENSELUT00000000033.1	1839	1668.88	12684	845.645
ENSELUT00000000034.1	522	352.639	5381	1697.81
ENSELUT00000000036.1	1137	966.875	33244	3825.59
ENSELUT00000019592.1	708	537.964	5.75219	1.1897
ENSELUT00000019593.1	4511	4340.88	147.309	3.77579
ENSELUT00000019594.1	4531	4360.88	197.448	5.03774
ENSELUT00000019595.1	4384	4213.88	135.842	3.5868
ENSELUT00000019596.1	3561	3390.88	19.6489	0.644738
ENSELUT00000019574.1	1629	1458.88	34.914	2.66279
ENSELUT00000019438.1	3662	3491.88	2	0.0637275
ENSELUT00000019409.1	1280	1109.88	815.192	81.7225
ENSELUT00000019402.1	975	804.883	49.4032	6.82933
ENSELUT00000019395.1	1083	912.875	33.9646	4.13972
ENSELUT00000019290.1	600	430.149	3.86511	0.999766
ENSELUT00000019243.1	429	261.258	70	29.8115
ENSELUT00000019228.1	2097	1926.88	210	12.1261
ENSELUT00000019086.1	4509	4338.88	17.6967	0.453807
ENSELUT00000019091.1	4367	4196.88	44.0614	1.16812
ENSELUT00000019093.1	4024	3853.88	34.2419	0.988589
ENSELUT00000018995.1	1461	1290.88	28.957	2.49589
ENSELUT00000019012.1	1755	1584.88	8.16082	0.572921
ENSELUT00000018900.1	4974	4803.88	3.61109	0.0836377
ENSELUT00000018903.1	1902	1731.88	8.36521	0.537423
ENSELUT00000018901.1	6151	5980.88	1293	24.0541
ENSELUT00000018898.1	2022	1851.88	183.691	11.0365
ENSELUT00000018899.1	1921	1750.88	497.511	31.6157
ENSELUT00000018776.1	1584	1413.88	9	0.708251
ENSELUT00000018774.1	456	287.577	8.52939	3.30004
ENSELUT00000018782.1	453	284.638	23.4516	9.16718
ENSELUT00000018563.1	5430	5259.88	1238.75	26.2037
ENSELUT00000018091.1	597	427.171	4.65933	1.21361
ENSELUT00000018094.1	3092	2921.88	16.4667	0.627049
ENSELUT00000018069.1	6177	6006.88	764.42	14.1592
ENSELUT00000018071.1	6060	5889.88	28.816	0.544357
ENSELUT00000018075.1	5249	5078.88	524.764	11.4961
ENSELUT00000018064.1	1683	1512.88	6	0.44127
ENSELUT00000018065.1	1885	1714.88	0	0
ENSELUT00000018014.1	4172	4001.88	150.988	4.19793
ENSELUT00000018021.1	1858	1687.88	389.972	25.7069
ENSELUT00000018011.1	1421	1250.88	1080	96.0651
ENSELUT00000018006.1	1809	1638.88	48	3.25875
ENSELUT00000017993.1	453	284.638	1	0.390898
ENSELUT00000017644.1	726	555.942	10.8033	2.16213
ENSELUT00000017648.1	13089	12918.9	2644.24	22.7737
ENSELUT00000017666.1	12885	12714.9	6.75569	0.0591171
ENSELUT00000017633.1	747	576.931	3	0.578567
ENSELUT00000017635.1	2969	2798.88	20	0.795064
ENSELUT00000017647.1	1239	1068.88	0	0
ENSELUT00000017575.1	5191	5020.88	369.604	8.19056
ENSELUT00000017586.1	5104	4933.88	0	0
ENSELUT00000017606.1	3867	3696.88	15.0628	0.453344
