target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7211.03	729.794	13.7502
ENSONIT00000000002.1	2865	2549.03	36.0934	1.92379
ENSONIT00000000003.1	1261	945.03	400.264	57.5448
ENSONIT00000000004.1	5342	5026.03	125	3.37901
ENSONIT00000000005.1	3889	3573.03	127	4.82916
ENSONIT00000000006.1	948	632.249	0	0
ENSONIT00000000007.1	3180	2864.03	104	4.93356
ENSONIT00000000008.1	487	198.651	4046	2767.19
ENSONIT00000000009.1	1438	1122.03	0	0
ENSONIT00000000010.1	837	522.377	252	65.5422
ENSONIT00000000011.1	7684	7368.03	42	0.774467
ENSONIT00000000012.1	6448	6132.03	182.51	4.04377
ENSONIT00000000013.1	1659	1343.03	76.027	7.69107
ENSONIT00000000014.1	1419	1103.03	39.4635	4.86086
ENSONIT00000000015.1	903	587.568	8	1.84985
ENSONIT00000000016.1	1940	1624.03	81.304	6.80178
ENSONIT00000000017.1	933	617.347	0	0
ENSONIT00000000018.1	3892	3576.03	372	14.1334
ENSONIT00000000019.1	1045	729.03	18.7279	3.49019
ENSONIT00000000020.1	2356	2040.03	0	0
ENSONIT00000000021.1	4333	4017.03	1	0.033822
ENSONIT00000000022.1	1581	1265.03	0	0
ENSONIT00000000023.1	4614	4298.03	103.301	3.26544
ENSONIT00000000024.1	3198	2882.03	41.6986	1.96575
ENSONIT00000000025.1	4590	4274.03	58	1.84372
ENSONIT00000000026.1	681	371.316	107	39.1512
ENSONIT00000000027.1	828	513.57	0	0
ENSONIT00000000028.1	1315	999.03	0	0
ENSONIT00000000029.1	771	457.784	0	0
ENSONIT00000000030.1	705	394.077	0	0
ENSONIT00000000031.1	1431	1115.03	0	0
ENSONIT00000000032.1	732	419.931	0	0
ENSONIT00000000033.1	1746	1430.03	0	0
ENSONIT00000000034.1	489	200.255	4	2.71382
ENSONIT00000000035.1	4196	3880.03	1975.67	69.1807
ENSONIT00000000036.1	663	354.297	4.36314	1.67316
ENSONIT00000000037.1	1910	1594.03	9	0.767098
ENSONIT00000000038.1	444	165.135	3	2.46824
ENSONIT00000000039.1	3574	3258.03	176	7.33943
ENSONIT00000000040.1	4793	4477.03	564.198	17.1217
ENSONIT00000000041.1	3381	3065.03	26.8015	1.18804
ENSONIT00000000042.1	2159	1843.03	29	2.13782
ENSONIT00000000043.1	2452	2136.03	96.3254	6.12687
ENSONIT00000000044.1	1593	1277.03	0	0
ENSONIT00000000045.1	2701	2385.03	0	0
ENSONIT00000000046.1	822	507.698	0	0
ENSONIT00000000047.1	5615	5299.03	276.009	7.07671
ENSONIT00000000048.1	3524	3208.03	27.9716	1.18463
ENSONIT00000000049.1	2216	1900.03	92.039	6.58137
ENSONIT00000000050.1	3987	3671.03	0	0
ENSONIT00000000051.1	1779	1463.03	181	16.8085
ENSONIT00000000052.1	4225	3909.03	8.63269	0.300042
ENSONIT00000000053.1	252	49.3976	0	0
ENSONIT00000000054.1	1925	1609.03	0	0
ENSONIT00000000055.1	2408	2092.03	2.35493	0.152938
ENSONIT00000000056.1	621	315.305	1.64507	0.708858
ENSONIT00000000057.1	2756	2440.03	1906	106.129
ENSONIT00000000058.1	1560	1244.03	98	10.7029
ENSONIT00000000059.1	4662	4346.03	292	9.1284
ENSONIT00000000060.1	3705	3389.03	28	1.1225
ENSONIT00000000061.1	5249	4933.03	16	0.440667
ENSONIT00000000062.1	3788	3472.03	14.9035	0.583191
ENSONIT00000000063.1	1281	965.03	0	0
ENSONIT00000000064.1	1084	768.03	10	1.76899
ENSONIT00000000065.1	932	616.356	36	7.93552
ENSONIT00000000066.1	1914	1598.03	125	10.6275
ENSONIT00000000067.1	989	673.054	75	15.1397
ENSONIT00000000068.1	2325	2009.03	12	0.811521
ENSONIT00000000069.1	3923	3607.03	365	13.7483
ENSONIT00000000070.1	3705	3389.03	22	0.881966
ENSONIT00000000071.1	2997	2681.03	0	0
ENSONIT00000000072.1	1976	1660.03	85	6.95677
ENSONIT00000000073.1	4689	4373.03	53	1.64664
ENSONIT00000000074.1	1955	1639.03	812	67.3091
ENSONIT00000000075.1	5508	5192.03	63.0429	1.6497
ENSONIT00000000076.1	3426	3110.03	21.9571	0.959213
ENSONIT00000000077.1	5038	4722.03	102	2.93478
ENSONIT00000000078.1	4171	3855.03	359	12.6524
ENSONIT00000000079.1	2354	2038.03	2466.69	164.441
ENSONIT00000000080.1	2515	2199.03	110	6.7962
ENSONIT00000000081.1	2378	2062.03	6.00936	0.395948
ENSONIT00000000082.1	1662	1346.03	0	0
ENSONIT00000000083.1	2361	2045.03	49.1542	3.26562
ENSONIT00000000084.1	3525	3209.03	227	9.61074
ENSONIT00000000085.1	1716	1400.03	22	2.13496
ENSONIT00000000086.1	8305	7989.03	133	2.26184
ENSONIT00000000087.1	1392	1076.03	73	9.21729
ENSONIT00000000088.1	3217	2901.03	129.852	6.08139
ENSONIT00000000089.1	804	490.059	64.0646	17.7613
ENSONIT00000000090.1	1897	1581.03	416	35.7485
ENSONIT00000000091.1	6765	6449.03	7	0.147472
ENSONIT00000000092.1	2004	1688.03	0	0
ENSONIT00000000093.1	663	354.297	33	12.6547
ENSONIT00000000094.1	2085	1769.03	27	2.07364
ENSONIT00000000095.1	3537	3221.03	8.98673	0.379063
ENSONIT00000000096.1	4064	3748.03	3.01327	0.109229
ENSONIT00000000097.1	2633	2317.03	9	0.527735
ENSONIT00000000098.1	1083	767.03	1	0.17713
ENSONIT00000000099.1	891	575.68	6	1.41604
ENSONIT00000000100.1	1542	1226.03	22	2.43796
ENSONIT00000000101.1	1449	1133.03	42	5.03631
ENSONIT00000000102.1	480	193.045	34	23.9291
ENSONIT00000000103.1	5578	5262.03	320	8.26231
ENSONIT00000000104.1	1428	1112.03	58	7.08625
ENSONIT00000000105.1	2163	1847.03	41	3.01588
ENSONIT00000000106.1	2614	2298.03	0	0
ENSONIT00000000107.1	1398	1082.03	1	0.125564
ENSONIT00000000108.1	2879	2563.03	1032	54.7055
ENSONIT00000000109.1	4139	3823.03	127.239	4.52187
ENSONIT00000000110.1	3540	3224.03	3.7608	0.158484
ENSONIT00000000111.1	4344	4028.03	388.107	13.0907
ENSONIT00000000112.1	1965	1649.03	56	4.61386
ENSONIT00000000113.1	1420	1104.03	3	0.369186
ENSONIT00000000114.1	2532	2216.03	38	2.32977
ENSONIT00000000115.1	6356	6040.03	294	6.61322
ENSONIT00000000116.1	3789	3473.03	0	0
ENSONIT00000000117.1	1740	1424.03	0	0
ENSONIT00000000118.1	2960	2644.03	9.37732	0.481856
ENSONIT00000000119.1	699	388.348	0.622684	0.217847
ENSONIT00000000120.1	1338	1022.03	7	0.930549
ENSONIT00000000121.1	951	635.231	48	10.2663
ENSONIT00000000122.1	657	348.658	241	93.9121
