gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1209.00	8.00	0.36	0.25
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1708.00	528.97	16.83	11.67
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5693.00	2456.80	23.44	16.25
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1513.00	221.00	7.94	5.50
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3125.00	1796.23	31.22	21.65
ENSOCUG00000000007	ENSOCUT00000000006	474.00	340.88	30.00	4.80	3.33
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1633.00	15.00	0.50	0.35
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	741.05	607.09	2680.08	240.25	166.56
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2275.00	418.00	9.98	6.92
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1294.00	829.25	34.84	24.15
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1463.00	232.21	8.63	5.98
ENSOCUG00000000014	ENSOCUT00000011806	758.00	624.02	27017.52	2356.14	1633.46
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3177.00	1390.43	23.77	16.48
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1552.00	18.75	0.66	0.46
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6404.00	1477.91	12.53	8.69
ENSOCUG00000000018	ENSOCUT00000000017	558.00	424.32	432.99	55.58	38.53
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5881.00	756.00	6.98	4.84
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3905.00	6873.24	95.60	66.28
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1433.00	864.08	32.77	22.72
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2014.00	360.04	9.71	6.73
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2299.00	396.00	9.36	6.49
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	6992.00	85.93	0.67	0.46
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1624.00	17.00	0.57	0.39
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1953.00	1819.00	412.00	12.31	8.53
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	2123.41	1989.41	372.77	10.18	7.06
ENSOCUG00000000031	ENSOCUT00000000031	969.00	835.00	18.00	1.17	0.81
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5229.00	108.10	1.12	0.78
ENSOCUG00000000034	ENSOCUT00000000034	4250.00	4116.00	845.00	11.15	7.73
ENSOCUG00000000036	ENSOCUT00000000036	1008.00	874.00	0.00	0.00	0.00
ENSOCUG00000000038	ENSOCUT00000000038	2284.00	2150.00	329.00	8.31	5.76
ENSOCUG00000000040	ENSOCUT00000000040	687.00	553.06	211.00	20.77	14.40
ENSOCUG00000000041	ENSOCUT00000000041	1702.00	1568.00	1.00	0.03	0.02
ENSOCUG00000000044	ENSOCUT00000000044	939.00	805.00	3.00	0.20	0.14
ENSOCUG00000000045	ENSOCUT00000000045	2817.00	2683.00	2.40	0.05	0.03
ENSOCUG00000000046	ENSOCUT00000000046	792.00	658.01	3.00	0.25	0.17
ENSOCUG00000000049	ENSOCUT00000027874	4492.00	4358.00	169.00	2.11	1.46
ENSOCUG00000000051	ENSOCUT00000031590	9051.00	8917.00	791.33	4.82	3.34
ENSOCUG00000000052	ENSOCUT00000000051	915.00	781.00	0.00	0.00	0.00
ENSOCUG00000000054	ENSOCUT00000000053	681.00	547.07	0.00	0.00	0.00
ENSOCUG00000000055	ENSOCUT00000000055	1293.00	1159.00	33.83	1.59	1.10
ENSOCUG00000000057	ENSOCUT00000000062	9873.00	9739.00	15765.55	87.90	60.94
ENSOCUG00000000059	ENSOCUT00000000057	3165.00	3031.00	1216.08	21.79	15.11
ENSOCUG00000000060	ENSOCUT00000000059	3536.00	3402.00	6522.26	104.14	72.20
ENSOCUG00000000061	ENSOCUT00000000061	2153.00	2019.00	20.05	0.54	0.37
ENSOCUG00000000063	ENSOCUT00000000063	1143.00	1009.00	161.00	8.68	6.02
ENSOCUG00000000064	ENSOCUT00000000064	1102.00	968.00	1306.01	73.37	50.86
ENSOCUG00000000065	ENSOCUT00000000065	768.00	634.02	0.00	0.00	0.00
ENSOCUG00000000066	ENSOCUT00000000066	1608.00	1474.00	312.02	11.51	7.98
ENSOCUG00000000068	ENSOCUT00000029308	5321.00	5187.00	775.72	8.12	5.63
ENSOCUG00000000069	ENSOCUT00000000070	4485.00	4351.00	951.01	11.87	8.23
ENSOCUG00000000070	ENSOCUT00000000068	1089.00	955.00	1.06	0.06	0.04
ENSOCUG00000000071	ENSOCUT00000000071	7239.00	7105.00	494.76	3.78	2.62
ENSOCUG00000000072	ENSOCUT00000000072	1876.00	1742.00	577.75	18.02	12.50
ENSOCUG00000000073	ENSOCUT00000000073,ENSOCUT00000033809	2410.53	2276.54	3047.20	72.72	50.42
ENSOCUG00000000074	ENSOCUT00000000074	771.00	637.02	262.00	22.38	15.52
ENSOCUG00000000075	ENSOCUT00000022040	1011.00	877.00	2368.02	146.85	101.81
ENSOCUG00000000076	ENSOCUT00000000076	6306.00	6172.00	4455.45	39.20	27.18
ENSOCUG00000000077	ENSOCUT00000000077	1164.00	1030.00	50.00	2.64	1.83
ENSOCUG00000000078	ENSOCUT00000000080	1574.00	1440.00	2031.07	76.66	53.15
