target_id	length	eff_length	est_counts	tpm
ENSAMXT00000000001.1	1387	1210.75	77	4.31432
ENSAMXT00000000013.1	2742	2565.75	364.92	9.6485
ENSAMXT00000000002.1	698	521.879	8.15623	1.06022
ENSAMXT00000000003.1	2951	2774.75	0	0
ENSAMXT00000000004.1	4909	4732.75	117.632	1.68612
ENSAMXT00000000005.1	2699	2522.75	2	0.0537815
ENSAMXT00000000009.1	4468	4291.75	17.0456	0.269437
ENSAMXT00000000017.1	3702	3525.75	14.3006	0.275158
ENSAMXT00000000006.1	1382	1205.75	245.752	13.8267
ENSAMXT00000000021.1	1777	1600.75	270.597	11.4677
ENSAMXT00000000007.1	338	167.306	56	22.7067
ENSAMXT00000000014.1	3833	3656.75	802.826	14.8937
ENSAMXT00000000008.1	730	553.879	60.0279	7.35218
ENSAMXT00000000010.1	3144	2967.75	371	8.48055
ENSAMXT00000000012.1	1317	1140.75	11.5093	0.68444
ENSAMXT00000000020.1	4361	4184.75	23.9097	0.387599
ENSAMXT00000000032.1	6532	6355.75	5486.5	58.5607
ENSAMXT00000000011.1	487	311.504	656.378	142.945
ENSAMXT00000000019.1	4510	4333.75	1319.16	20.6496
ENSAMXT00000000015.1	1354	1177.75	47.7318	2.74936
ENSAMXT00000000016.1	1460	1283.75	34.0554	1.79963
ENSAMXT00000000018.1	1955	1778.75	26	0.991597
ENSAMXT00000000026.1	4946	4769.75	922	13.1133
ENSAMXT00000000022.1	1361	1184.75	5312.72	304.206
ENSAMXT00000000029.1	1836	1659.75	5	0.204364
ENSAMXT00000000023.1	411	236.834	2	0.57288
ENSAMXT00000000024.1	6022	5845.75	1061.97	12.324
ENSAMXT00000000027.1	5983	5806.75	2.82047e-08	3.29508e-10
ENSAMXT00000000025.1	611	434.925	62.6988	9.77964
ENSAMXT00000000028.1	398	224.159	25	7.56592
ENSAMXT00000000031.1	1558	1381.75	12.0818	0.593172
ENSAMXT00000000030.1	587	410.925	34	5.61299
ENSAMXT00000000052.1	7118	6941.75	9.2173	0.0900767
ENSAMXT00000000033.1	1117	940.753	2519.92	181.714
ENSAMXT00000000034.1	1170	993.753	32	2.18449
ENSAMXT00000000036.1	2322	2145.75	607.065	19.1926
ENSAMXT00000000035.1	3873	3696.75	10	0.183509
ENSAMXT00000000041.1	3969	3792.75	455	8.13832
ENSAMXT00000000039.1	1715	1538.75	32.0659	1.41368
ENSAMXT00000000037.1	4153	3976.75	37	0.631177
ENSAMXT00000000043.1	1547	1370.75	27	1.33623
ENSAMXT00000000065.1	2244	2067.75	14.0097	0.459631
ENSAMXT00000000038.1	2289	2112.75	1577	50.6362
ENSAMXT00000000040.1	2212	2035.75	2123.41	70.7597
ENSAMXT00000000042.1	1829	1652.75	577	23.6835
ENSAMXT00000000044.1	1955	1778.75	26.6948	1.01809
ENSAMXT00000000051.1	3826	3649.75	127.373	2.3675
ENSAMXT00000000045.1	2440	2263.75	44.1027	1.32164
ENSAMXT00000000046.1	1286	1109.75	114	6.96877
ENSAMXT00000000047.1	7797	7620.75	150.706	1.34156
ENSAMXT00000000048.1	1002	825.753	27	2.21815
ENSAMXT00000000049.1	1274	1097.75	565.348	34.9373
ENSAMXT00000000050.1	6515	6338.75	319.249	3.41667
ENSAMXT00000000053.1	1652	1475.75	270	12.4116
ENSAMXT00000000054.1	4869	4692.75	5.85505	0.0846411
ENSAMXT00000000063.1	1407	1230.75	70	3.85838
ENSAMXT00000000058.1	2714	2537.75	1730	46.246
ENSAMXT00000000056.1	843	666.753	5	0.508724
ENSAMXT00000000055.1	4261	4084.75	127	2.10919
ENSAMXT00000000057.1	4748	4571.75	923	13.6961
ENSAMXT00000000059.1	5094	4917.75	620.838	8.56425
ENSAMXT00000000060.1	4119	3942.75	809	13.9196
ENSAMXT00000000062.1	4425	4248.75	256.358	4.0932
ENSAMXT00000000061.1	2803	2626.75	372.084	9.60947
ENSAMXT00000000067.1	2352	2175.75	1187.95	37.0397
ENSAMXT00000000064.1	498	322.346	7	1.47317
ENSAMXT00000000072.1	1206	1029.75	89.9652	5.92678
ENSAMXT00000000098.1	3336	3159.75	376.265	8.07827
ENSAMXT00000000069.1	2395	2218.75	22.7498	0.695579
ENSAMXT00000000070.1	1471	1294.75	399.115	20.9117
ENSAMXT00000000066.1	2866	2689.75	3.05084	0.0769459
ENSAMXT00000000068.1	1562	1385.75	4.04635	0.198086
ENSAMXT00000000074.1	1686	1509.75	579	26.0166
ENSAMXT00000000071.1	1616	1439.75	145	6.83216
ENSAMXT00000000073.1	5684	5507.75	915.095	11.2712
ENSAMXT00000000075.1	11921	11744.8	37.0348	0.213917
ENSAMXT00000000077.1	2640	2463.75	41.0472	1.13022
ENSAMXT00000000078.1	4271	4094.75	1453	24.0722
ENSAMXT00000000076.1	1158	981.753	869	60.0475
ENSAMXT00000000079.1	3280	3103.75	367.015	8.02185
ENSAMXT00000000080.1	1413	1236.75	39.0457	2.14174
ENSAMXT00000000081.1	2343	2166.75	1094.27	34.2603
ENSAMXT00000000082.1	1240	1063.75	11	0.701503
ENSAMXT00000000083.1	1080	903.753	247	18.5406
ENSAMXT00000000084.1	1912	1735.75	76.1784	2.97729
ENSAMXT00000000085.1	1319	1142.75	386	22.9146
ENSAMXT00000000086.1	4010	3833.75	627.735	11.1078
ENSAMXT00000000089.1	1778	1601.75	28	1.18588
ENSAMXT00000000092.1	2043	1866.75	548	19.9146
ENSAMXT00000000087.1	768	591.879	1	0.114616
ENSAMXT00000000088.1	743	566.879	6	0.718024
ENSAMXT00000000090.1	1204	1027.75	16	1.05611
ENSAMXT00000000093.1	1601	1424.75	1	0.0476144
ENSAMXT00000000091.1	504	328.313	0	0
ENSAMXT00000000094.1	1738	1561.75	206	8.94814
ENSAMXT00000000095.1	766	589.879	57.4532	6.60738
ENSAMXT00000000103.1	6249	6072.75	180	2.01078
ENSAMXT00000000096.1	4218	4041.75	482.016	8.09039
ENSAMXT00000000097.1	7264	7087.75	331.547	3.17332
ENSAMXT00000000104.1	2735	2558.75	241	6.38949
ENSAMXT00000000099.1	1614	1437.75	38	1.79299
ENSAMXT00000000111.1	3849	3672.75	240	4.433
ENSAMXT00000000100.1	3188	3011.75	26.9373	0.606753
ENSAMXT00000000101.1	696	519.879	6.01434	0.784808
ENSAMXT00000000102.1	2344	2167.75	372.445	11.6555
ENSAMXT00000000105.1	577	400.925	135	22.8428
ENSAMXT00000000106.1	1206	1029.75	23	1.51521
ENSAMXT00000000146.1	6163	5986.75	4772	54.0738
ENSAMXT00000000107.1	2308	2131.75	121.025	3.85138
ENSAMXT00000000108.1	5144	4967.75	25	0.341395
ENSAMXT00000000109.1	4893	4716.75	1626	23.386
ENSAMXT00000000122.1	4701	4524.75	1965.39	29.4666
ENSAMXT00000000110.1	1316	1139.75	40	2.38082
