gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSOCUG00000000001	ENSOCUT00000000001	1343.00	1217.52	2.00	0.06	0.05
ENSOCUG00000000003	ENSOCUT00000000004	1842.00	1716.52	24.00	0.52	0.46
ENSOCUG00000000004	ENSOCUT00000000003	5827.00	5701.52	1943.17	12.61	11.24
ENSOCUG00000000005	ENSOCUT00000000005	1647.00	1521.52	115.00	2.80	2.49
ENSOCUG00000000006	ENSOCUT00000000007	3259.00	3133.52	2420.00	28.59	25.48
ENSOCUG00000000007	ENSOCUT00000000006	474.00	349.15	146.00	15.54	13.85
ENSOCUG00000000008	ENSOCUT00000000008	1767.00	1641.52	21.00	0.47	0.42
ENSOCUG00000000009	ENSOCUT00000000009,ENSOCUT00000033273	693.04	567.61	957.32	62.59	55.77
ENSOCUG00000000010	ENSOCUT00000000011	2409.00	2283.52	139.00	2.25	2.01
ENSOCUG00000000012	ENSOCUT00000000012	1428.00	1302.52	7381.73	209.99	187.10
ENSOCUG00000000013	ENSOCUT00000000013	1597.00	1471.52	49.00	1.23	1.10
ENSOCUG00000000014	ENSOCUT00000011806	758.00	632.53	7545.18	442.57	394.32
ENSOCUG00000000015	ENSOCUT00000000015	3311.00	3185.52	5310.95	61.73	55.00
ENSOCUG00000000016	ENSOCUT00000032038	1686.00	1560.52	16.31	0.39	0.34
ENSOCUG00000000017	ENSOCUT00000000016	6538.00	6412.52	650.98	3.76	3.35
ENSOCUG00000000018	ENSOCUT00000000017	558.00	432.74	486.53	41.76	37.20
ENSOCUG00000000020	ENSOCUT00000016079	6015.00	5889.52	488.00	3.07	2.73
ENSOCUG00000000021	ENSOCUT00000000020	4039.00	3913.52	1541.58	14.58	12.99
ENSOCUG00000000022	ENSOCUT00000000022	1567.00	1441.52	717.90	18.45	16.44
ENSOCUG00000000023	ENSOCUT00000000023	2148.00	2022.52	4386.80	80.33	71.57
ENSOCUG00000000024	ENSOCUT00000000024	2433.00	2307.52	100.00	1.60	1.43
ENSOCUG00000000025	ENSOCUT00000000026	7126.00	7000.52	809.00	4.28	3.81
ENSOCUG00000000026	ENSOCUT00000000025	1758.00	1632.52	0.00	0.00	0.00
ENSOCUG00000000028	ENSOCUT00000000028,ENSOCUT00000000029	1950.16	1824.68	245.00	4.97	4.43
ENSOCUG00000000030	ENSOCUT00000000030,ENSOCUT00000033333	2019.21	1893.73	278.06	5.44	4.85
ENSOCUG00000000031	ENSOCUT00000000031	969.00	843.52	17.00	0.75	0.67
ENSOCUG00000000032	ENSOCUT00000000032	5363.00	5237.52	67.42	0.48	0.42
ENSOCUG00000000034	ENSOCUT00000000034	4250.00	4124.52	526.00	4.72	4.21
ENSOCUG00000000036	ENSOCUT00000000036	1008.00	882.52	2.00	0.08	0.07
ENSOCUG00000000038	ENSOCUT00000000038	2284.00	2158.52	186.90	3.21	2.86
ENSOCUG00000000040	ENSOCUT00000000040	687.00	561.56	182.00	12.03	10.72
ENSOCUG00000000041	ENSOCUT00000000041	1702.00	1576.52	7197.29	169.12	150.68
ENSOCUG00000000044	ENSOCUT00000000044	939.00	813.52	0.00	0.00	0.00
ENSOCUG00000000045	ENSOCUT00000000045	2817.00	2691.52	11.88	0.16	0.15
ENSOCUG00000000046	ENSOCUT00000000046	792.00	666.53	0.00	0.00	0.00
ENSOCUG00000000049	ENSOCUT00000027874	4492.00	4366.52	87.00	0.74	0.66
ENSOCUG00000000051	ENSOCUT00000031590	9051.00	8925.52	324.94	1.35	1.20
ENSOCUG00000000052	ENSOCUT00000000051	915.00	789.52	0.00	0.00	0.00
ENSOCUG00000000054	ENSOCUT00000000053	681.00	555.57	0.00	0.00	0.00
ENSOCUG00000000055	ENSOCUT00000000055	1293.00	1167.52	20.00	0.63	0.57
ENSOCUG00000000057	ENSOCUT00000000062	9873.00	9747.52	4193.81	15.92	14.19
ENSOCUG00000000059	ENSOCUT00000000057	3165.00	3039.52	587.22	7.15	6.37
ENSOCUG00000000060	ENSOCUT00000000059	3536.00	3410.52	1746.51	18.96	16.89
ENSOCUG00000000061	ENSOCUT00000000061	2153.00	2027.52	7.00	0.13	0.11
ENSOCUG00000000063	ENSOCUT00000000063	1143.00	1017.52	112.00	4.08	3.64
ENSOCUG00000000064	ENSOCUT00000000064	1102.00	976.52	570.57	21.66	19.30
ENSOCUG00000000065	ENSOCUT00000000065	768.00	642.53	0.00	0.00	0.00
ENSOCUG00000000066	ENSOCUT00000000066	1608.00	1482.52	23.00	0.57	0.51
