target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1464.71	325	13.4092
ENSORLT00000000002.1	1641	1491.71	273.989	11.1
ENSORLT00000000003.1	1389	1239.71	85.0108	4.14406
ENSORLT00000000004.1	537	387.976	8	1.24612
ENSORLT00000000005.1	520	370.976	0	0
ENSORLT00000000007.1	1809	1659.71	709	25.8158
ENSORLT00000000008.1	1098	948.713	192.506	12.2626
ENSORLT00000000010.1	1071	921.713	4.98456	0.326817
ENSORLT00000000011.1	1071	921.713	2.50926	0.164522
ENSORLT00000000006.1	936	786.713	180	13.827
ENSORLT00000000009.1	1271	1121.71	920	49.5654
ENSORLT00000000013.1	1707	1557.71	37	1.43545
ENSORLT00000000014.1	1062	912.713	0	0
ENSORLT00000000012.1	1495	1345.71	783	35.1627
ENSORLT00000000016.1	1239	1089.71	33	1.8301
ENSORLT00000000022.1	1851	1701.71	20.1796	0.716637
ENSORLT00000000024.1	1770	1620.71	42.8204	1.59668
ENSORLT00000000015.1	1368	1218.71	854	42.3477
ENSORLT00000000017.1	150	33.992	86	152.896
ENSORLT00000000019.1	972	822.713	9.50947	0.698523
ENSORLT00000000021.1	2412	2262.71	54	1.44224
ENSORLT00000000020.1	267	125.066	3	1.44962
ENSORLT00000000023.1	375	227.416	0	0
ENSORLT00000000025.1	312	166.613	2.77975	1.00826
ENSORLT00000000027.1	735	585.713	25	2.57946
ENSORLT00000000026.1	489	340.08	7.49452	1.33179
ENSORLT00000000028.1	987	837.713	151.505	10.9296
ENSORLT00000000031.1	4884	4734.71	900	11.4874
ENSORLT00000000030.1	750	600.713	5	0.503009
ENSORLT00000000032.1	726	576.771	21.2585	2.22742
ENSORLT00000000033.1	807	657.713	31.7415	2.91652
ENSORLT00000000034.1	1818	1668.71	307	11.1181
ENSORLT00000000039.1	3546	3396.71	906	16.1192
ENSORLT00000000036.1	2979	2829.71	209.08	4.46521
ENSORLT00000000038.1	2802	2652.71	517.92	11.799
ENSORLT00000000037.1	1376	1226.71	517	25.4695
ENSORLT00000000040.1	126	21.195	59.1206	168.569
ENSORLT00000000041.1	756	606.713	169.017	16.8353
ENSORLT00000000042.1	1503	1353.71	805	35.937
ENSORLT00000000043.1	1311	1161.71	118.868	6.18358
ENSORLT00000000045.1	1911	1761.71	17.9546	0.615903
ENSORLT00000000046.1	1818	1668.71	0.0454499	0.00164598
ENSORLT00000000047.1	966	816.713	434	32.1139
ENSORLT00000000053.1	2118	1968.71	341	10.4675
ENSORLT00000000052.1	2925	2775.71	1855	40.3871
ENSORLT00000000050.1	447	298.361	15	3.03825
ENSORLT00000000051.1	597	447.976	28	3.77726
ENSORLT00000000054.1	9129	8979.71	2594.98	17.464
ENSORLT00000000055.1	1438	1288.71	1231	57.7264
ENSORLT00000000060.1	2820	2670.71	86	1.94601
ENSORLT00000000058.1	1737	1587.71	61	2.32183
ENSORLT00000000059.1	561	411.976	13.3801	1.96273
ENSORLT00000000061.1	588	438.976	3.61994	0.49835
ENSORLT00000000062.1	2190	2040.71	247	7.31456
ENSORLT00000000063.1	1194	1044.71	548	31.6998
ENSORLT00000000064.1	585	435.976	7	0.970306
ENSORLT00000000072.1	4620	4470.71	96	1.29768
ENSORLT00000000066.1	416	267.704	5	1.12872
ENSORLT00000000067.1	1137	987.713	35	2.14146
ENSORLT00000000068.1	1154	1004.71	17	1.02254
