gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSCAFG00000000001	ENSCAFT00000000001	7431.00	7191.61	182.00	3.06	1.84
ENSCAFG00000000002	ENSCAFT00000000003	942.00	702.61	0.00	0.00	0.00
ENSCAFG00000000005	ENSCAFT00000000006	1128.00	888.61	27.00	3.68	2.21
ENSCAFG00000000006	ENSCAFT00000000007	339.00	120.45	0.00	0.00	0.00
ENSCAFG00000000007	ENSCAFT00000000008	6265.00	6025.61	795.00	15.98	9.57
ENSCAFG00000000008	ENSCAFT00000000009	1534.00	1294.61	294.46	27.54	16.51
ENSCAFG00000000009	ENSCAFT00000000011	813.00	573.63	136.94	28.91	17.33
ENSCAFG00000000010	ENSCAFT00000000012	2802.00	2562.61	673.00	31.80	19.06
ENSCAFG00000000011	ENSCAFT00000000013,ENSCAFT00000036234	4485.97	4246.57	1197.33	34.14	20.46
ENSCAFG00000000012	ENSCAFT00000000014,ENSCAFT00000042968,ENSCAFT00000046825	4489.47	4250.07	684.54	19.50	11.69
ENSCAFG00000000013	ENSCAFT00000000017	8099.00	7859.61	1.00	0.02	0.01
ENSCAFG00000000014	ENSCAFT00000000021	468.00	234.45	0.00	0.00	0.00
ENSCAFG00000000015	ENSCAFT00000000022	1056.00	816.61	2.00	0.30	0.18
ENSCAFG00000000016	ENSCAFT00000000024,ENSCAFT00000000025	2471.00	2231.61	126.00	6.84	4.10
ENSCAFG00000000017	ENSCAFT00000000028	5010.00	4770.61	685.53	17.40	10.43
ENSCAFG00000000019	ENSCAFT00000000033,ENSCAFT00000047374	3583.60	3344.20	621.36	22.50	13.48
ENSCAFG00000000020	ENSCAFT00000036397	3225.00	2985.61	629.00	25.51	15.29
ENSCAFG00000000021	ENSCAFT00000000035	1356.00	1116.61	306.00	33.19	19.89
ENSCAFG00000000022	ENSCAFT00000000037	10277.00	10037.61	614.00	7.41	4.44
ENSCAFG00000000024	ENSCAFT00000000039	1518.00	1278.61	4.00	0.38	0.23
ENSCAFG00000000025	ENSCAFT00000000043	1502.00	1262.61	3.00	0.29	0.17
ENSCAFG00000000026	ENSCAFT00000000044	512.00	276.26	132.00	57.88	34.68
ENSCAFG00000000027	ENSCAFT00000000045	414.00	184.74	866.62	568.34	340.58
ENSCAFG00000000028	ENSCAFT00000000046	732.00	492.81	133.00	32.69	19.59
ENSCAFG00000000029	ENSCAFT00000000047,ENSCAFT00000049738	1373.71	1134.31	105.00	11.21	6.72
ENSCAFG00000000030	ENSCAFT00000000048	807.00	567.64	0.00	0.00	0.00
ENSCAFG00000000031	ENSCAFT00000000049	1966.00	1726.61	12.00	0.84	0.50
ENSCAFG00000000032	ENSCAFT00000000050	585.00	347.21	0.00	0.00	0.00
ENSCAFG00000000033	ENSCAFT00000000051	1458.00	1218.61	328.19	32.61	19.54
ENSCAFG00000000034	ENSCAFT00000000052	555.00	317.87	0.00	0.00	0.00
ENSCAFG00000000035	ENSCAFT00000000053	369.00	145.31	0.00	0.00	0.00
ENSCAFG00000000036	ENSCAFT00000000054	1608.00	1368.61	295.00	26.10	15.64
ENSCAFG00000000037	ENSCAFT00000000055	8821.00	8581.61	361.97	5.11	3.06
ENSCAFG00000000038	ENSCAFT00000000056,ENSCAFT00000047983	1221.39	982.00	62.00	7.65	4.58
ENSCAFG00000000039	ENSCAFT00000036237	1155.00	915.61	25.00	3.31	1.98
