target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1448.62	193	1.88199
ENSORLT00000000002.1	1641	1475.62	491.872	4.70859
ENSORLT00000000003.1	1389	1223.62	74.1283	0.855759
ENSORLT00000000004.1	537	372.063	0	0
ENSORLT00000000005.1	520	355.173	1	0.0397715
ENSORLT00000000007.1	1809	1643.62	873	7.50285
ENSORLT00000000008.1	1098	932.615	480.509	7.27799
ENSORLT00000000010.1	1071	905.615	3.73013	0.0581825
ENSORLT00000000011.1	1071	905.615	1.76094	0.0274671
ENSORLT00000000006.1	936	770.615	850	15.5809
ENSORLT00000000009.1	1271	1105.62	893	11.4093
ENSORLT00000000013.1	1707	1541.62	20	0.183259
ENSORLT00000000014.1	1062	896.615	0	0
ENSORLT00000000012.1	1495	1329.62	248	2.63474
ENSORLT00000000016.1	1239	1073.62	6	0.0789432
ENSORLT00000000022.1	1851	1685.62	199.456	1.67148
ENSORLT00000000024.1	1770	1604.62	40.5441	0.356918
ENSORLT00000000015.1	1368	1202.62	677	7.95196
ENSORLT00000000017.1	150	24.6514	35	20.0557
ENSORLT00000000019.1	972	806.615	1.89496	0.0331852
ENSORLT00000000021.1	2412	2246.62	6	0.0377255
ENSORLT00000000020.1	267	109.879	0	0
ENSORLT00000000023.1	375	211.991	0	0
ENSORLT00000000025.1	312	151.138	2.32038	0.216869
ENSORLT00000000027.1	735	569.734	6	0.148762
ENSORLT00000000026.1	489	324.276	0	0
ENSORLT00000000028.1	987	821.615	15	0.25789
ENSORLT00000000031.1	4884	4718.62	1492	4.46649
ENSORLT00000000030.1	750	584.734	1	0.0241576
ENSORLT00000000032.1	726	560.734	40.5853	1.02241
ENSORLT00000000033.1	807	641.615	36.4147	0.801704
ENSORLT00000000034.1	1818	1652.62	59	0.504304
ENSORLT00000000039.1	3546	3380.62	1630	6.81089
ENSORLT00000000036.1	2979	2813.62	126.405	0.634615
ENSORLT00000000038.1	2802	2636.62	246.595	1.32115
ENSORLT00000000037.1	1376	1210.62	2580	30.1041
ENSORLT00000000040.1	126	16.7217	4	3.37902
ENSORLT00000000041.1	756	590.675	70.0914	1.67621
ENSORLT00000000042.1	1503	1337.62	2692	28.4286
ENSORLT00000000043.1	1311	1145.62	42.6459	0.525836
ENSORLT00000000045.1	1911	1745.62	0	0
ENSORLT00000000046.1	1818	1652.62	4	0.0341901
ENSORLT00000000047.1	966	800.615	635	11.2037
ENSORLT00000000053.1	2118	1952.62	600	4.34057
ENSORLT00000000052.1	2925	2759.62	1592	8.14905
ENSORLT00000000050.1	447	282.672	3	0.149917
ENSORLT00000000051.1	597	431.827	3	0.098135
ENSORLT00000000054.1	9129	8963.62	1195	1.8832
ENSORLT00000000055.1	1438	1272.62	19248.7	213.657
ENSORLT00000000060.1	2820	2654.62	220	1.17067
ENSORLT00000000058.1	1737	1571.62	7	0.0629164
ENSORLT00000000059.1	561	395.912	0	0
ENSORLT00000000061.1	588	422.912	1	0.0334012
ENSORLT00000000062.1	2190	2024.62	259	1.80705
ENSORLT00000000063.1	1194	1028.62	869	11.9338
ENSORLT00000000064.1	585	419.912	0	0
ENSORLT00000000072.1	4620	4454.62	50	0.158552
ENSORLT00000000066.1	416	252.092	18	1.00862
ENSORLT00000000067.1	1137	971.615	13	0.189
ENSORLT00000000068.1	1154	988.615	3	0.0428653
ENSORLT00000000071.1	2130	1964.62	4.98001	0.0358068
ENSORLT00000000073.1	1341	1175.62	46.02	0.55296
ENSORLT00000000069.1	780	614.615	0	0
ENSORLT00000000070.1	768	602.615	0	0
ENSORLT00000000074.1	1482	1316.62	310	3.32594
ENSORLT00000000076.1	4947	4781.62	1614	4.76805
ENSORLT00000000075.1	795	629.615	62	1.39101
ENSORLT00000000077.1	2199	2033.62	3.20349	0.0222519
ENSORLT00000000078.1	1770	1604.62	7.79651	0.0686343
ENSORLT00000000079.1	1827	1661.62	0	0
ENSORLT00000000080.1	504	339.276	12.7577	0.531165
ENSORLT00000000082.1	657	491.734	0	0
ENSORLT00000000086.1	3076	2910.62	214	1.03858
ENSORLT00000000083.1	2049	1883.62	34	0.254976
ENSORLT00000000085.1	1203	1037.62	25	0.340342
ENSORLT00000000094.1	2772	2606.62	6658.68	36.0847
ENSORLT00000000096.1	2625	2459.62	2.21505	0.0127212
ENSORLT00000000098.1	2613	2447.62	130.109	0.750889
ENSORLT00000000100.1	2244	2078.62	0	0
ENSORLT00000000087.1	1516	1350.62	3424	35.8108
ENSORLT00000000089.1	3735	3569.62	252	0.997221
ENSORLT00000000088.1	1320	1154.62	612	7.48732
ENSORLT00000000090.1	2256	2090.62	3	0.0202703
ENSORLT00000000091.1	873	707.615	2	0.039925
ENSORLT00000000092.1	834	668.615	0	0
ENSORLT00000000110.1	4494	4328.62	16	0.0522135
ENSORLT00000000093.1	2019	1853.62	323	2.46147
ENSORLT00000000095.1	1167	1001.62	1921	27.0919
ENSORLT00000000097.1	173	37.4182	0	0
ENSORLT00000000099.1	1190	1024.62	546.486	7.53409
ENSORLT00000000101.1	1349	1183.62	1903	22.7112
ENSORLT00000000102.1	1148	982.615	0	0
ENSORLT00000000103.1	1385	1219.62	1379.35	15.9759
ENSORLT00000000104.1	1205	1039.62	0	0
ENSORLT00000000106.1	1013	847.615	5.15973	0.0859885
ENSORLT00000000105.1	957	791.615	113	2.0164
ENSORLT00000000111.1	1317	1151.62	37.2219	0.456566
ENSORLT00000000112.1	1226	1060.62	582.778	7.76171
ENSORLT00000000107.1	858	692.615	0	0
ENSORLT00000000108.1	2385	2219.62	38	0.241834
ENSORLT00000000113.1	1389	1223.62	1	0.0115443
ENSORLT00000000114.1	1532	1366.62	3128	32.332
ENSORLT00000000117.1	1041	875.615	0	0
ENSORLT00000000116.1	1392	1226.62	606	6.97873
ENSORLT00000000115.1	2217	2051.62	9	0.0619668
ENSORLT00000000119.1	1323	1157.62	11	0.134227
ENSORLT00000000120.1	3732	3566.62	42	0.166343
ENSORLT00000000122.1	1545	1379.62	232	2.37543
ENSORLT00000000123.1	6681	6515.62	584	1.2661
ENSORLT00000000124.1	1062	896.615	0	0
ENSORLT00000000126.1	1900	1734.62	159	1.29481
ENSORLT00000000127.1	1254	1088.62	595	7.72067
ENSORLT00000000130.1	5304	5138.62	107	0.294137
ENSORLT00000000131.1	2197	2031.62	1481	10.2974
ENSORLT00000000132.1	1189	1023.62	815	11.2469
ENSORLT00000000133.1	1168	1002.62	0	0
ENSORLT00000000134.1	3974	3808.62	130.539	0.484154
ENSORLT00000000136.1	3896	3730.62	902.461	3.41712
ENSORLT00000000138.1	2871	2705.62	11	0.05743
ENSORLT00000000135.1	2631	2465.62	987.101	5.65521
ENSORLT00000000137.1	2231	2065.62	360.899	2.46802
ENSORLT00000000139.1	2352	2186.62	0	0
ENSORLT00000000144.1	2679	2513.62	1763	9.90754
ENSORLT00000000140.1	1398	1232.62	2	0.02292
ENSORLT00000000143.1	6492	6326.62	20	0.0446551
ENSORLT00000000142.1	2583	2417.62	4	0.0233714
ENSORLT00000000145.1	1912	1746.62	256.106	2.07126
ENSORLT00000000146.1	925	759.615	135.894	2.52707
ENSORLT00000000149.1	1356	1190.62	3998	47.4333
ENSORLT00000000151.1	4809	4643.62	1934	5.88318
ENSORLT00000000147.1	816	650.615	969	21.0384
ENSORLT00000000148.1	417	253.041	477	26.628
ENSORLT00000000150.1	2538	2372.62	31.7768	0.189189
ENSORLT00000000154.1	2031	1865.62	399	3.02109
ENSORLT00000000153.1	128	17.1075	24	19.817
ENSORLT00000000160.1	4002	3836.62	212	0.780548
ENSORLT00000000155.1	1438	1272.62	665	7.38137
ENSORLT00000000156.1	681	515.734	317	8.68253
ENSORLT00000000158.1	1974	1808.62	1	0.00781027
