target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1473.48	183	5.07171
ENSORLT00000000002.1	1641	1500.48	342.119	9.31095
ENSORLT00000000003.1	1389	1248.48	83.8814	2.74367
ENSORLT00000000004.1	537	396.679	1	0.102946
ENSORLT00000000005.1	520	379.718	0	0
ENSORLT00000000007.1	1809	1668.48	98	2.39857
ENSORLT00000000008.1	1098	957.481	14	0.597098
ENSORLT00000000010.1	1071	930.481	0	0
ENSORLT00000000011.1	1071	930.481	0	0
ENSORLT00000000006.1	936	795.481	43	2.20743
ENSORLT00000000009.1	1271	1130.48	246	8.88627
ENSORLT00000000013.1	1707	1566.48	648.993	16.9185
ENSORLT00000000014.1	1062	921.481	19.0065	0.842294
ENSORLT00000000012.1	1495	1354.48	30	0.904474
ENSORLT00000000016.1	1239	1098.48	0	0
ENSORLT00000000022.1	1851	1710.48	0	0
ENSORLT00000000024.1	1770	1629.48	1	0.025061
ENSORLT00000000015.1	1368	1227.48	27	0.898249
ENSORLT00000000017.1	150	37.2141	111	121.805
ENSORLT00000000019.1	972	831.481	3.59331	0.176478
ENSORLT00000000021.1	2412	2271.48	2	0.0359558
ENSORLT00000000020.1	267	131.478	0	0
ENSORLT00000000023.1	375	235.312	0	0
ENSORLT00000000025.1	312	173.793	0.931487	0.218873
ENSORLT00000000027.1	735	594.481	15	1.03039
ENSORLT00000000026.1	489	348.79	0.00806594	0.000944363
ENSORLT00000000028.1	987	846.481	16.9919	0.819735
ENSORLT00000000031.1	4884	4743.48	732	6.30176
ENSORLT00000000030.1	750	609.481	2	0.134004
ENSORLT00000000032.1	726	585.481	16.1132	1.12387
ENSORLT00000000033.1	807	666.481	17.8868	1.09596
ENSORLT00000000034.1	1818	1677.48	31	0.754661
ENSORLT00000000039.1	3546	3405.48	297	3.56144
ENSORLT00000000036.1	2979	2838.48	67.4387	0.970222
ENSORLT00000000038.1	2802	2661.48	54.5613	0.837162
ENSORLT00000000037.1	1376	1235.48	4264	140.938
ENSORLT00000000040.1	126	23.5624	4	6.93247
ENSORLT00000000041.1	756	615.481	106.309	7.0535
ENSORLT00000000042.1	1503	1362.48	169	5.06529
ENSORLT00000000043.1	1311	1170.48	167.048	5.82808
ENSORLT00000000045.1	1911	1770.48	1.47978	0.0341314
ENSORLT00000000046.1	1818	1677.48	1.52022	0.0370081
ENSORLT00000000047.1	966	825.481	105	5.19434
ENSORLT00000000053.1	2118	1977.48	1	0.0206507
ENSORLT00000000052.1	2925	2784.48	11	0.161323
ENSORLT00000000050.1	447	306.883	0	0
ENSORLT00000000051.1	597	456.679	2	0.178841
ENSORLT00000000054.1	9129	8988.48	2257.32	10.2554
ENSORLT00000000055.1	1438	1297.48	2224	69.9974
ENSORLT00000000060.1	2820	2679.48	98	1.49356
ENSORLT00000000058.1	1737	1596.48	11	0.281369
ENSORLT00000000059.1	561	420.679	2	0.194145
ENSORLT00000000061.1	588	447.679	0	0
ENSORLT00000000062.1	2190	2049.48	68	1.35492
ENSORLT00000000063.1	1194	1053.48	37	1.43424
ENSORLT00000000064.1	585	444.679	0	0
ENSORLT00000000072.1	4620	4479.48	0	0
ENSORLT00000000066.1	416	276.087	2	0.295823
ENSORLT00000000067.1	1137	996.481	4	0.163923
ENSORLT00000000068.1	1154	1013.48	0	0
ENSORLT00000000071.1	2130	1989.48	3	0.0615785
ENSORLT00000000073.1	1341	1200.48	0	0
ENSORLT00000000069.1	780	639.481	0	0
ENSORLT00000000070.1	768	627.481	0	0
ENSORLT00000000074.1	1482	1341.48	3	0.0913239
ENSORLT00000000076.1	4947	4806.48	120	1.01953
ENSORLT00000000075.1	795	654.481	3	0.187185
ENSORLT00000000077.1	2199	2058.48	0	0
ENSORLT00000000078.1	1770	1629.48	3	0.075183
ENSORLT00000000079.1	1827	1686.48	0	0
ENSORLT00000000080.1	504	363.718	16.9687	1.90516
ENSORLT00000000082.1	657	516.537	0	0
ENSORLT00000000086.1	3076	2935.48	2439	33.9297
ENSORLT00000000083.1	2049	1908.48	15	0.32096
ENSORLT00000000085.1	1203	1062.48	484	18.6025
ENSORLT00000000094.1	2772	2631.48	14.9516	0.232025
ENSORLT00000000096.1	2625	2484.48	0	0
ENSORLT00000000098.1	2613	2472.48	0	0
ENSORLT00000000100.1	2244	2103.48	2.0484	0.0397671
ENSORLT00000000087.1	1516	1375.48	619	18.3774
ENSORLT00000000089.1	3735	3594.48	22311	253.472
ENSORLT00000000088.1	1320	1179.48	91	3.15064
ENSORLT00000000090.1	2256	2115.48	1	0.0193036
ENSORLT00000000091.1	873	732.481	1	0.0557508
ENSORLT00000000092.1	834	693.481	0	0
ENSORLT00000000110.1	4494	4353.48	13	0.121942
ENSORLT00000000093.1	2019	1878.48	5	0.108695
ENSORLT00000000095.1	1167	1026.48	352	14.0036
ENSORLT00000000097.1	173	52.9747	1	0.770867
ENSORLT00000000099.1	1190	1049.48	24.5738	0.956193
ENSORLT00000000101.1	1349	1208.48	1384.7	46.7913
ENSORLT00000000102.1	1148	1007.48	4.29638	0.174146
ENSORLT00000000103.1	1385	1244.48	478.711	15.7084
ENSORLT00000000104.1	1205	1064.48	0	0
ENSORLT00000000106.1	1013	872.481	3.71542	0.1739
ENSORLT00000000105.1	957	816.481	47	2.35071
ENSORLT00000000111.1	1317	1176.48	27.6277	0.958975
ENSORLT00000000112.1	1226	1085.48	398.372	14.987
ENSORLT00000000107.1	858	717.481	0	0
ENSORLT00000000108.1	2385	2244.48	26	0.473048
ENSORLT00000000113.1	1389	1248.48	18	0.58876
ENSORLT00000000114.1	1532	1391.48	4504	132.181
ENSORLT00000000117.1	1041	900.481	0	0
ENSORLT00000000116.1	1392	1251.48	179	5.84086
ENSORLT00000000115.1	2217	2076.48	0	0
ENSORLT00000000119.1	1323	1182.48	0	0
ENSORLT00000000120.1	3732	3591.48	655	7.44759
ENSORLT00000000122.1	1545	1404.48	135	3.92524
ENSORLT00000000123.1	6681	6540.48	42	0.262233
ENSORLT00000000124.1	1062	921.481	0	0
ENSORLT00000000126.1	1900	1759.48	43	0.998003
ENSORLT00000000127.1	1254	1113.48	20	0.733491
ENSORLT00000000130.1	5304	5163.48	117	0.925319
ENSORLT00000000131.1	2197	2056.48	160	3.17719
ENSORLT00000000132.1	1189	1048.48	782	30.4575
ENSORLT00000000133.1	1168	1027.48	0	0
ENSORLT00000000134.1	3974	3833.48	63.832	0.679975
ENSORLT00000000136.1	3896	3755.48	636.168	6.91758
ENSORLT00000000138.1	2871	2730.48	6	0.0897346
ENSORLT00000000135.1	2631	2490.48	65.3947	1.07228
ENSORLT00000000137.1	2231	2090.48	36.6053	0.715066
ENSORLT00000000139.1	2352	2211.48	1	0.0184657
ENSORLT00000000144.1	2679	2538.48	1112	17.8887
ENSORLT00000000140.1	1398	1257.48	5	0.162374
ENSORLT00000000143.1	6492	6351.48	2	0.0128589
ENSORLT00000000142.1	2583	2442.48	3	0.0501577
ENSORLT00000000145.1	1912	1771.48	74.0577	1.70719
ENSORLT00000000146.1	925	784.481	12.9423	0.673715
ENSORLT00000000149.1	1356	1215.48	655	22.006
ENSORLT00000000151.1	4809	4668.48	1068	9.34208
ENSORLT00000000147.1	816	675.481	129	7.79874
ENSORLT00000000148.1	417	277.059	384	56.5987
ENSORLT00000000150.1	2538	2397.48	68.0191	1.15857
ENSORLT00000000154.1	2031	1890.48	68	1.46887
ENSORLT00000000153.1	128	24.4648	49.8897	83.2753
ENSORLT00000000160.1	4002	3861.48	41	0.433589
ENSORLT00000000155.1	1438	1297.48	40	1.25895
ENSORLT00000000156.1	681	540.537	23	1.7376
ENSORLT00000000158.1	1974	1833.48	1	0.0222726
ENSORLT00000000162.1	2028	1887.48	0	0
ENSORLT00000000157.1	702	561.481	12	0.872758
ENSORLT00000000164.1	2096	1955.48	3	0.0626492
ENSORLT00000000161.1	525	384.718	1	0.106146
ENSORLT00000000163.1	2799	2658.48	18	0.276495
ENSORLT00000000166.1	2715	2574.48	97	1.53862
ENSORLT00000000167.1	1424	1283.48	61.0022	1.9409
ENSORLT00000000168.1	3646	3505.48	147	1.71245
ENSORLT00000000174.1	2824	2683.48	288	4.3827
ENSORLT00000000169.1	441	300.944	6.18182	0.838838
ENSORLT00000000170.1	2390	2249.48	19	0.344921
ENSORLT00000000172.1	490	349.79	0	0
ENSORLT00000000173.1	796	655.481	0	0
ENSORLT00000000175.1	1476	1335.48	15	0.458671
ENSORLT00000000178.1	1881	1740.48	1	0.0234627
ENSORLT00000000183.1	3531	3390.48	188	2.26436
ENSORLT00000000176.1	1002	861.481	138	6.54156
ENSORLT00000000177.1	382	242.264	82	13.8221
ENSORLT00000000201.1	5138	4997.48	236	1.92845
ENSORLT00000000181.1	1614	1473.48	410	11.3628
ENSORLT00000000180.1	1107	966.481	376.57	15.9111
ENSORLT00000000182.1	1063	922.481	216.43	9.58094
ENSORLT00000000184.1	972	831.481	0	0
ENSORLT00000000188.1	2430	2289.48	97.6111	1.74105
ENSORLT00000000190.1	3093	2952.48	1271.39	17.5849
ENSORLT00000000185.1	1542	1401.48	5948.05	173.315
ENSORLT00000000187.1	950	809.481	3072.95	155.023
