target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1474.28	476	18.7973
ENSORLT00000000002.1	1641	1501.28	215.719	8.36557
ENSORLT00000000003.1	1389	1249.28	112.281	5.23257
ENSORLT00000000004.1	537	397.456	31	4.54088
ENSORLT00000000005.1	520	380.534	3	0.458982
ENSORLT00000000007.1	1809	1669.28	185	6.45225
ENSORLT00000000008.1	1098	958.276	88	5.34637
ENSORLT00000000010.1	1071	931.276	0	0
ENSORLT00000000011.1	1071	931.276	0	0
ENSORLT00000000006.1	936	796.276	75	5.48359
ENSORLT00000000009.1	1271	1131.28	263	13.5349
ENSORLT00000000013.1	1707	1567.28	289.393	10.75
ENSORLT00000000014.1	1062	922.276	9.60727	0.606466
ENSORLT00000000012.1	1495	1355.28	119	5.11195
ENSORLT00000000016.1	1239	1099.28	0	0
ENSORLT00000000022.1	1851	1711.28	0	0
ENSORLT00000000024.1	1770	1630.28	3	0.107134
ENSORLT00000000015.1	1368	1228.28	192	9.10065
ENSORLT00000000017.1	150	36.9345	115	181.273
ENSORLT00000000019.1	972	832.276	11.2629	0.787862
ENSORLT00000000021.1	2412	2272.28	2	0.0512432
ENSORLT00000000020.1	267	131.681	0	0
ENSORLT00000000023.1	375	236.108	0	0
ENSORLT00000000025.1	312	174.446	2.10247	0.701676
ENSORLT00000000027.1	735	595.276	27	2.64066
ENSORLT00000000026.1	489	349.57	0	0
ENSORLT00000000028.1	987	847.276	72	4.94738
ENSORLT00000000031.1	4884	4744.28	382	4.68771
ENSORLT00000000030.1	750	610.276	21	2.00337
ENSORLT00000000032.1	726	586.276	14.7248	1.46222
ENSORLT00000000033.1	807	667.276	9.27522	0.809256
ENSORLT00000000034.1	1818	1678.28	98	3.39962
ENSORLT00000000039.1	3546	3406.28	446	7.62294
ENSORLT00000000036.1	2979	2839.28	158.593	3.25196
ENSORLT00000000038.1	2802	2662.28	258.407	5.65091
ENSORLT00000000037.1	1376	1236.28	2112	99.4594
ENSORLT00000000040.1	126	23.0516	31	78.2939
ENSORLT00000000041.1	756	616.276	204.669	19.335
ENSORLT00000000042.1	1503	1363.28	458	19.5591
ENSORLT00000000043.1	1311	1171.28	174.495	8.67344
ENSORLT00000000045.1	1911	1771.28	23.0981	0.759203
ENSORLT00000000046.1	1818	1678.28	80.9019	2.80648
ENSORLT00000000047.1	966	826.276	161	11.344
ENSORLT00000000053.1	2118	1978.28	125	3.67867
ENSORLT00000000052.1	2925	2785.28	59	1.23325
ENSORLT00000000050.1	447	307.664	9	1.70307
ENSORLT00000000051.1	597	457.328	14	1.78225
ENSORLT00000000054.1	9129	8989.28	1674.46	10.8447
ENSORLT00000000055.1	1438	1298.28	3116	139.733
ENSORLT00000000060.1	2820	2680.28	301	6.53814
ENSORLT00000000058.1	1737	1597.28	9	0.328042
ENSORLT00000000059.1	561	421.414	1	0.138153
ENSORLT00000000061.1	588	448.328	0	0
ENSORLT00000000062.1	2190	2050.28	205	5.82115
ENSORLT00000000063.1	1194	1054.28	128	7.06843
ENSORLT00000000064.1	585	445.328	0	0
ENSORLT00000000072.1	4620	4480.28	115	1.49438
ENSORLT00000000066.1	416	276.721	3	0.631171
ENSORLT00000000067.1	1137	997.276	29	1.69297
ENSORLT00000000068.1	1154	1014.28	5	0.287
ENSORLT00000000071.1	2130	1990.28	103.631	3.03142
ENSORLT00000000073.1	1341	1201.28	19.3686	0.938689
ENSORLT00000000069.1	780	640.276	0	0
ENSORLT00000000070.1	768	628.276	0	0
ENSORLT00000000074.1	1482	1342.28	13	0.563857
ENSORLT00000000076.1	4947	4807.28	320	3.87542
ENSORLT00000000075.1	795	655.276	3	0.266541
ENSORLT00000000077.1	2199	2059.28	3.82306	0.108085
ENSORLT00000000078.1	1770	1630.28	0	0
ENSORLT00000000079.1	1827	1687.28	7.17694	0.24764
ENSORLT00000000080.1	504	364.57	35.8044	5.71772
ENSORLT00000000082.1	657	517.276	0	0
ENSORLT00000000086.1	3076	2936.28	2943	58.3527
ENSORLT00000000083.1	2049	1909.28	200	6.09858
ENSORLT00000000085.1	1203	1063.28	286	15.6598
ENSORLT00000000094.1	2772	2632.28	215.913	4.77545
ENSORLT00000000096.1	2625	2485.28	0.000722504	1.69252e-05
ENSORLT00000000098.1	2613	2473.28	0.0866483	0.00203965
ENSORLT00000000100.1	2244	2104.28	0	0
ENSORLT00000000087.1	1516	1376.28	499	21.1087
ENSORLT00000000089.1	3735	3595.28	7764	125.725
ENSORLT00000000088.1	1320	1180.28	136	6.70846
ENSORLT00000000090.1	2256	2116.28	131	3.60385
ENSORLT00000000091.1	873	733.276	3.82295	0.303528
ENSORLT00000000092.1	834	694.276	5.17705	0.434127
ENSORLT00000000110.1	4494	4354.28	228	3.0485
ENSORLT00000000093.1	2019	1879.28	12	0.371756
ENSORLT00000000095.1	1167	1027.28	817	46.3023
ENSORLT00000000097.1	173	52.1516	22	24.5597
ENSORLT00000000099.1	1190	1050.28	59.5259	3.29966
ENSORLT00000000101.1	1349	1209.28	1035	49.829
ENSORLT00000000102.1	1148	1008.28	0	0
ENSORLT00000000103.1	1385	1245.28	525.664	24.576
ENSORLT00000000104.1	1205	1065.28	15.8096	0.864026
ENSORLT00000000106.1	1013	873.276	0	0
ENSORLT00000000105.1	957	817.276	41	2.92067
ENSORLT00000000111.1	1317	1177.28	44.5126	2.20126
ENSORLT00000000112.1	1226	1086.28	801.487	42.956
ENSORLT00000000107.1	858	718.276	5	0.405271
ENSORLT00000000108.1	2385	2245.28	243	6.30092
ENSORLT00000000113.1	1389	1249.28	24	1.11846
ENSORLT00000000114.1	1532	1392.28	5711	238.811
ENSORLT00000000117.1	1041	901.276	0	0
ENSORLT00000000116.1	1392	1252.28	428	19.8981
ENSORLT00000000115.1	2217	2077.28	59	1.65358
ENSORLT00000000119.1	1323	1183.28	4	0.196807
ENSORLT00000000120.1	3732	3592.28	989	16.0285
ENSORLT00000000122.1	1545	1405.28	107	4.43292
ENSORLT00000000123.1	6681	6541.28	154	1.37065
ENSORLT00000000124.1	1062	922.276	0	0
ENSORLT00000000126.1	1900	1760.28	125	4.13425
ENSORLT00000000127.1	1254	1114.28	75	3.91864
ENSORLT00000000130.1	5304	5164.28	156	1.75866
ENSORLT00000000131.1	2197	2057.28	347	9.81984
ENSORLT00000000132.1	1189	1049.28	673.435	37.3657
ENSORLT00000000133.1	1168	1028.28	12.5653	0.711429
ENSORLT00000000134.1	3974	3834.28	117.241	1.78018
ENSORLT00000000136.1	3896	3756.28	642.759	9.96227
ENSORLT00000000138.1	2871	2731.28	611	13.024
ENSORLT00000000135.1	2631	2491.28	162.373	3.79453
ENSORLT00000000137.1	2231	2091.28	17.6275	0.490734
ENSORLT00000000139.1	2352	2212.28	83	2.18427
ENSORLT00000000144.1	2679	2539.28	1244	28.5219
