target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1471.75	123	4.31295
ENSORLT00000000002.1	1641	1498.75	29.7371	1.02394
ENSORLT00000000003.1	1389	1246.75	11.2629	0.4662
ENSORLT00000000004.1	537	394.752	0	0
ENSORLT00000000005.1	520	377.752	0	0
ENSORLT00000000007.1	1809	1666.75	208	6.44015
ENSORLT00000000008.1	1098	955.752	40	2.15983
ENSORLT00000000010.1	1071	928.752	0	0
ENSORLT00000000011.1	1071	928.752	0	0
ENSORLT00000000006.1	936	793.752	21	1.36533
ENSORLT00000000009.1	1271	1128.75	209	9.55546
ENSORLT00000000013.1	1707	1564.75	541.183	17.8485
ENSORLT00000000014.1	1062	919.752	2.81705	0.158062
ENSORLT00000000012.1	1495	1352.75	1064	40.5908
ENSORLT00000000016.1	1239	1096.75	0	0
ENSORLT00000000022.1	1851	1708.75	61.2729	1.85052
ENSORLT00000000024.1	1770	1627.75	28.7271	0.910766
ENSORLT00000000015.1	1368	1225.75	50	2.10509
ENSORLT00000000017.1	150	36.1512	74	105.636
ENSORLT00000000019.1	972	829.752	13.5937	0.845461
ENSORLT00000000021.1	2412	2269.75	13	0.295576
ENSORLT00000000020.1	267	129.74	0	0
ENSORLT00000000023.1	375	233.483	1.25	0.276286
ENSORLT00000000025.1	312	172.043	0	0
ENSORLT00000000027.1	735	592.752	5	0.435312
ENSORLT00000000026.1	489	346.824	17.7456	2.6405
ENSORLT00000000028.1	987	844.752	71.2544	4.35298
ENSORLT00000000031.1	4884	4741.75	240	2.61202
ENSORLT00000000030.1	750	607.752	1	0.0849137
ENSORLT00000000032.1	726	583.752	0	0
ENSORLT00000000033.1	807	664.752	0	0
ENSORLT00000000034.1	1818	1675.75	150	4.6194
ENSORLT00000000039.1	3546	3403.75	311	4.71527
ENSORLT00000000036.1	2979	2836.75	48.4052	0.880591
ENSORLT00000000038.1	2802	2659.75	127.595	2.47569
ENSORLT00000000037.1	1376	1233.75	267	11.1683
ENSORLT00000000040.1	126	22.7651	7	15.8684
ENSORLT00000000041.1	756	613.752	44.565	3.74718
ENSORLT00000000042.1	1503	1360.75	567	21.5034
ENSORLT00000000043.1	1311	1168.75	53.2165	2.34978
ENSORLT00000000045.1	1911	1768.75	0	0
ENSORLT00000000046.1	1818	1675.75	3	0.0923879
ENSORLT00000000047.1	966	823.752	1465	91.7794
ENSORLT00000000053.1	2118	1975.75	1	0.0261199
ENSORLT00000000052.1	2925	2782.75	9	0.166906
ENSORLT00000000050.1	447	305.089	0	0
ENSORLT00000000051.1	597	454.752	1	0.113483
ENSORLT00000000054.1	9129	8986.75	498.168	2.86073
ENSORLT00000000055.1	1438	1295.75	1830	72.884
ENSORLT00000000060.1	2820	2677.75	50	0.963615
ENSORLT00000000058.1	1737	1594.75	1	0.0323602
ENSORLT00000000059.1	561	418.752	0	0
ENSORLT00000000061.1	588	445.752	0	0
ENSORLT00000000062.1	2190	2047.75	67	1.6885
ENSORLT00000000063.1	1194	1051.75	27	1.32481
ENSORLT00000000064.1	585	442.752	0	0
ENSORLT00000000072.1	4620	4477.75	0	0
ENSORLT00000000066.1	416	274.262	0	0
ENSORLT00000000067.1	1137	994.752	12	0.622544
ENSORLT00000000068.1	1154	1011.75	0	0
ENSORLT00000000071.1	2130	1987.75	2	0.0519244
ENSORLT00000000073.1	1341	1198.75	0	0
ENSORLT00000000069.1	780	637.752	0	0
ENSORLT00000000070.1	768	625.752	0	0
ENSORLT00000000074.1	1482	1339.75	3	0.115558
ENSORLT00000000076.1	4947	4804.75	1053	11.31
ENSORLT00000000075.1	795	652.752	0	0
ENSORLT00000000077.1	2199	2056.75	0	0
ENSORLT00000000078.1	1770	1627.75	0	0
ENSORLT00000000079.1	1827	1684.75	0	0
ENSORLT00000000080.1	504	361.789	15.9285	2.27209
ENSORLT00000000082.1	657	514.752	0	0
ENSORLT00000000086.1	3076	2933.75	365	6.42056
ENSORLT00000000083.1	2049	1906.75	46	1.24499
ENSORLT00000000085.1	1203	1060.75	54	2.62714
ENSORLT00000000094.1	2772	2629.75	0	0
ENSORLT00000000096.1	2625	2482.75	13	0.270218
ENSORLT00000000098.1	2613	2470.75	0	0
ENSORLT00000000100.1	2244	2101.75	0	0
ENSORLT00000000087.1	1516	1373.75	175	6.57406
ENSORLT00000000089.1	3735	3592.75	35	0.502741
ENSORLT00000000088.1	1320	1177.75	58	2.54143
ENSORLT00000000090.1	2256	2113.75	1	0.0244146
ENSORLT00000000091.1	873	730.752	0	0
ENSORLT00000000092.1	834	691.752	0	0
ENSORLT00000000110.1	4494	4351.75	0	0
ENSORLT00000000093.1	2019	1876.75	2	0.0549955
ENSORLT00000000095.1	1167	1024.75	153	7.70507
ENSORLT00000000097.1	173	51.3997	0	0
ENSORLT00000000099.1	1190	1047.75	17.8489	0.87914
ENSORLT00000000101.1	1349	1206.75	646	27.626
ENSORLT00000000102.1	1148	1005.75	0	0
ENSORLT00000000103.1	1385	1242.75	220.913	9.1736
ENSORLT00000000104.1	1205	1062.75	6.2384	0.302932
ENSORLT00000000106.1	1013	870.752	0	0
ENSORLT00000000105.1	957	814.752	60	3.8004
ENSORLT00000000111.1	1317	1174.75	17.8107	0.782417
ENSORLT00000000112.1	1226	1083.75	514.189	24.4848
ENSORLT00000000107.1	858	715.752	0	0
ENSORLT00000000108.1	2385	2242.75	3	0.0690309
ENSORLT00000000113.1	1389	1246.75	8	0.331142
ENSORLT00000000114.1	1532	1389.75	2766	102.711
ENSORLT00000000117.1	1041	898.752	0	0
ENSORLT00000000116.1	1392	1249.75	57	2.35372
ENSORLT00000000115.1	2217	2074.75	0	0
ENSORLT00000000119.1	1323	1180.75	0	0
ENSORLT00000000120.1	3732	3589.75	67	0.963195
ENSORLT00000000122.1	1545	1402.75	192	7.06357
ENSORLT00000000123.1	6681	6538.75	47	0.370943
ENSORLT00000000124.1	1062	919.752	0	0
ENSORLT00000000126.1	1900	1757.75	70	2.05515
ENSORLT00000000127.1	1254	1111.75	32	1.48541
ENSORLT00000000130.1	5304	5161.75	46	0.459901
ENSORLT00000000131.1	2197	2054.75	231	5.80171
ENSORLT00000000132.1	1189	1046.75	347	17.1076
ENSORLT00000000133.1	1168	1025.75	0	0
ENSORLT00000000134.1	3974	3831.75	19.8418	0.267231
ENSORLT00000000136.1	3896	3753.75	202.158	2.77926
ENSORLT00000000138.1	2871	2728.75	1	0.0189121
ENSORLT00000000135.1	2631	2488.75	113.141	2.34608
ENSORLT00000000137.1	2231	2088.75	43.8588	1.08361
ENSORLT00000000139.1	2352	2209.75	0	0
ENSORLT00000000144.1	2679	2536.75	950	19.3263
ENSORLT00000000140.1	1398	1255.75	1	0.041096
ENSORLT00000000143.1	6492	6349.75	0	0
ENSORLT00000000142.1	2583	2440.75	4	0.0845746
ENSORLT00000000145.1	1912	1769.75	99.7903	2.90991
ENSORLT00000000146.1	925	782.752	24.2097	1.59614
ENSORLT00000000149.1	1356	1213.75	1082	46.0046
ENSORLT00000000151.1	4809	4666.75	821	9.07888
ENSORLT00000000147.1	816	673.752	121	9.26807
ENSORLT00000000148.1	417	275.262	78	14.6235
ENSORLT00000000150.1	2538	2395.75	139.375	3.00225
ENSORLT00000000154.1	2031	1888.75	113	3.0875
ENSORLT00000000153.1	128	23.6802	75	163.448
ENSORLT00000000160.1	4002	3859.75	6884	92.0418
ENSORLT00000000155.1	1438	1295.75	68	2.70826
ENSORLT00000000156.1	681	538.752	37	3.54419
ENSORLT00000000158.1	1974	1831.75	161	4.53589
ENSORLT00000000162.1	2028	1885.75	0	0
ENSORLT00000000157.1	702	559.752	1	0.0921952
ENSORLT00000000164.1	2096	1953.75	10	0.26414
ENSORLT00000000161.1	525	382.752	0	0
ENSORLT00000000163.1	2799	2656.75	3	0.0582739
ENSORLT00000000166.1	2715	2572.75	94	1.88553
ENSORLT00000000167.1	1424	1281.75	1	0.0402624
ENSORLT00000000168.1	3646	3503.75	39	0.574427
ENSORLT00000000174.1	2824	2681.75	312	6.00399
ENSORLT00000000169.1	441	299.089	3.375	0.58234
ENSORLT00000000170.1	2390	2247.75	23	0.52806
ENSORLT00000000172.1	490	347.789	0	0
ENSORLT00000000173.1	796	653.752	0	0
ENSORLT00000000175.1	1476	1333.75	7	0.270849
ENSORLT00000000178.1	1881	1738.75	0	0
ENSORLT00000000183.1	3531	3388.75	143	2.17771
ENSORLT00000000176.1	1002	859.752	0	0
ENSORLT00000000177.1	382	240.388	130	27.9083
