target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.0055	0	0
ENSELUT00000043746.1	57	26.0055	0	0
ENSELUT00000037603.1	57	26.0055	0	0
ENSELUT00000037622.1	60	27.984	0	0
ENSELUT00000043756.1	60	27.984	0	0
ENSELUT00000036957.1	291	144.366	0	0
ENSELUT00000043605.1	309	160.9	0	0
ENSELUT00000013117.1	339	189.118	0	0
ENSELUT00000013112.1	252	109.892	0	0
ENSELUT00000036937.1	291	144.366	1	0.392713
ENSELUT00000036941.1	273	128.163	0	0
ENSELUT00000036943.1	306	158.1	0	0
ENSELUT00000036966.1	306	158.1	1.39751	0.501144
ENSELUT00000036993.1	288	141.661	0	0
ENSELUT00000037021.1	291	144.366	0	0
ENSELUT00000043560.1	333	183.397	0	0
ENSELUT00000037132.1	354	203.356	3.70643	1.03332
ENSELUT00000037138.1	333	183.397	1.91028	0.590532
ENSELUT00000043572.1	315	166.503	2	0.681
ENSELUT00000037291.1	348	197.671	1	0.28681
ENSELUT00000037323.1	333	183.397	0.5	0.154567
ENSELUT00000037354.1	348	197.671	0	0
ENSELUT00000043648.1	309	160.9	0	0
ENSELUT00000037369.1	333	183.397	0	0
ENSELUT00000037383.1	330	180.601	2.60146	0.816652
ENSELUT00000037448.1	333	183.397	1	0.309133
ENSELUT00000043712.1	318	169.318	0	0
ENSELUT00000037530.1	333	183.397	0.5	0.154567
ENSELUT00000037640.1	303	155.299	0	0
ENSELUT00000000007.1	975	821.246	10859	749.644
ENSELUT00000000011.1	1050	896.246	17444	1103.46
ENSELUT00000000017.1	1551	1397.25	152993	6207.79
ENSELUT00000000020.1	691	537.296	42910	4527.76
ENSELUT00000000022.1	168	46.3529	3559	4353.01
ENSELUT00000000023.1	682	528.296	24808	2662.28
ENSELUT00000000024.1	785	631.261	73220	6575.97
ENSELUT00000000026.1	349	198.599	2744	783.33
ENSELUT00000000028.1	297	149.86	3280	1240.87
ENSELUT00000000029.1	1381	1227.25	21412	989.154
ENSELUT00000000033.1	1839	1685.25	19645	660.887
ENSELUT00000000034.1	522	368.505	5183	797.401
ENSELUT00000000036.1	1137	983.246	28634	1651.04
ENSELUT00000019592.1	708	554.285	0	0
ENSELUT00000019593.1	4511	4357.25	0	0
ENSELUT00000019594.1	4531	4377.25	0	0
ENSELUT00000019595.1	4384	4230.25	4	0.0536084
ENSELUT00000019596.1	3561	3407.25	0	0
ENSELUT00000019574.1	1629	1475.25	102.654	3.94501
ENSELUT00000019438.1	3662	3508.25	2	0.0323205
ENSELUT00000019409.1	1280	1126.25	476.45	23.984
ENSELUT00000019402.1	975	821.246	87.6399	6.05016
ENSELUT00000019395.1	1083	929.246	99.9996	6.10107
ENSELUT00000019290.1	600	446.361	29.9983	3.81021
ENSELUT00000019243.1	429	276.317	121	24.8265
ENSELUT00000019228.1	2097	1943.25	4	0.1167
ENSELUT00000019086.1	4509	4355.25	0	0
ENSELUT00000019091.1	4367	4213.25	0	0
ENSELUT00000019093.1	4024	3870.25	0	0
ENSELUT00000018995.1	1461	1307.25	4.4214	0.191752
ENSELUT00000019012.1	1755	1601.25	12.7141	0.450158
ENSELUT00000018900.1	4974	4820.25	7.75192	0.0911756
ENSELUT00000018903.1	1902	1748.25	15.609	0.506186
ENSELUT00000018901.1	6151	5997.25	386	3.649
ENSELUT00000018898.1	2022	1868.25	94.0049	2.85269
ENSELUT00000018899.1	1921	1767.25	68.0885	2.18431
ENSELUT00000018776.1	1584	1430.25	1214.04	48.1237
ENSELUT00000018774.1	456	302.964	2224.84	416.339
ENSELUT00000018782.1	453	299.983	12.175	2.30097
ENSELUT00000018563.1	5430	5276.25	178.47	1.91769
ENSELUT00000018091.1	597	443.361	1	0.127874
ENSELUT00000018094.1	3092	2938.25	6.02762	0.116304
ENSELUT00000018069.1	6177	6023.25	21.4855	0.202234
ENSELUT00000018071.1	6060	5906.25	0	0
ENSELUT00000018075.1	5249	5095.25	13.5145	0.150374
ENSELUT00000018064.1	1683	1529.25	664.743	24.6442
ENSELUT00000018065.1	1885	1731.25	274.257	8.98126
ENSELUT00000018014.1	4172	4018.25	269.67	3.80483
ENSELUT00000018021.1	1858	1704.25	603.965	20.0918
ENSELUT00000018011.1	1421	1267.25	6628	296.524
ENSELUT00000018006.1	1809	1655.25	0	0
ENSELUT00000017993.1	453	299.983	5	0.944958
ENSELUT00000017644.1	726	572.285	13.2483	1.31246
ENSELUT00000017648.1	13089	12935.2	720.989	3.16004
ENSELUT00000017666.1	12885	12731.2	0.01098	4.88956e-05
ENSELUT00000017633.1	747	593.273	0	0
ENSELUT00000017635.1	2969	2815.25	59.7947	1.20416
ENSELUT00000017647.1	1239	1085.25	0	0
ENSELUT00000017575.1	5191	5037.25	126.755	1.42663
ENSELUT00000017586.1	5104	4950.25	0	0
ENSELUT00000017606.1	3867	3713.25	5.60067	0.0855116
ENSELUT00000017622.1	3204	3050.25	57.6443	1.07142
ENSELUT00000017589.1	921	767.246	4523.16	334.23
ENSELUT00000017594.1	1521	1367.25	13424.8	556.674
ENSELUT00000017526.1	1029	875.246	44.8304	2.90389
ENSELUT00000017539.1	1179	1025.25	9387	519.083
ENSELUT00000017528.1	1204	1050.25	637	34.3864
ENSELUT00000017533.1	5835	5681.25	0	0
ENSELUT00000017550.1	5642	5488.25	590	6.09477
ENSELUT00000017537.1	4887	4733.25	1584.6	18.9801
ENSELUT00000017560.1	2163	2009.25	386.122	10.8951
ENSELUT00000017568.1	1104	950.246	181.989	10.858
