target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1477.93	322	18.9949
ENSORLT00000000002.1	1641	1504.93	591.996	34.2956
ENSORLT00000000003.1	1389	1252.93	239.004	16.6308
ENSORLT00000000004.1	537	401.015	352	76.5274
ENSORLT00000000005.1	520	384.015	2	0.454064
ENSORLT00000000007.1	1809	1672.93	301	15.6864
ENSORLT00000000008.1	1098	961.928	134.898	12.2264
ENSORLT00000000010.1	1071	934.928	9.1021	0.848787
ENSORLT00000000011.1	1071	934.928	0	0
ENSORLT00000000006.1	936	799.928	307	33.4597
ENSORLT00000000009.1	1271	1134.93	351	26.9634
ENSORLT00000000013.1	1707	1570.93	31.0185	1.72147
ENSORLT00000000014.1	1062	925.928	2.98147	0.28073
ENSORLT00000000012.1	1495	1358.93	156	10.0084
ENSORLT00000000016.1	1239	1102.93	1	0.0790475
ENSORLT00000000022.1	1851	1714.93	3.71176	0.188699
ENSORLT00000000024.1	1770	1633.93	4.28824	0.228813
ENSORLT00000000015.1	1368	1231.93	1285	90.9396
ENSORLT00000000017.1	150	37.9404	52	119.491
ENSORLT00000000019.1	972	835.928	3.87606	0.404257
ENSORLT00000000021.1	2412	2275.93	2	0.0766137
ENSORLT00000000020.1	267	135.046	0	0
ENSORLT00000000023.1	375	239.798	0	0
ENSORLT00000000025.1	312	178.207	0.75	0.36692
ENSORLT00000000027.1	735	598.928	9	1.3101
ENSORLT00000000026.1	489	353.09	0	0
ENSORLT00000000028.1	987	850.928	179	18.3398
ENSORLT00000000031.1	4884	4747.93	666	12.2294
ENSORLT00000000030.1	750	613.928	6	0.852058
ENSORLT00000000032.1	726	589.928	26.9139	3.97753
ENSORLT00000000033.1	807	670.928	13.0861	1.70047
ENSORLT00000000034.1	1818	1681.93	174	9.01939
ENSORLT00000000039.1	3546	3409.93	662	16.9257
ENSORLT00000000036.1	2979	2842.93	373.405	11.4512
ENSORLT00000000038.1	2802	2665.93	341.595	11.1712
ENSORLT00000000037.1	1376	1239.93	1609	113.134
ENSORLT00000000040.1	126	23.7433	77	282.738
ENSORLT00000000041.1	756	619.928	205.206	28.8591
ENSORLT00000000042.1	1503	1366.93	916	58.4231
ENSORLT00000000043.1	1311	1174.93	137.466	10.2005
ENSORLT00000000045.1	1911	1774.93	315.248	15.4848
ENSORLT00000000046.1	1818	1681.93	413.752	21.4471
ENSORLT00000000047.1	966	829.928	187	19.6443
ENSORLT00000000053.1	2118	1981.93	2293	100.868
ENSORLT00000000052.1	2925	2788.93	71	2.21951
ENSORLT00000000050.1	447	311.253	63	17.6466
ENSORLT00000000051.1	597	460.928	76	14.3753
ENSORLT00000000054.1	9129	8992.93	2289.5	22.196
ENSORLT00000000055.1	1438	1301.93	3861.5	258.586
ENSORLT00000000060.1	2820	2683.93	1051	34.1403
ENSORLT00000000058.1	1737	1600.93	26	1.41591
ENSORLT00000000059.1	561	425.015	3	0.615392
ENSORLT00000000061.1	588	451.928	0	0
ENSORLT00000000062.1	2190	2053.93	358	15.1961
ENSORLT00000000063.1	1194	1057.93	185	15.2458
ENSORLT00000000064.1	585	448.928	0	0
ENSORLT00000000072.1	4620	4483.93	443	8.61351
ENSORLT00000000066.1	416	280.457	0	0
ENSORLT00000000067.1	1137	1000.93	6	0.522617
ENSORLT00000000068.1	1154	1017.93	22	1.88426
ENSORLT00000000071.1	2130	1993.93	955.849	41.7941
ENSORLT00000000073.1	1341	1204.93	159.151	11.5155
ENSORLT00000000069.1	780	643.928	2	0.270787
ENSORLT00000000070.1	768	631.928	0	0
ENSORLT00000000074.1	1482	1345.93	40	2.59104
ENSORLT00000000076.1	4947	4810.93	540	9.78588
ENSORLT00000000075.1	795	658.928	58	7.67406
ENSORLT00000000077.1	2199	2062.93	55.6852	2.35338
ENSORLT00000000078.1	1770	1633.93	13.7106	0.731573
ENSORLT00000000079.1	1827	1690.93	13.6042	0.701427
ENSORLT00000000080.1	504	368.09	90.2755	21.3821
ENSORLT00000000082.1	657	520.928	0	0
ENSORLT00000000086.1	3076	2939.93	4263	126.419
ENSORLT00000000083.1	2049	1912.93	922	42.0211
ENSORLT00000000085.1	1203	1066.93	278	22.7167
ENSORLT00000000094.1	2772	2635.93	1076.63	35.6096
ENSORLT00000000096.1	2625	2488.93	0	0
ENSORLT00000000098.1	2613	2476.93	0	0
ENSORLT00000000100.1	2244	2107.93	36.3724	1.50436
ENSORLT00000000087.1	1516	1379.93	429	27.1042
ENSORLT00000000089.1	3735	3598.93	400	9.68996
ENSORLT00000000088.1	1320	1183.93	358	26.3629
ENSORLT00000000090.1	2256	2119.93	967	39.7686
ENSORLT00000000091.1	873	736.928	0	0
ENSORLT00000000092.1	834	697.928	0	0
ENSORLT00000000110.1	4494	4357.93	140	2.80081
ENSORLT00000000093.1	2019	1882.93	23	1.06495
ENSORLT00000000095.1	1167	1030.93	1839	155.521
ENSORLT00000000097.1	173	54.391	10	16.0291
ENSORLT00000000099.1	1190	1053.93	103.559	8.5667
ENSORLT00000000101.1	1349	1212.93	829	59.5874
ENSORLT00000000102.1	1148	1011.93	0	0
ENSORLT00000000103.1	1385	1248.93	430.17	30.0288
ENSORLT00000000104.1	1205	1068.93	19.2708	1.57176
ENSORLT00000000106.1	1013	876.928	0	0
ENSORLT00000000105.1	957	820.928	107	11.3635
ENSORLT00000000111.1	1317	1180.93	62.9531	4.6476
ENSORLT00000000112.1	1226	1089.93	2101.05	168.063
ENSORLT00000000107.1	858	721.928	10	1.20765
ENSORLT00000000108.1	2385	2248.93	324	12.5604
ENSORLT00000000113.1	1389	1252.93	14	0.974175
ENSORLT00000000114.1	1532	1395.93	2626	164.009
ENSORLT00000000117.1	1041	904.928	0	0
ENSORLT00000000116.1	1392	1255.93	1007	69.9037
ENSORLT00000000115.1	2217	2080.93	431	18.0574
ENSORLT00000000119.1	1323	1186.93	180	13.2216
ENSORLT00000000120.1	3732	3595.93	3789	91.8647
ENSORLT00000000122.1	1545	1408.93	482	29.8259
ENSORLT00000000123.1	6681	6544.93	471	6.2741
ENSORLT00000000124.1	1062	925.928	0	0
ENSORLT00000000126.1	1900	1763.93	309	15.2726
ENSORLT00000000127.1	1254	1117.93	153	11.932
ENSORLT00000000130.1	5304	5167.93	840	14.1709
ENSORLT00000000131.1	2197	2060.93	853	36.0846
ENSORLT00000000132.1	1189	1052.93	220	18.2163
ENSORLT00000000133.1	1168	1031.93	0	0
ENSORLT00000000134.1	3974	3837.93	728.929	16.5586
ENSORLT00000000136.1	3896	3759.93	1577.07	36.5685
ENSORLT00000000138.1	2871	2734.93	3111	99.172
ENSORLT00000000135.1	2631	2494.93	237.75	8.30803
ENSORLT00000000137.1	2231	2094.93	45.2497	1.88314
ENSORLT00000000139.1	2352	2215.93	0	0
ENSORLT00000000144.1	2679	2542.93	2057	70.5237
ENSORLT00000000140.1	1398	1261.93	2	0.138175
ENSORLT00000000143.1	6492	6355.93	5256	72.0961
ENSORLT00000000142.1	2583	2446.93	10	0.356298
ENSORLT00000000145.1	1912	1775.93	1160.71	56.9815
ENSORLT00000000146.1	925	788.928	386.288	42.6883
ENSORLT00000000149.1	1356	1219.93	1216	86.9029
ENSORLT00000000151.1	4809	4672.93	1273	23.7506
ENSORLT00000000147.1	816	679.928	43	5.51367
ENSORLT00000000148.1	417	281.429	149	46.1586
ENSORLT00000000150.1	2538	2401.93	262.85	9.54077
ENSORLT00000000154.1	2031	1894.93	509	23.4186
ENSORLT00000000153.1	128	24.8818	237.484	832.123
ENSORLT00000000160.1	4002	3865.93	179	4.03677
ENSORLT00000000155.1	1438	1301.93	231	15.4689
ENSORLT00000000156.1	681	544.928	102	16.3191
ENSORLT00000000158.1	1974	1837.93	2	0.0948717
ENSORLT00000000162.1	2028	1891.93	0	0
ENSORLT00000000157.1	702	565.928	539	83.0353
ENSORLT00000000164.1	2096	1959.93	12	0.533797
ENSORLT00000000161.1	525	389.015	0	0
ENSORLT00000000163.1	2799	2662.93	70	2.29178
ENSORLT00000000166.1	2715	2578.93	90	3.04255
ENSORLT00000000167.1	1424	1287.93	102.748	6.95529
ENSORLT00000000168.1	3646	3509.93	122	3.03038
ENSORLT00000000174.1	2824	2687.93	1245	40.3819
ENSORLT00000000169.1	441	305.253	23.5229	6.71839
ENSORLT00000000170.1	2390	2253.93	191	7.38803
ENSORLT00000000172.1	490	354.09	2	0.492438
ENSORLT00000000173.1	796	659.928	66	8.71932
ENSORLT00000000175.1	1476	1339.93	315	20.4958
ENSORLT00000000178.1	1881	1744.93	6	0.299784
ENSORLT00000000183.1	3531	3394.93	359	9.21932
ENSORLT00000000176.1	1002	865.928	207	20.8412
ENSORLT00000000177.1	382	246.774	194	68.539
ENSORLT00000000201.1	5138	5001.93	480	8.36641
ENSORLT00000000181.1	1614	1477.93	1782	105.121
ENSORLT00000000180.1	1107	970.928	155.188	13.935
ENSORLT00000000182.1	1063	926.928	100.812	9.48201
ENSORLT00000000184.1	972	835.928	0	0
ENSORLT00000000188.1	2430	2293.93	168.943	6.42091
ENSORLT00000000190.1	3093	2956.93	1172.06	34.5576
ENSORLT00000000185.1	1542	1405.93	1531.77	94.9875
ENSORLT00000000187.1	950	813.928	101.226	10.8428
ENSORLT00000000186.1	429	293.314	0	0
ENSORLT00000000189.1	634	497.928	0	0
ENSORLT00000000195.1	1461	1324.93	90	5.92223
ENSORLT00000000191.1	600	463.928	5	0.939625
ENSORLT00000000192.1	1187	1050.93	236	19.5783
ENSORLT00000000194.1	312	178.207	0	0
ENSORLT00000000200.1	2262	2125.93	961	39.4103
ENSORLT00000000196.1	312	178.207	0.75	0.36692
ENSORLT00000000197.1	1011	874.928	100	9.96467
ENSORLT00000000198.1	375	239.798	0	0
ENSORLT00000000199.1	432	296.314	0	0
ENSORLT00000000202.1	507	371.09	53.3806	12.5412
ENSORLT00000000203.1	411	275.485	0	0
ENSORLT00000000205.1	525	389.015	3	0.672342
ENSORLT00000000208.1	1385	1248.93	566.08	39.5162
ENSORLT00000000209.1	942	805.928	193.92	20.9779
ENSORLT00000000210.1	933	796.928	0	0
ENSORLT00000000206.1	786	649.928	369.056	49.5065
ENSORLT00000000207.1	375	239.798	7.60944	2.76657
ENSORLT00000000212.1	1701	1564.93	409.72	22.8259
ENSORLT00000000213.1	1596	1459.93	137.28	8.19805
ENSORLT00000000211.1	312	178.207	0.75	0.36692
ENSORLT00000000214.1	534	398.015	0	0
ENSORLT00000000217.1	1245	1108.93	46.8021	3.67957
ENSORLT00000000218.1	963	826.928	107.33	11.3159
ENSORLT00000000215.1	1329	1192.93	191	13.959
ENSORLT00000000216.1	978	841.928	0	0
ENSORLT00000000220.1	1373	1236.93	821.814	57.9248
ENSORLT00000000222.1	722	585.928	214.186	31.87
ENSORLT00000000219.1	1073	936.928	559	52.0165
ENSORLT00000000227.1	1584	1447.93	212.99	12.8247
ENSORLT00000000238.1	2318	2181.93	654.01	26.1324
ENSORLT00000000241.1	8301	8164.93	936.372	9.99841
ENSORLT00000000251.1	7728	7591.93	102.628	1.17855
ENSORLT00000000221.1	615	478.928	106	19.2962
ENSORLT00000000244.1	2452	2315.93	414.92	15.6198
ENSORLT00000000249.1	2344	2207.93	322.08	12.7179
ENSORLT00000000225.1	638	501.928	7	1.21588
ENSORLT00000000230.1	1242	1105.93	526	41.4662
ENSORLT00000000228.1	1869	1732.93	494	24.8532
ENSORLT00000000229.1	504	368.09	22.6251	5.35884
ENSORLT00000000234.1	708	571.928	31.981	4.87512
ENSORLT00000000235.1	576	439.972	0	0
ENSORLT00000000236.1	504	368.09	16.1917	3.83507
ENSORLT00000000250.1	2544	2407.93	52.4805	1.90016
ENSORLT00000000253.1	1764	1627.93	3.51952	0.188488
ENSORLT00000000237.1	672	535.928	223.055	36.2861
ENSORLT00000000243.1	809	672.928	7	0.906911
ENSORLT00000000239.1	815	678.928	804	103.245
ENSORLT00000000240.1	477	341.09	0	0
ENSORLT00000000242.1	1188	1051.93	32.1085	2.66115
ENSORLT00000000245.1	1044	907.928	72.1281	6.92609
ENSORLT00000000254.1	1379	1242.93	697.125	48.899
ENSORLT00000000256.1	1213	1076.93	4.87525	0.39468
ENSORLT00000000246.1	1152	1015.93	490	42.0502
ENSORLT00000000247.1	1017	880.928	29.1016	2.88013
ENSORLT00000000248.1	945	808.928	6.89838	0.743485
ENSORLT00000000252.1	739	602.928	326	47.1398
ENSORLT00000000257.1	2811	2674.93	2116	68.9666
ENSORLT00000000255.1	736	599.928	50.6343	7.35835
ENSORLT00000000258.1	796	659.928	153.366	20.2613
ENSORLT00000000259.1	1989	1852.93	121.104	5.69816
ENSORLT00000000260.1	1314	1177.93	138.646	10.2618
ENSORLT00000000261.1	660	523.928	228.315	37.9925
ENSORLT00000000262.1	1014	877.928	286.685	28.4696
ENSORLT00000000263.1	567	430.972	2.81553	0.569568
ENSORLT00000000265.1	1331	1194.93	208	15.176
ENSORLT00000000264.1	546	410.015	0	0
ENSORLT00000000268.1	1815	1678.93	259	13.4494
ENSORLT00000000266.1	566	429.972	77.7867	15.7725
ENSORLT00000000267.1	627	490.928	1175	208.668
ENSORLT00000000269.1	768	631.928	5	0.689823
ENSORLT00000000272.1	1175	1038.93	887	74.4343
ENSORLT00000000276.1	2799	2662.93	1452	47.5382
ENSORLT00000000273.1	1012	875.928	0	0
ENSORLT00000000274.1	1056	919.928	92	8.71905
ENSORLT00000000275.1	891	754.928	0	0
ENSORLT00000000271.1	1074	937.928	6827	634.593
ENSORLT00000000270.1	759	622.928	37	5.17844
ENSORLT00000000279.1	1574	1437.93	181	10.9743
ENSORLT00000000277.1	1351	1214.93	662	47.5054
ENSORLT00000000278.1	1047	910.928	3.08597	0.295354
ENSORLT00000000280.1	1334	1197.93	24.6917	1.79703
ENSORLT00000000282.1	1484	1347.93	15	0.970196
ENSORLT00000000283.1	2877	2740.93	1498	47.6485
ENSORLT00000000284.1	1842	1705.93	107	5.46837
ENSORLT00000000285.1	1217	1080.93	830	66.9447
ENSORLT00000000288.1	937	800.928	294	32.0029
ENSORLT00000000287.1	1920	1783.93	510	24.9246
ENSORLT00000000290.1	828	691.928	4	0.504004
ENSORLT00000000291.1	239	109.165	0	0
ENSORLT00000000292.1	784	647.928	2	0.269115
ENSORLT00000000293.1	765	628.928	1	0.138623
ENSORLT00000000294.1	1049	912.928	0	0
ENSORLT00000000296.1	1179	1042.93	24.8864	2.08038
ENSORLT00000000300.1	1023	886.928	5.11359	0.502658
ENSORLT00000000297.1	858	721.928	0	0
ENSORLT00000000299.1	867	730.928	0	0
ENSORLT00000000298.1	564	428.015	41.0943	8.37062
ENSORLT00000000313.1	3571	3434.93	1505	38.1992
ENSORLT00000000302.1	589	452.928	10.9336	2.10459
ENSORLT00000000303.1	718	581.928	27.0664	4.05505
ENSORLT00000000306.1	1926	1789.93	2225	108.375
ENSORLT00000000304.1	1218	1081.93	98.434	7.93199
ENSORLT00000000305.1	1551	1414.93	171	10.5365
ENSORLT00000000310.1	1889	1752.93	6393	317.962
