gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSCAFG00000000001	ENSCAFT00000000001	7431.00	7191.28	35.00	0.56	0.36
ENSCAFG00000000002	ENSCAFT00000000003	942.00	702.28	0.00	0.00	0.00
ENSCAFG00000000005	ENSCAFT00000000006	1128.00	888.28	11.00	1.42	0.92
ENSCAFG00000000006	ENSCAFT00000000007	339.00	120.72	0.00	0.00	0.00
ENSCAFG00000000007	ENSCAFT00000000008	6265.00	6025.28	580.00	11.03	7.19
ENSCAFG00000000008	ENSCAFT00000000009	1534.00	1294.28	513.24	45.43	29.61
ENSCAFG00000000009	ENSCAFT00000000011	813.00	573.31	107.07	21.40	13.94
ENSCAFG00000000010	ENSCAFT00000000012	2802.00	2562.28	343.00	15.33	9.99
ENSCAFG00000000011	ENSCAFT00000000013,ENSCAFT00000036234	4360.28	4120.56	145.00	4.03	2.63
ENSCAFG00000000012	ENSCAFT00000000014,ENSCAFT00000042968,ENSCAFT00000046825	4641.98	4402.26	536.00	13.95	9.09
ENSCAFG00000000013	ENSCAFT00000000017	8099.00	7859.28	311.02	4.53	2.95
ENSCAFG00000000014	ENSCAFT00000000021	468.00	234.31	0.00	0.00	0.00
ENSCAFG00000000015	ENSCAFT00000000022	1056.00	816.28	6.00	0.84	0.55
ENSCAFG00000000016	ENSCAFT00000000024,ENSCAFT00000000025	2165.39	1925.68	58608.70	3486.54	2272.20
ENSCAFG00000000017	ENSCAFT00000000028	5010.00	4770.28	404.00	9.70	6.32
ENSCAFG00000000019	ENSCAFT00000000033,ENSCAFT00000047374	3593.00	3353.28	163.00	5.57	3.63
ENSCAFG00000000020	ENSCAFT00000036397	3225.00	2985.28	424.00	16.27	10.60
ENSCAFG00000000021	ENSCAFT00000000035	1356.00	1116.28	271.00	27.81	18.13
ENSCAFG00000000022	ENSCAFT00000000037	10277.00	10037.28	491.00	5.60	3.65
ENSCAFG00000000024	ENSCAFT00000000039	1518.00	1278.28	66.00	5.92	3.85
ENSCAFG00000000025	ENSCAFT00000000043	1502.00	1262.28	105.00	9.53	6.21
ENSCAFG00000000026	ENSCAFT00000000044	512.00	276.05	35.00	14.53	9.47
ENSCAFG00000000027	ENSCAFT00000000045	414.00	184.73	292.08	181.22	118.10
ENSCAFG00000000028	ENSCAFT00000000046	732.00	492.48	133.00	30.94	20.17
ENSCAFG00000000029	ENSCAFT00000000047,ENSCAFT00000049738	1343.62	1103.90	72.00	7.47	4.87
ENSCAFG00000000030	ENSCAFT00000000048	807.00	567.31	0.00	0.00	0.00
ENSCAFG00000000031	ENSCAFT00000000049	1966.00	1726.28	1134.42	75.28	49.06
ENSCAFG00000000032	ENSCAFT00000000050	585.00	346.92	88.07	29.09	18.96
ENSCAFG00000000033	ENSCAFT00000000051	1458.00	1218.28	372.69	35.05	22.84
ENSCAFG00000000034	ENSCAFT00000000052	555.00	317.61	0.00	0.00	0.00
ENSCAFG00000000035	ENSCAFT00000000053	369.00	145.46	0.00	0.00	0.00
ENSCAFG00000000036	ENSCAFT00000000054	1608.00	1368.28	203.00	17.00	11.08
ENSCAFG00000000037	ENSCAFT00000000055	8821.00	8581.28	181.00	2.42	1.57
ENSCAFG00000000038	ENSCAFT00000000056,ENSCAFT00000047983	1002.00	762.28	4.00	0.60	0.39
ENSCAFG00000000039	ENSCAFT00000036237	1155.00	915.28	710.00	88.87	57.92
ENSCAFG00000000040	ENSCAFT00000000060	3765.00	3525.28	22.00	0.71	0.47
ENSCAFG00000000041	ENSCAFT00000000061	468.00	234.31	0.00	0.00	0.00
ENSCAFG00000000042	ENSCAFT00000000062	855.00	615.28	0.00	0.00	0.00
ENSCAFG00000000043	ENSCAFT00000000063	1495.00	1255.28	351.00	32.03	20.88
ENSCAFG00000000044	ENSCAFT00000000065	456.00	223.11	0.00	0.00	0.00
ENSCAFG00000000045	ENSCAFT00000000064	990.00	750.28	0.00	0.00	0.00
ENSCAFG00000000047	ENSCAFT00000000067	3660.00	3420.28	105.00	3.52	2.29
ENSCAFG00000000048	ENSCAFT00000000068	393.00	166.12	0.00	0.00	0.00
ENSCAFG00000000049	ENSCAFT00000000070	1755.00	1515.28	42.80	3.24	2.11
ENSCAFG00000000051	ENSCAFT00000000071	927.00	687.28	0.00	0.00	0.00
ENSCAFG00000000052	ENSCAFT00000000075	5875.00	5635.28	262.00	5.33	3.47
ENSCAFG00000000054	ENSCAFT00000000073	642.00	403.08	0.00	0.00	0.00
ENSCAFG00000000056	ENSCAFT00000000076	2680.00	2440.28	275.01	12.91	8.41
ENSCAFG00000000058	ENSCAFT00000000078	2288.00	2048.28	8.00	0.45	0.29
ENSCAFG00000000059	ENSCAFT00000000083	2062.00	1822.28	7.00	0.44	0.29
ENSCAFG00000000060	ENSCAFT00000000089,ENSCAFT00000000090	4088.83	3849.11	1094.21	32.56	21.22
ENSCAFG00000000061	ENSCAFT00000000098	378.00	153.13	126.01	94.32	61.47
ENSCAFG00000000062	ENSCAFT00000000107	1248.00	1008.28	0.00	0.00	0.00
ENSCAFG00000000063	ENSCAFT00000000100	957.00	717.28	76.00	12.14	7.91
ENSCAFG00000000064	ENSCAFT00000000112	925.00	685.28	737.00	123.22	80.30
ENSCAFG00000000065	ENSCAFT00000000114,ENSCAFT00000048026	2209.17	1969.45	242.00	14.08	9.17
ENSCAFG00000000066	ENSCAFT00000000116	1661.00	1421.28	378.00	30.47	19.86
ENSCAFG00000000067	ENSCAFT00000000117	5156.00	4916.28	599.21	13.96	9.10
ENSCAFG00000000068	ENSCAFT00000000118,ENSCAFT00000046240	4506.00	4266.28	379.00	10.18	6.63
ENSCAFG00000000069	ENSCAFT00000000121	1509.00	1269.28	149.32	13.48	8.78
ENSCAFG00000000070	ENSCAFT00000000123	5263.00	5023.28	1784.00	40.68	26.51
ENSCAFG00000000071	ENSCAFT00000000124	462.00	228.70	5.00	2.51	1.63
ENSCAFG00000000072	ENSCAFT00000000125	5669.00	5429.28	253.86	5.36	3.49
ENSCAFG00000000073	ENSCAFT00000000126	2730.00	2490.28	209.00	9.61	6.27
