target_id	length	eff_length	est_counts	tpm
ENSORLT00000000001.1	1614	1476.59	462	15.1565
ENSORLT00000000002.1	1641	1503.59	165.743	5.33975
ENSORLT00000000003.1	1389	1251.59	198.257	7.67333
ENSORLT00000000004.1	537	399.79	3	0.363503
ENSORLT00000000005.1	520	382.829	2	0.253071
ENSORLT00000000007.1	1809	1671.59	439	12.7219
ENSORLT00000000008.1	1098	960.593	130	6.55574
ENSORLT00000000010.1	1071	933.593	0	0
ENSORLT00000000011.1	1071	933.593	0	0
ENSORLT00000000006.1	936	798.593	92	5.58059
ENSORLT00000000009.1	1271	1133.59	237	10.1277
ENSORLT00000000013.1	1707	1569.59	34.8517	1.07561
ENSORLT00000000014.1	1062	924.593	6.14831	0.322124
ENSORLT00000000012.1	1495	1357.59	255	9.09889
ENSORLT00000000016.1	1239	1101.59	8	0.351792
ENSORLT00000000022.1	1851	1713.59	0	0
ENSORLT00000000024.1	1770	1632.59	4	0.118686
ENSORLT00000000015.1	1368	1230.59	141	5.55038
ENSORLT00000000017.1	150	37.1142	175	228.411
ENSORLT00000000019.1	972	834.593	10.6716	0.6194
ENSORLT00000000021.1	2412	2274.59	3	0.0638904
ENSORLT00000000020.1	267	133.729	0	0
ENSORLT00000000023.1	375	238.464	0	0
ENSORLT00000000025.1	312	176.854	0.75	0.205431
ENSORLT00000000027.1	735	597.79	68.9442	5.58685
ENSORLT00000000026.1	489	351.866	0	0
ENSORLT00000000028.1	987	849.593	108	6.15787
ENSORLT00000000031.1	4884	4746.59	168	1.71453
ENSORLT00000000030.1	750	612.729	17	1.344
ENSORLT00000000032.1	726	588.79	5.98052	0.492036
ENSORLT00000000033.1	807	669.663	16.0195	1.1588
ENSORLT00000000034.1	1818	1680.59	215	6.19717
ENSORLT00000000039.1	3546	3408.59	651	9.25174
ENSORLT00000000036.1	2979	2841.59	235.627	4.01681
ENSORLT00000000038.1	2802	2664.59	514.373	9.35114
ENSORLT00000000037.1	1376	1238.59	831	32.5005
ENSORLT00000000040.1	126	23.4611	30	61.9427
ENSORLT00000000041.1	756	618.729	303.457	23.7583
ENSORLT00000000042.1	1503	1365.59	635	22.5253
ENSORLT00000000043.1	1311	1173.59	223.486	9.22465
ENSORLT00000000045.1	1911	1773.59	0	0
ENSORLT00000000046.1	1818	1680.59	9	0.259417
ENSORLT00000000047.1	966	828.593	460	26.8927
ENSORLT00000000053.1	2118	1980.59	3	0.0733743
ENSORLT00000000052.1	2925	2787.59	596	10.357
ENSORLT00000000050.1	447	309.963	14	2.18794
ENSORLT00000000051.1	597	459.79	14	1.47498
ENSORLT00000000054.1	9129	8991.59	1284.16	6.9183
ENSORLT00000000055.1	1438	1300.59	4386.08	163.363
ENSORLT00000000060.1	2820	2682.59	246	4.4422
ENSORLT00000000058.1	1737	1599.59	1	0.0302836
ENSORLT00000000059.1	561	423.79	14	1.60028
ENSORLT00000000061.1	588	450.79	0	0
ENSORLT00000000062.1	2190	2052.59	349	8.23645
ENSORLT00000000063.1	1194	1056.59	517	23.7028
ENSORLT00000000064.1	585	447.79	0	0
ENSORLT00000000072.1	4620	4482.59	3	0.0324198
ENSORLT00000000066.1	416	279.053	0	0
ENSORLT00000000067.1	1137	999.593	130	6.29996
ENSORLT00000000068.1	1154	1016.59	0	0
ENSORLT00000000071.1	2130	1992.59	46	1.1183
ENSORLT00000000073.1	1341	1203.59	0	0
ENSORLT00000000069.1	780	642.729	0	0
ENSORLT00000000070.1	768	630.729	0	0
ENSORLT00000000074.1	1482	1344.59	190	6.84511
ENSORLT00000000076.1	4947	4809.59	1004	10.1121
ENSORLT00000000075.1	795	657.729	7	0.515548
ENSORLT00000000077.1	2199	2061.59	0	0
ENSORLT00000000078.1	1770	1632.59	0	0
ENSORLT00000000079.1	1827	1689.59	26	0.745434
ENSORLT00000000080.1	504	366.866	54.3699	7.17908
ENSORLT00000000082.1	657	519.79	1	0.0931945
ENSORLT00000000086.1	3076	2938.59	798	13.1547
ENSORLT00000000083.1	2049	1911.59	234	5.92977
ENSORLT00000000085.1	1203	1065.59	224	10.183
ENSORLT00000000094.1	2772	2634.59	66.3743	1.2204
ENSORLT00000000096.1	2625	2487.59	0.0976055	0.0019007
ENSORLT00000000098.1	2613	2475.59	10.5281	0.206011
ENSORLT00000000100.1	2244	2106.59	8.31441e-08	1.91191e-09
ENSORLT00000000087.1	1516	1378.59	798	28.0404
ENSORLT00000000089.1	3735	3597.59	101	1.35996
ENSORLT00000000088.1	1320	1182.59	206	8.4382
ENSORLT00000000090.1	2256	2118.59	2	0.0457299
ENSORLT00000000091.1	873	735.593	0	0
ENSORLT00000000092.1	834	696.663	0	0
ENSORLT00000000110.1	4494	4356.59	2	0.0222383
ENSORLT00000000093.1	2019	1881.59	12	0.308939
ENSORLT00000000095.1	1167	1029.59	1634	76.8784
ENSORLT00000000097.1	173	53.0524	0	0
ENSORLT00000000099.1	1190	1052.59	196.987	9.06556
ENSORLT00000000101.1	1349	1211.59	1920	76.7648
ENSORLT00000000102.1	1148	1010.59	0	0
ENSORLT00000000103.1	1385	1247.59	672.737	26.121
ENSORLT00000000104.1	1205	1067.59	4.13728e-06	1.87727e-07
ENSORLT00000000106.1	1013	875.593	4.27588	0.23656
ENSORLT00000000105.1	957	819.593	56	3.30984
