Ohno1	Ohno2	Symbol1	Symbol2	Og weighted global mean	Self weighted global mean	Outgroup Support	Duplication time	Gene type
ENSORLG00000000369	ENSORLG00000000490	capns1b	ENSORLG00000000490	2.48628456476378e-19	7.94556439384953e-11	6	FishWGD	protein_coding
ENSORLG00000006925	ENSORLG00000009433	rgra	RGR (1 to many)	2.95503484061105e-212	1.09949166814671e-35	7	FishWGD	protein_coding
ENSORLG00000013231	ENSORLG00000014316	gadd45ba	GADD45B (1 to many)	3.95328858530294e-18	9.26320042185662e-05	6	FishWGD	protein_coding
ENSORLG00000012843	ENSORLG00000003562	chmp4bb	chmp4ba	1.5202599058071e-89	3.76607754947374e-12	6	FishWGD	protein_coding
ENSORLG00000003046	ENSORLG00000005267	gb	ENSORLG00000005267	9.48650806342413e-23	2.00166967107632e-22	1	FishWGD	protein_coding
ENSORLG00000006900	ENSORLG00000012164	slc4a2a	slc4a2b	3.46266427144348e-51	1.87289640689765e-16	6	FishWGD	protein_coding
ENSORLG00000014548	ENSORLG00000017559	DIO3 (1 to many)	DIO3 (1 to many)	9.5038588981e-41	4.93343961150726e-13	4	FishWGD	protein_coding
ENSORLG00000014666	ENSORLG00000015438	ankrd52b	ankrd52a	1.06762753290109e-187	5.85478397226243e-31	6	FishWGD	protein_coding
ENSORLG00000018955	ENSORLG00000019383	ENSORLG00000018955	ENSORLG00000019383	0.0117794049433155	0.000215590255319374	5	FishWGD	protein_coding
ENSORLG00000007068	ENSORLG00000010874	TRIM35 (1 to many)	TRIM35 (1 to many)	0.000530986493669962	0.0390923143913211	3	FishWGD	protein_coding
ENSORLG00000018125	ENSORLG00000004336	tmem163a	TMEM163 (1 to many)	4.88946499134957e-54	7.29411743266518e-14	6	FishWGD	protein_coding
ENSORLG00000005614	ENSORLG00000005943	TRAK1 (1 to many)	trak1	4.37458416965385e-43	4.16557058200995e-14	5	FishWGD	protein_coding
ENSORLG00000020618	ENSORLG00000000366	nitr9 (1 to many)	nitr13 (1 to many)	9.4807777329251e-06	6.65721093354525e-07	1	FishWGD	protein_coding
ENSORLG00000003203	ENSORLG00000014282	si:ch73-380n15.2	ENSORLG00000014282	8.43565369637315e-10	7.11958839411123e-08	2	FishWGD	protein_coding
ENSORLG00000009702	ENSORLG00000013241	tfr1a	tfr1b	3.26912699317884e-76	6.96216857528915e-25	7	FishWGD	protein_coding
ENSORLG00000003783	ENSORLG00000013921	dnajc7	DNAJC7 (1 to many)	1.48411066187551e-48	2.58930526257774e-09	7	FishWGD	protein_coding
ENSORLG00000006905	ENSORLG00000001075	tnxba	txnbb	7.15842295865444e-25	1.44920608840105e-16	4	FishWGD	protein_coding
ENSORLG00000000542	ENSORLG00000016152	emilin1b	emilin1a	8.39294533287336e-40	2.51761834775094e-12	3	FishWGD	protein_coding
