target_id	length	eff_length	est_counts	tpm
ENSONIT00000000001.1	7527	7214.27	220.964	4.98526
ENSONIT00000000002.1	2865	2552.27	49.1432	3.13397
ENSONIT00000000003.1	1261	948.27	123	21.1121
ENSONIT00000000004.1	5342	5029.27	1188	38.4476
ENSONIT00000000005.1	3889	3576.27	128	5.82556
ENSONIT00000000006.1	948	635.478	0	0
ENSONIT00000000007.1	3180	2867.27	83	4.71159
ENSONIT00000000008.1	487	200.354	4395	3570.42
ENSONIT00000000009.1	1438	1125.27	31	4.48397
ENSONIT00000000010.1	837	525.489	26	8.05319
ENSONIT00000000011.1	7684	7371.27	79	1.74439
ENSONIT00000000012.1	6448	6135.27	163.531	4.33835
ENSONIT00000000013.1	1659	1346.27	38.1162	4.60824
ENSONIT00000000014.1	1419	1106.27	52.3528	7.70259
ENSONIT00000000015.1	903	590.748	4	1.10209
ENSONIT00000000016.1	1940	1627.27	32.587	3.25944
ENSONIT00000000017.1	933	620.549	0	0
ENSONIT00000000018.1	3892	3579.27	443	20.145
ENSONIT00000000019.1	1045	732.27	15.3209	3.40541
ENSONIT00000000020.1	2356	2043.27	10	0.796586
ENSONIT00000000021.1	4333	4020.27	128	5.18219
ENSONIT00000000022.1	1581	1268.27	3	0.385006
ENSONIT00000000023.1	4614	4301.27	241.283	9.13038
ENSONIT00000000024.1	3198	2885.27	8.71657	0.49172
ENSONIT00000000025.1	4590	4277.27	46	1.75045
ENSONIT00000000026.1	681	373.989	343	149.277
ENSONIT00000000027.1	828	516.623	2.21259	0.697083
ENSONIT00000000028.1	1315	1002.27	2.78741	0.452663
ENSONIT00000000029.1	771	460.722	0	0
ENSONIT00000000030.1	705	396.863	0	0
ENSONIT00000000031.1	1431	1118.27	2	0.2911
ENSONIT00000000032.1	732	422.819	0	0
ENSONIT00000000033.1	1746	1433.27	4.49679	0.510661
ENSONIT00000000034.1	489	201.998	2	1.61154
ENSONIT00000000035.1	4196	3883.27	2319.8	97.2325
ENSONIT00000000036.1	663	356.935	1	0.456004
ENSONIT00000000037.1	1910	1597.27	30	3.05704
ENSONIT00000000038.1	444	166.572	5	4.8857
ENSONIT00000000039.1	3574	3261.27	159	7.9354
ENSONIT00000000040.1	4793	4480.27	1058.28	38.4465
ENSONIT00000000041.1	3381	3068.27	68.7157	3.6452
ENSONIT00000000042.1	2159	1846.27	27	2.38027
ENSONIT00000000043.1	2452	2139.27	141.199	10.743
ENSONIT00000000044.1	1593	1280.27	0	0
ENSONIT00000000045.1	2701	2388.27	56	3.81648
ENSONIT00000000046.1	822	510.697	0	0
ENSONIT00000000047.1	5615	5302.27	290.785	8.92624
ENSONIT00000000048.1	3524	3211.27	118.499	6.00615
ENSONIT00000000049.1	2216	1903.27	145	12.4001
ENSONIT00000000050.1	3987	3674.27	164	7.26492
ENSONIT00000000051.1	1779	1466.27	117	12.9876
ENSONIT00000000052.1	4225	3912.27	378.887	15.763
ENSONIT00000000053.1	252	53.1444	12	36.7521
ENSONIT00000000054.1	1925	1612.27	1	0.100953
ENSONIT00000000055.1	2408	2095.27	64	4.97162
ENSONIT00000000056.1	621	317.712	0	0
ENSONIT00000000057.1	2756	2443.27	1758	117.113
ENSONIT00000000058.1	1560	1247.27	178	23.2283
ENSONIT00000000059.1	4662	4349.27	233	8.71962
ENSONIT00000000060.1	3705	3392.27	75	3.59856
ENSONIT00000000061.1	5249	4936.27	38	1.25298
ENSONIT00000000062.1	3788	3475.27	64.9056	3.03985
ENSONIT00000000063.1	1281	968.27	0	0
ENSONIT00000000064.1	1084	771.27	37	7.80824
ENSONIT00000000065.1	932	619.558	33	8.66942
ENSONIT00000000066.1	1914	1601.27	202	20.5326
ENSONIT00000000067.1	989	676.319	66	15.8837
ENSONIT00000000068.1	2325	2012.27	27	2.18391
ENSONIT00000000069.1	3923	3610.27	139	6.26662
ENSONIT00000000070.1	3705	3392.27	54	2.59097
ENSONIT00000000071.1	2997	2684.27	0	0
ENSONIT00000000072.1	1976	1663.27	10	0.978578
ENSONIT00000000073.1	4689	4376.27	75	2.78943
ENSONIT00000000074.1	1955	1642.27	610	60.4566
ENSONIT00000000075.1	5508	5195.27	63.6255	1.99334
ENSONIT00000000076.1	3426	3113.27	37.8724	1.97999
ENSONIT00000000077.1	5038	4725.27	176	6.0624
ENSONIT00000000078.1	4171	3858.27	272	11.4745
ENSONIT00000000079.1	2354	2041.27	278.022	22.1686
ENSONIT00000000080.1	2515	2202.27	79	5.83868
ENSONIT00000000081.1	2378	2065.27	32.3604	2.55032
ENSONIT00000000082.1	1662	1349.27	0	0
ENSONIT00000000083.1	2361	2048.27	183.111	14.5507
ENSONIT00000000084.1	3525	3212.27	411	20.8251
ENSONIT00000000085.1	1716	1403.27	39	4.52357
ENSONIT00000000086.1	8305	7992.27	126	2.56601
ENSONIT00000000087.1	1392	1079.27	82	12.3664
ENSONIT00000000088.1	3217	2904.27	171.769	9.62646
ENSONIT00000000089.1	804	492.991	96.8427	31.9732
ENSONIT00000000090.1	1897	1584.27	210	21.5749
ENSONIT00000000091.1	6765	6452.27	76	1.91716
ENSONIT00000000092.1	2004	1691.27	32	3.07961
ENSONIT00000000093.1	663	356.935	54	24.6242
ENSONIT00000000094.1	2085	1772.27	38	3.48989
ENSONIT00000000095.1	3537	3224.27	80.677	4.07265
ENSONIT00000000096.1	4064	3751.27	25.323	1.09874
ENSONIT00000000097.1	2633	2320.27	28	1.96416
ENSONIT00000000098.1	1083	770.27	10	2.11308
ENSONIT00000000099.1	891	578.848	8	2.24949
ENSONIT00000000100.1	1542	1229.27	56	7.41479
ENSONIT00000000101.1	1449	1136.27	34	4.8703
ENSONIT00000000102.1	480	194.653	336	280.955
ENSONIT00000000103.1	5578	5265.27	465	14.3744
ENSONIT00000000104.1	1428	1115.27	3	0.437824
ENSONIT00000000105.1	2163	1850.27	198	17.4176
ENSONIT00000000106.1	2614	2301.27	49.2048	3.48015
ENSONIT00000000107.1	1398	1085.27	4.79521	0.719164
ENSONIT00000000108.1	2879	2566.27	371	23.5304
ENSONIT00000000109.1	4139	3826.27	20.7453	0.882476
ENSONIT00000000110.1	3540	3227.27	3.25467	0.164146
ENSONIT00000000111.1	4344	4031.27	272.778	11.0135
ENSONIT00000000112.1	1965	1652.27	107	10.5405
ENSONIT00000000113.1	1420	1107.27	50	7.34978
ENSONIT00000000114.1	2532	2219.27	98	7.18744
ENSONIT00000000115.1	6356	6043.27	675	18.1798
ENSONIT00000000116.1	3789	3476.27	0	0
ENSONIT00000000117.1	1740	1427.27	0	0
ENSONIT00000000118.1	2960	2647.27	49.2816	3.03001
ENSONIT00000000119.1	699	391.147	15.7184	6.54073
ENSONIT00000000120.1	1338	1025.27	16	2.54004
ENSONIT00000000121.1	951	638.469	53	13.5112
ENSONIT00000000122.1	657	351.315	257	119.068
ENSONIT00000000123.1	3098	2785.27	328	19.1675
ENSONIT00000000124.1	2273	1960.27	331.302	27.5085
ENSONIT00000000125.1	1245	932.27	0	0
ENSONIT00000000126.1	3243	2930.27	266	14.7752
ENSONIT00000000127.1	4849	4536.27	293.686	10.5376
ENSONIT00000000128.1	3687	3374.27	20.3139	0.979878
ENSONIT00000000129.1	1728	1415.27	138	15.8708
ENSONIT00000000130.1	1483	1170.27	109.158	15.1819
ENSONIT00000000131.1	2301	1988.27	167	13.671
ENSONIT00000000132.1	960	647.427	0	0
ENSONIT00000000133.1	5154	4841.27	13	0.437061
ENSONIT00000000134.1	885	572.906	3	0.852307
ENSONIT00000000135.1	7644	7331.27	176	3.90743
ENSONIT00000000136.1	4290	3977.27	0	0
ENSONIT00000000137.1	3485	3172.27	89.2746	4.58053
ENSONIT00000000138.1	2876	2563.27	184	11.6837
ENSONIT00000000139.1	1812	1499.27	0	0
ENSONIT00000000140.1	6844	6531.27	100.574	2.50639
ENSONIT00000000141.1	1913	1600.27	41	4.17012
ENSONIT00000000142.1	2423	2110.27	40.356	3.11264
ENSONIT00000000143.1	2451	2138.27	11.644	0.886332
ENSONIT00000000144.1	2003	1690.27	35	3.37031
ENSONIT00000000145.1	792	481.294	13	4.39634
ENSONIT00000000146.1	7513	7200.27	36.7756	0.831322
ENSONIT00000000147.1	3461	3148.27	992	51.2859
ENSONIT00000000148.1	2439	2126.27	0	0
ENSONIT00000000149.1	2400	2087.27	32.8422	2.56101
ENSONIT00000000150.1	1182	869.27	10.1611	1.90259
ENSONIT00000000151.1	483	197.112	0	0
ENSONIT00000000152.1	870	558.047	77	22.4584
ENSONIT00000000153.1	1146	833.27	0	0
ENSONIT00000000154.1	1218	905.27	36	6.47266
ENSONIT00000000155.1	1659	1346.27	6.5416	0.790879
ENSONIT00000000156.1	1671	1358.27	0.00119499	0.000143197
ENSONIT00000000157.1	6499	6186.27	63	1.65756
ENSONIT00000000158.1	8869	8556.27	37.9916	0.722705
ENSONIT00000000159.1	3754	3441.27	33	1.56082
ENSONIT00000000160.1	5545	5232.27	21.3276	0.663452
ENSONIT00000000161.1	1863	1550.27	19.6809	2.06631
ENSONIT00000000162.1	753	443.175	0	0
ENSONIT00000000163.1	672	365.476	9.4501	4.20859
ENSONIT00000000164.1	1128	815.27	4	0.798577
ENSONIT00000000165.1	2371	2058.27	11	0.869858
ENSONIT00000000166.1	7227	6914.27	109	2.56589
ENSONIT00000000167.1	6312	5999.27	0	0
ENSONIT00000000168.1	2126	1813.27	141	12.6565
ENSONIT00000000169.1	6003	5690.27	151.098	4.32199
ENSONIT00000000170.1	693	385.433	164	69.2554
ENSONIT00000000171.1	4604	4291.27	33.9483	1.28763
ENSONIT00000000172.1	1077	764.27	4.95384	1.055
ENSONIT00000000173.1	987	674.319	26	6.27576
ENSONIT00000000174.1	6844	6531.27	611.54	15.24
ENSONIT00000000175.1	3775	3462.27	1035.61	48.6849
ENSONIT00000000176.1	1338	1025.27	78	12.3827
ENSONIT00000000177.1	7865	7552.27	259.268	5.58765
ENSONIT00000000178.1	4710	4397.27	29.2867	1.08404
ENSONIT00000000179.1	6386	6073.27	284	7.61122
ENSONIT00000000180.1	2559	2246.27	0	0
