gene_id	transcript_id(s)	length	effective_length	expected_count	TPM	FPKM
ENSCAFG00000000001	ENSCAFT00000000001	7431.00	7206.46	209.00	1.83	1.56
ENSCAFG00000000002	ENSCAFT00000000003	942.00	717.46	0.00	0.00	0.00
ENSCAFG00000000005	ENSCAFT00000000006	1128.00	903.46	10.00	0.70	0.59
ENSCAFG00000000006	ENSCAFT00000000007	339.00	129.92	0.00	0.00	0.00
ENSCAFG00000000007	ENSCAFT00000000008	6265.00	6040.46	472.98	4.95	4.21
ENSCAFG00000000008	ENSCAFT00000000009	1534.00	1309.46	546.32	26.36	22.41
ENSCAFG00000000009	ENSCAFT00000000011	813.00	588.48	112.61	12.09	10.28
ENSCAFG00000000010	ENSCAFT00000000012	2802.00	2577.46	292.00	7.16	6.09
ENSCAFG00000000011	ENSCAFT00000000013,ENSCAFT00000036234	4379.74	4155.20	750.00	11.40	9.70
ENSCAFG00000000012	ENSCAFT00000000014,ENSCAFT00000042968,ENSCAFT00000046825	4733.12	4508.58	234.00	3.28	2.79
ENSCAFG00000000013	ENSCAFT00000000017	8099.00	7874.46	2.00	0.02	0.01
ENSCAFG00000000014	ENSCAFT00000000021	468.00	247.29	0.00	0.00	0.00
ENSCAFG00000000015	ENSCAFT00000000022	1056.00	831.46	0.00	0.00	0.00
ENSCAFG00000000016	ENSCAFT00000000024,ENSCAFT00000000025	2471.00	2246.46	13.00	0.37	0.31
ENSCAFG00000000017	ENSCAFT00000000028	5010.00	4785.46	246.00	3.25	2.76
ENSCAFG00000000019	ENSCAFT00000000033,ENSCAFT00000047374	3593.00	3368.46	165.00	3.09	2.63
ENSCAFG00000000020	ENSCAFT00000036397	3225.00	3000.46	342.00	7.20	6.12
ENSCAFG00000000021	ENSCAFT00000000035	1356.00	1131.46	523.00	29.21	24.83
ENSCAFG00000000022	ENSCAFT00000000037	10277.00	10052.46	287.00	1.80	1.53
ENSCAFG00000000024	ENSCAFT00000000039	1518.00	1293.46	3.00	0.15	0.12
ENSCAFG00000000025	ENSCAFT00000000043	1502.00	1277.46	0.00	0.00	0.00
ENSCAFG00000000026	ENSCAFT00000000044	512.00	289.76	126.00	27.49	23.37
ENSCAFG00000000027	ENSCAFT00000000045	414.00	196.44	349.92	112.62	95.76
ENSCAFG00000000028	ENSCAFT00000000046	732.00	507.57	189.00	23.53	20.01
ENSCAFG00000000029	ENSCAFT00000000047,ENSCAFT00000049738	1379.57	1155.03	9.00	0.49	0.42
ENSCAFG00000000030	ENSCAFT00000000048	807.00	582.48	0.00	0.00	0.00
ENSCAFG00000000031	ENSCAFT00000000049	1966.00	1741.46	0.00	0.00	0.00
ENSCAFG00000000032	ENSCAFT00000000050	585.00	361.41	0.00	0.00	0.00
ENSCAFG00000000033	ENSCAFT00000000051	1458.00	1233.46	567.99	29.10	24.74
ENSCAFG00000000034	ENSCAFT00000000052	555.00	331.83	1.00	0.19	0.16
ENSCAFG00000000035	ENSCAFT00000000053	369.00	155.77	0.00	0.00	0.00
ENSCAFG00000000036	ENSCAFT00000000054	1608.00	1383.46	231.00	10.55	8.97
ENSCAFG00000000037	ENSCAFT00000000055	8821.00	8596.46	74.00	0.54	0.46
ENSCAFG00000000038	ENSCAFT00000000056,ENSCAFT00000047983	1002.00	777.46	14.00	1.14	0.97
ENSCAFG00000000039	ENSCAFT00000036237	1155.00	930.46	232.00	15.76	13.40
ENSCAFG00000000040	ENSCAFT00000000060	3765.00	3540.46	73.00	1.30	1.11
ENSCAFG00000000041	ENSCAFT00000000061	468.00	247.29	1.00	0.26	0.22
ENSCAFG00000000042	ENSCAFT00000000062	855.00	630.46	0.00	0.00	0.00
ENSCAFG00000000043	ENSCAFT00000000063	1495.00	1270.46	397.00	19.74	16.79
ENSCAFG00000000044	ENSCAFT00000000065	456.00	235.85	0.00	0.00	0.00
ENSCAFG00000000045	ENSCAFT00000000064	990.00	765.46	0.00	0.00	0.00
ENSCAFG00000000047	ENSCAFT00000000067	3660.00	3435.46	38.00	0.70	0.59
ENSCAFG00000000048	ENSCAFT00000000068	393.00	177.21	0.00	0.00	0.00
ENSCAFG00000000049	ENSCAFT00000000070	1755.00	1530.46	1.01	0.04	0.04
ENSCAFG00000000051	ENSCAFT00000000071	927.00	702.46	0.00	0.00	0.00
ENSCAFG00000000052	ENSCAFT00000000075	5875.00	5650.46	149.12	1.67	1.42
ENSCAFG00000000054	ENSCAFT00000000073	642.00	417.91	0.00	0.00	0.00
ENSCAFG00000000056	ENSCAFT00000000076	2680.00	2455.46	519.00	13.35	11.35
ENSCAFG00000000058	ENSCAFT00000000078	2288.00	2063.46	19.00	0.58	0.49
ENSCAFG00000000059	ENSCAFT00000000083	2062.00	1837.46	1359.00	46.73	39.73
ENSCAFG00000000060	ENSCAFT00000000089,ENSCAFT00000000090	3971.55	3747.01	9042.74	152.47	129.64
ENSCAFG00000000061	ENSCAFT00000000098	378.00	163.74	86.00	33.21	28.24
ENSCAFG00000000062	ENSCAFT00000000107	1248.00	1023.46	0.00	0.00	0.00
ENSCAFG00000000063	ENSCAFT00000000100	957.00	732.46	82.00	7.07	6.02
ENSCAFG00000000064	ENSCAFT00000000112	925.00	700.46	2655.00	239.53	203.67
ENSCAFG00000000065	ENSCAFT00000000114,ENSCAFT00000048026	2201.00	1976.46	17.00	0.54	0.46
ENSCAFG00000000066	ENSCAFT00000000116	1661.00	1436.46	214.16	9.42	8.01
ENSCAFG00000000067	ENSCAFT00000000117	5156.00	4931.46	371.05	4.75	4.04
ENSCAFG00000000068	ENSCAFT00000000118,ENSCAFT00000046240	4506.00	4281.46	540.98	7.98	6.79
ENSCAFG00000000069	ENSCAFT00000000121	1509.00	1284.46	84.56	4.16	3.54
ENSCAFG00000000070	ENSCAFT00000000123	5263.00	5038.46	300.00	3.76	3.20
ENSCAFG00000000071	ENSCAFT00000000124	462.00	241.56	18.00	4.71	4.01
ENSCAFG00000000072	ENSCAFT00000000125	5669.00	5444.46	272.89	3.17	2.69
ENSCAFG00000000073	ENSCAFT00000000126	2730.00	2505.46	350.00	8.83	7.50
ENSCAFG00000000074	ENSCAFT00000000127	1939.00	1714.46	79.11	2.92	2.48
ENSCAFG00000000075	ENSCAFT00000000128,ENSCAFT00000049213	1931.35	1706.81	25.00	0.93	0.79
ENSCAFG00000000076	ENSCAFT00000000129	1105.00	880.46	273.01	19.59	16.66
ENSCAFG00000000078	ENSCAFT00000000131	5820.00	5595.46	360.00	4.06	3.46
ENSCAFG00000000079	ENSCAFT00000000134	4039.00	3814.46	295.98	4.90	4.17
ENSCAFG00000000080	ENSCAFT00000000132	2994.00	2769.46	0.00	0.00	0.00
ENSCAFG00000000081	ENSCAFT00000000136	483.00	261.69	0.00	0.00	0.00
ENSCAFG00000000082	ENSCAFT00000000140	897.00	672.46	12.00	1.13	0.96
ENSCAFG00000000083	ENSCAFT00000000137,ENSCAFT00000046346	6665.00	6440.46	1013.44	9.94	8.45
ENSCAFG00000000086	ENSCAFT00000000141	3822.00	3597.46	3.00	0.05	0.04
ENSCAFG00000000087	ENSCAFT00000000142	648.00	423.87	108.00	16.10	13.69
ENSCAFG00000000088	ENSCAFT00000000143	2648.00	2423.46	607.00	15.82	13.46
ENSCAFG00000000089	ENSCAFT00000000144	1854.00	1629.46	0.00	0.00	0.00
ENSCAFG00000000090	ENSCAFT00000000145	999.00	774.46	0.00	0.00	0.00
ENSCAFG00000000093	ENSCAFT00000000149	1273.00	1048.46	153.00	9.22	7.84
ENSCAFG00000000094	ENSCAFT00000000153	2007.00	1782.46	452.45	16.04	13.64
ENSCAFG00000000096	ENSCAFT00000000154	494.00	272.30	0.00	0.00	0.00
ENSCAFG00000000097	ENSCAFT00000000159	3407.00	3182.46	74.00	1.47	1.25
ENSCAFG00000000098	ENSCAFT00000000155	996.00	771.46	0.00	0.00	0.00
ENSCAFG00000000099	ENSCAFT00000000157	746.00	521.55	0.00	0.00	0.00
ENSCAFG00000000100	ENSCAFT00000000158	1152.00	927.46	292.00	19.89	16.92
ENSCAFG00000000101	ENSCAFT00000000160	2073.00	1848.46	1.00	0.03	0.03
ENSCAFG00000000102	ENSCAFT00000000163	4061.00	3836.46	1284.99	21.16	17.99
ENSCAFG00000000103	ENSCAFT00000000162	3903.00	3678.46	1349.01	23.17	19.70
ENSCAFG00000000104	ENSCAFT00000000165	1308.00	1083.46	42.00	2.45	2.08
ENSCAFG00000000105	ENSCAFT00000000166,ENSCAFT00000047112	2304.57	2080.03	177.00	5.38	4.57
ENSCAFG00000000106	ENSCAFT00000000168	456.00	235.85	0.00	0.00	0.00
ENSCAFG00000000107	ENSCAFT00000000169	7264.00	7039.46	4069.99	36.53	31.06
