target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	25.6237	27.5023	87.2134
ENSELUT00000043746.1	57	25.6237	27.5023	87.2134
ENSELUT00000037603.1	57	25.6237	2.03949	6.46751
ENSELUT00000037622.1	60	27.5326	138	407.274
ENSELUT00000043756.1	60	27.5326	138	407.274
ENSELUT00000036957.1	291	135.697	3744.97	2242.5
ENSELUT00000043605.1	309	151.474	964.408	517.343
ENSELUT00000013117.1	339	178.509	2013.35	916.461
ENSELUT00000013112.1	252	103.478	23.6305	18.5557
ENSELUT00000036937.1	291	135.697	2562.45	1534.4
ENSELUT00000036941.1	273	120.544	57.2117	38.5652
ENSELUT00000036943.1	306	148.813	224.919	122.812
ENSELUT00000036966.1	306	148.813	3826.65	2089.46
ENSELUT00000036993.1	288	133.157	521.555	318.266
ENSELUT00000037021.1	291	135.697	1377.13	824.627
ENSELUT00000043560.1	333	173.029	24.1656	11.3484
ENSELUT00000037132.1	354	192.312	4971.94	2100.75
ENSELUT00000037138.1	333	173.029	3073.42	1443.3
ENSELUT00000043572.1	315	156.777	4685	2428.2
ENSELUT00000037291.1	348	186.749	418.124	181.93
ENSELUT00000037323.1	333	173.029	947.882	445.133
ENSELUT00000037354.1	348	186.749	274.136	119.279
ENSELUT00000043648.1	309	151.474	1913.62	1026.53
ENSELUT00000037369.1	333	173.029	743.279	349.05
ENSELUT00000037383.1	330	170.326	2100.46	1002.05
ENSELUT00000037448.1	333	173.029	818.505	384.377
ENSELUT00000043712.1	318	159.458	518	263.962
ENSELUT00000037530.1	333	173.029	219.273	102.972
ENSELUT00000037640.1	303	146.189	3.67674	2.04364
ENSELUT00000000007.1	975	807.74	9748	980.618
ENSELUT00000000011.1	1050	882.731	13470	1239.92
ENSELUT00000000017.1	1551	1383.73	111426	6543.21
ENSELUT00000000020.1	691	523.801	38103	5910.83
ENSELUT00000000022.1	168	44.1857	1965	3613.57
ENSELUT00000000023.1	682	514.807	16601	2620.27
ENSELUT00000000024.1	785	617.776	60942	8015.7
ENSELUT00000000026.1	349	187.685	1946	842.499
ENSELUT00000000028.1	297	140.931	2269	1308.23
ENSELUT00000000029.1	1381	1213.73	16514	1105.57
ENSELUT00000000033.1	1839	1671.73	12294	597.562
ENSELUT00000000034.1	522	355.255	3918	896.148
ENSELUT00000000036.1	1137	969.731	21492	1800.87
ENSELUT00000019592.1	708	540.801	0	0
ENSELUT00000019593.1	4511	4343.73	0	0
ENSELUT00000019594.1	4531	4363.73	0	0
ENSELUT00000019595.1	4384	4216.73	4	0.0770797
ENSELUT00000019596.1	3561	3393.73	0	0
ENSELUT00000019574.1	1629	1461.73	82.0284	4.55987
ENSELUT00000019438.1	3662	3494.73	3	0.0697531
ENSELUT00000019409.1	1280	1112.73	825.722	60.2976
ENSELUT00000019402.1	975	807.74	75.5087	7.59593
ENSELUT00000019395.1	1083	915.731	228.46	20.2721
ENSELUT00000019290.1	600	432.931	0	0
ENSELUT00000019243.1	429	263.814	63	19.4043
ENSELUT00000019228.1	2097	1929.73	18	0.757935
ENSELUT00000019086.1	4509	4341.73	0	0
ENSELUT00000019091.1	4367	4199.73	0	0
ENSELUT00000019093.1	4024	3856.73	0	0
ENSELUT00000018995.1	1461	1293.73	18.9222	1.18846
ENSELUT00000019012.1	1755	1587.73	0	0
ENSELUT00000018900.1	4974	4806.73	6.36669	0.107627
ENSELUT00000018903.1	1902	1734.73	17.3339	0.811934
ENSELUT00000018901.1	6151	5983.73	1934	26.2628
ENSELUT00000018898.1	2022	1854.73	419.26	18.3679
ENSELUT00000018899.1	1921	1753.73	939.225	43.5174
ENSELUT00000018776.1	1584	1416.73	1	0.0573546
ENSELUT00000018774.1	456	290.15	1.06095	0.297119
ENSELUT00000018782.1	453	287.192	33.4067	9.45186
ENSELUT00000018563.1	5430	5262.73	530.4	8.18933
ENSELUT00000018091.1	597	429.931	14	2.64597
ENSELUT00000018094.1	3092	2924.73	13.4722	0.37429
ENSELUT00000018069.1	6177	6009.73	110.873	1.49909
ENSELUT00000018071.1	6060	5892.73	38.631	0.532691
ENSELUT00000018075.1	5249	5081.73	118.496	1.89473
ENSELUT00000018064.1	1683	1515.73	3	0.160826
ENSELUT00000018065.1	1885	1717.73	0	0
ENSELUT00000018014.1	4172	4004.73	251.882	5.11069
ENSELUT00000018021.1	1858	1690.73	733.179	35.2364
ENSELUT00000018011.1	1421	1253.73	2302	149.196
ENSELUT00000018006.1	1809	1641.73	2	0.0989883
ENSELUT00000017993.1	453	287.192	0	0
ENSELUT00000017644.1	726	558.789	0	0
ENSELUT00000017648.1	13089	12921.7	1118.81	7.03547
ENSELUT00000017666.1	12885	12717.7	300.185	1.91794
ENSELUT00000017633.1	747	579.783	1	0.140149
ENSELUT00000017635.1	2969	2801.73	42	1.21809
ENSELUT00000017647.1	1239	1071.73	0	0
ENSELUT00000017575.1	5191	5023.73	60.6923	0.981665
ENSELUT00000017586.1	5104	4936.73	1.49127e-06	2.45456e-08
ENSELUT00000017606.1	3867	3699.73	14.9286	0.327872
ENSELUT00000017622.1	3204	3036.73	1622.38	43.4112
ENSELUT00000017589.1	921	753.74	2888.1	311.349
ENSELUT00000017594.1	1521	1353.73	12862.9	772.08
ENSELUT00000017526.1	1029	861.731	85.249	8.03847
ENSELUT00000017539.1	1179	1011.73	2114	169.784
ENSELUT00000017528.1	1204	1036.73	344	26.9618
ENSELUT00000017533.1	5835	5667.73	198.87	2.85112
ENSELUT00000017550.1	5642	5474.73	1685.13	25.0107
ENSELUT00000017537.1	4887	4719.73	1787.81	30.7794
ENSELUT00000017560.1	2163	1995.73	183.514	7.47176
ENSELUT00000017568.1	1104	936.731	158.028	13.7081
ENSELUT00000017522.1	2061	1893.73	165.626	7.10668
ENSELUT00000017525.1	1995	1827.73	25.8913	1.15106
ENSELUT00000017542.1	1077	909.731	213.483	19.068
ENSELUT00000017510.1	2709	2541.73	122	3.90019
ENSELUT00000017499.1	360	197.899	1110	455.759
ENSELUT00000017214.1	2777	2609.73	1201	37.3941
ENSELUT00000017196.1	4279	4111.73	1901.36	37.5746
ENSELUT00000017127.1	672	504.824	1	0.160959
ENSELUT00000017157.1	1647	1479.73	0	0
ENSELUT00000017187.1	1684	1516.73	0	0
ENSELUT00000017115.1	2515	2347.73	90.7085	3.13946
ENSELUT00000017128.1	2101	1933.73	14.9453	0.628008
ENSELUT00000017136.1	1566	1398.73	74.503	4.32808
ENSELUT00000017148.1	1593	1425.73	107.843	6.14626
ENSELUT00000017149.1	2340	2172.73	345	12.9024
ENSELUT00000017163.1	2352	2184.73	0	0
ENSELUT00000017100.1	1183	1015.73	4	0.319991
ENSELUT00000017110.1	875	707.74	0	0
ENSELUT00000017126.1	1143	975.731	0	0
ENSELUT00000017095.1	1419	1251.73	0	0
ENSELUT00000017098.1	1371	1203.73	1.5494	0.10459
ENSELUT00000017105.1	594	426.935	0.450713	0.0857815
ENSELUT00000017077.1	498	331.523	0	0
ENSELUT00000017082.1	510	343.399	33	7.80856
ENSELUT00000017046.1	2285	2117.73	648	24.8634
ENSELUT00000017050.1	1441	1273.73	135.803	8.66336
ENSELUT00000017063.1	933	765.74	3.97366	0.421662
ENSELUT00000016986.1	5591	5423.73	29.0854	0.435745
ENSELUT00000016983.1	3786	3618.73	1068	23.9812
ENSELUT00000016990.1	1005	837.731	28.1782	2.73316
ENSELUT00000017005.1	645	477.851	20.8218	3.54063
ENSELUT00000016961.1	3872	3704.73	7904	173.359
ENSELUT00000016865.1	588	420.945	3	0.579098
ENSELUT00000016832.1	3944	3776.73	0	0
ENSELUT00000016860.1	4273	4105.73	54.58	1.08019
ENSELUT00000016886.1	4255	4087.73	4.14404e-05	8.23753e-07
ENSELUT00000016914.1	3662	3494.73	0	0
ENSELUT00000016938.1	3825	3657.73	3.3557	0.0745466
ENSELUT00000016966.1	3351	3183.73	0	0
ENSELUT00000016971.1	3396	3228.73	0	0
ENSELUT00000016813.1	885	717.74	1	0.113211
ENSELUT00000016523.1	6478	6310.73	6	0.0772552
ENSELUT00000016533.1	4168	4000.73	1	0.0203103
ENSELUT00000016509.1	303	146.189	457.088	254.063
ENSELUT00000016495.1	1603	1435.73	54.6578	3.09339
ENSELUT00000016507.1	1203	1035.73	85.3422	6.69534
ENSELUT00000016496.1	3151	2983.73	0	0
ENSELUT00000016512.1	3694	3526.73	0	0
ENSELUT00000016519.1	2973	2805.73	0	0
ENSELUT00000016448.1	3023	2855.73	236.838	6.73891
ENSELUT00000016459.1	309	151.474	15.4376	8.28129
ENSELUT00000016441.1	1167	999.731	18.7743	1.52593
ENSELUT00000016474.1	1590	1422.73	17.5985	1.0051
ENSELUT00000016478.1	1332	1164.73	60.6273	4.22959
ENSELUT00000016384.1	9928	9760.73	29	0.241419
ENSELUT00000016238.1	2963	2795.73	197	5.72568
ENSELUT00000016314.1	3167	2999.73	0	0
ENSELUT00000016236.1	3516	3348.73	0	0
ENSELUT00000016251.1	849	681.748	0	0
ENSELUT00000016225.1	1287	1119.73	66.4644	4.82315
ENSELUT00000016234.1	1287	1119.73	0	0
