target_id	length	eff_length	est_counts	tpm
ENSELUT00000010312.1	57	26.4978	0	0
ENSELUT00000043746.1	57	26.4978	0	0
ENSELUT00000037603.1	57	26.4978	0	0
ENSELUT00000037622.1	60	29.0175	0	0
ENSELUT00000043756.1	60	29.0175	0	0
ENSELUT00000036957.1	291	145.578	1	0.552031
ENSELUT00000043605.1	309	161.717	0	0
ENSELUT00000013117.1	339	189.281	0	0
ENSELUT00000013112.1	252	111.865	0	0
ENSELUT00000036937.1	291	145.578	0	0
ENSELUT00000036941.1	273	129.798	0	0
ENSELUT00000036943.1	306	159.018	0	0
ENSELUT00000036966.1	306	159.018	0	0
ENSELUT00000036993.1	288	142.88	0	0
ENSELUT00000037021.1	291	145.578	0	0
ENSELUT00000043560.1	333	183.725	0	0
ENSELUT00000037132.1	354	203.287	0	0
ENSELUT00000037138.1	333	183.725	0	0
ENSELUT00000043572.1	315	167.168	0	0
ENSELUT00000037291.1	348	197.697	0	0
ENSELUT00000037323.1	333	183.725	0	0
ENSELUT00000037354.1	348	197.697	0	0
ENSELUT00000043648.1	309	161.717	0	0
ENSELUT00000037369.1	333	183.725	0	0
ENSELUT00000037383.1	330	180.949	0	0
ENSELUT00000037448.1	333	183.725	0	0
ENSELUT00000043712.1	318	169.913	0	0
ENSELUT00000037530.1	333	183.725	0	0
ENSELUT00000037640.1	303	156.313	0	0
ENSELUT00000000007.1	975	819.151	3048	299.028
ENSELUT00000000011.1	1050	894.143	3278	294.62
ENSELUT00000000017.1	1551	1395.14	37202	2142.93
ENSELUT00000000020.1	691	535.221	15557	2335.89
ENSELUT00000000022.1	168	47.7287	396	666.771
ENSELUT00000000023.1	682	526.227	3819	583.227
ENSELUT00000000024.1	785	629.166	23306	2976.89
ENSELUT00000000026.1	349	198.626	667	269.868
ENSELUT00000000028.1	297	150.907	322	171.477
ENSELUT00000000029.1	1381	1225.14	4145	271.893
ENSELUT00000000033.1	1839	1683.14	1431	68.325
ENSELUT00000000034.1	522	366.811	1020	223.47
ENSELUT00000000036.1	1137	981.143	5307	434.688
ENSELUT00000019592.1	708	552.2	0	0
ENSELUT00000019593.1	4511	4355.14	0	0
ENSELUT00000019594.1	4531	4375.14	0	0
ENSELUT00000019595.1	4384	4228.14	4.99991	0.0950327
ENSELUT00000019596.1	3561	3405.14	9.38447e-05	2.2148e-06
ENSELUT00000019574.1	1629	1473.14	9.19827	0.50179
ENSELUT00000019438.1	3662	3506.14	0	0
ENSELUT00000019409.1	1280	1124.14	53.9384	3.856
ENSELUT00000019402.1	975	819.151	5.52529	0.542066
ENSELUT00000019395.1	1083	927.143	6.94194	0.601721
ENSELUT00000019290.1	600	444.411	0	0
ENSELUT00000019243.1	429	275.244	40	11.6789
ENSELUT00000019228.1	2097	1941.14	1	0.0414003
ENSELUT00000019086.1	4509	4353.14	0	0
ENSELUT00000019091.1	4367	4211.14	0	0
ENSELUT00000019093.1	4024	3868.14	0	0
ENSELUT00000018995.1	1461	1305.14	1.01667	0.0626013
ENSELUT00000019012.1	1755	1599.14	0	0
ENSELUT00000018900.1	4974	4818.14	0	0
ENSELUT00000018903.1	1902	1746.14	0	0
ENSELUT00000018901.1	6151	5995.14	65	0.871314
ENSELUT00000018898.1	2022	1866.14	64.2928	2.76871
ENSELUT00000018899.1	1921	1765.14	350.625	15.9634
ENSELUT00000018776.1	1584	1428.14	1	0.0562716
ENSELUT00000018774.1	456	301.671	0	0
ENSELUT00000018782.1	453	298.734	78.5395	21.1283
ENSELUT00000018563.1	5430	5274.14	71	1.08185
ENSELUT00000018091.1	597	441.411	0	0
ENSELUT00000018094.1	3092	2936.14	4.0168	0.109942
ENSELUT00000018069.1	6177	6021.14	38.9298	0.519594
